Acetic acid,Nonanal,Decanoic acid,Heptanal,Hexanal,Decanal,2-Octanone,True_Stress,True_Period
4.3569138e-11,6.989073e-07,7.215255e-12,0.25000024,0.36147222,0.38852656,2.8388067e-07,0,0
2.285697e-08,1.4457873e-05,6.853248e-09,0.25000423,0.3705599,0.37941456,6.783478e-06,0,0
7.704488e-09,8.253374e-06,3.632689e-09,0.24999434,0.3667177,0.38327855,1.2333252e-06,0,0
2.285697e-08,1.4457873e-05,6.853248e-09,0.25000423,0.3705599,0.37941456,6.783478e-06,0,0
5.42173e-07,0.00021711257,3.3642678e-07,0.25015926,0.36991674,0.37957093,0.00013506305,0,0
5.42173e-07,0.00021711257,3.3642678e-07,0.25015926,0.36991674,0.37957093,0.00013506305,0,0
7.704488e-09,8.253374e-06,3.632689e-09,0.24999434,0.3667177,0.38327855,1.2333252e-06,0,0
1.2247439e-11,3.0944443e-07,2.2240846e-12,0.24999999,0.35969895,0.3903007,8.8496016e-08,0,0
2.5350805e-10,1.5837666e-06,1.3275117e-10,0.24999952,0.36558408,0.38441443,3.90069e-07,0,4
7.877975e-11,1.0349854e-06,3.6216717e-11,0.25000042,0.36427802,0.38572,5.017977e-07,0,4
3.8918982e-10,2.321116e-06,3.4803294e-10,0.24999794,0.36562058,0.38437903,1.0907454e-07,0,4
3.8918982e-10,2.321116e-06,3.4803294e-10,0.24999794,0.36562058,0.38437903,1.0907454e-07,0,4
2.5350805e-10,1.5837666e-06,1.3275117e-10,0.24999952,0.36558408,0.38441443,3.90069e-07,0,4
7.877975e-11,1.0349854e-06,3.6216717e-11,0.25000042,0.36427802,0.38572,5.017977e-07,0,4
3.8918982e-10,2.321116e-06,3.4803294e-10,0.24999794,0.36562058,0.38437903,1.0907454e-07,0,4
2.5350805e-10,1.5837666e-06,1.3275117e-10,0.24999952,0.36558408,0.38441443,3.90069e-07,0,4
9.991335e-06,0.0010793825,9.897131e-06,0.24902974,0.37192762,0.3778597,8.368773e-05,0,4
1.36401015e-08,2.294096e-05,1.3051476e-08,0.24997878,0.3672534,0.38274413,7.3280523e-07,0,4
3.3681358e-10,2.5891297e-06,2.4460617e-10,0.24999824,0.3652048,0.38479415,2.878604e-07,0,4
8.524773e-09,1.1627306e-05,5.444768e-09,0.25000897,0.367151,0.38282275,5.6108825e-06,0,4
1.36401015e-08,2.294096e-05,1.3051476e-08,0.24997878,0.3672534,0.38274413,7.3280523e-07,0,4
8.524773e-09,1.1627306e-05,5.444768e-09,0.25000897,0.367151,0.38282275,5.6108825e-06,0,4
1.4314464e-12,3.5360163e-08,1.0364704e-13,0.24999999,0.35772258,0.39227736,8.316965e-09,0,1
1.4314464e-12,3.5360163e-08,1.0364704e-13,0.24999999,0.35772258,0.39227736,8.316965e-09,0,1
5.293335e-12,4.0819054e-07,1.1688097e-12,0.24999958,0.35772294,0.39227706,7.697646e-09,0,1
5.293335e-12,4.0819054e-07,1.1688097e-12,0.24999958,0.35772294,0.39227706,7.697646e-09,0,1
