      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -6.96860000      0.26010000      0.51550000      0.10970000      0.32760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.21290000
     -6.91860000      0.28000000      0.56190000      0.12730000      0.35640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.32560000
     -6.86860000      0.07530000      0.16200000      0.04990000      0.10250000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.38970000
     -6.81860000      0.08070000      0.20670000      0.10400000      0.12950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.52090000
     -6.76860000      0.07300000      0.18370000      0.09160000      0.11470000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.46300000
     -6.71860000      0.01440000      0.03500000      0.01650000      0.02180000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08770000
     -6.66860000      0.00060000      0.00140000      0.00060000      0.00090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00350000
     -6.61860000      0.00050000      0.00210000      0.00290000      0.00140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00690000
     -6.56860000      0.00470000      0.02030000      0.03200000      0.01330000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07030000
     -6.51860000      0.00810000      0.03890000      0.06500000      0.02540000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13740000
     -6.46860000      0.00280000      0.01790000      0.02430000      0.01490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05990000
     -6.41860000      0.00020000      0.18620000      0.00320000      0.28040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.47000000
     -6.36860000      0.00080000      1.50870000      0.01340000      2.27790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.80080000
     -6.31860000      0.00130000      2.20090000      0.02150000      3.32140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.54510000
     -6.26860000      0.00050000      0.59780000      0.00970000      0.90010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.50810000
     -6.21860000      0.00030000      0.04720000      0.00610000      0.07050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.12410000
     -6.16860000      0.00030000      0.00800000      0.01190000      0.01140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03160000
     -6.11860000      0.00180000      0.01140000      0.11480000      0.00660000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13460000
     -6.06860000      0.00530000      0.03320000      0.33190000      0.01780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.38820000
     -6.01860000      0.00800000      0.05020000      0.39970000      0.02500000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.48290000
     -5.96860000      0.01100000      0.06960000      0.48990000      0.03330000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.60380000
     -5.91860000      0.00390000      0.02430000      0.16960000      0.01160000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20940000
     -5.86860000      0.00030000      0.00150000      0.01050000      0.00070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01300000
     -5.81860000      0.00000000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -5.76860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.71860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.66860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.61860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.56860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.51860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.46860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.41860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.36860000      0.00000000      0.00000000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00040000
     -5.31860000      0.00000000      0.00160000      0.03430000      0.00120000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03710000
     -5.26860000      0.00070000      0.02310000      0.48510000      0.01590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.52480000
     -5.21860000      0.00260000      0.06050000      1.28030000      0.04260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.38600000
     -5.16860000      0.00530000      0.04320000      0.95360000      0.03370000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.03580000
     -5.11860000      0.00390000      0.01660000      0.39210000      0.01470000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.42730000
     -5.06860000      0.00070000      0.00230000      0.05630000      0.00210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06140000
     -5.01860000      0.00000000      0.00030000      0.00320000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00370000
     -4.96860000      0.00020000      0.01450000      0.11170000      0.01010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13650000
     -4.91860000      0.00230000      0.15580000      1.20010000      0.10840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.46660000
     -4.86860000      0.00440000      0.29660000      2.28470000      0.20640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.79210000
     -4.81860000      0.00150000      0.10340000      0.79640000      0.07200000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.97330000
     -4.76860000      0.00010000      0.00630000      0.04830000      0.00440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05910000
     -4.71860000      0.00000000      0.00000000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00050000
     -4.66860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.61860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.56860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.51860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.46860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.41860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.36860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.31860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.26860000      0.00000000      0.00000000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -4.21860000      0.00000000      0.00610000      0.00000000      0.01020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01630000
     -4.16860000      0.00020000      0.17170000      0.00210000      0.28610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.46010000
     -4.11860000      0.00160000      0.96560000      0.01720000      1.60280000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.58720000
