      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -6.96860000      0.32480000      0.00580000      0.01740000      0.00780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.35580000
     -6.91860000      0.35000000      0.00640000      0.01890000      0.00860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.38390000
     -6.86860000      0.09870000      0.00190000      0.00550000      0.00250000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10860000
     -6.81860000      0.12030000      0.00260000      0.00750000      0.00320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13360000
     -6.76860000      0.10650000      0.00240000      0.00660000      0.00300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11850000
     -6.71860000      0.02030000      0.00040000      0.00130000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02250000
     -6.66860000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00080000
     -6.61860000      0.00140000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00150000
     -6.56860000      0.01260000      0.00030000      0.00100000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01430000
     -6.51860000      0.02340000      0.00060000      0.00180000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02660000
     -6.46860000      0.01060000      0.00030000      0.00070000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01190000
     -6.41860000      0.10160000      0.00390000      0.00250000      0.00290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11090000
     -6.36860000      0.82320000      0.03220000      0.01940000      0.02400000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.89880000
     -6.31860000      1.20070000      0.04700000      0.02850000      0.03490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.31110000
     -6.26860000      0.32660000      0.01270000      0.00770000      0.00960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.35660000
     -6.21860000      0.02900000      0.00110000      0.00070000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03160000
     -6.16860000      0.01010000      0.00020000      0.00030000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01090000
     -6.11860000      0.04420000      0.00070000      0.00180000      0.00130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04800000
     -6.06860000      0.12480000      0.00230000      0.00530000      0.00350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13590000
     -6.01860000      0.13460000      0.00260000      0.00760000      0.00390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14870000
     -5.96860000      0.15240000      0.00340000      0.01020000      0.00450000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.17050000
     -5.91860000      0.05230000      0.00110000      0.00350000      0.00150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05840000
     -5.86860000      0.00320000      0.00000000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00340000
     -5.81860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.76860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.71860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.66860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.61860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.56860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.51860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.46860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.41860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.36860000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00030000
     -5.31860000      0.03190000      0.00020000      0.00060000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03350000
     -5.26860000      0.45070000      0.00430000      0.00880000      0.01130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.47510000
     -5.21860000      1.17980000      0.01150000      0.02320000      0.02960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.24410000
     -5.16860000      0.83910000      0.00850000      0.01850000      0.02150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.88760000
     -5.11860000      0.32580000      0.00340000      0.00830000      0.00850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.34600000
     -5.06860000      0.04630000      0.00060000      0.00120000      0.00110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04920000
     -5.01860000      0.00300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00300000
     -4.96860000      0.10860000      0.00100000      0.00170000      0.00280000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11410000
     -4.91860000      1.16690000      0.01080000      0.01800000      0.02920000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.22490000
     -4.86860000      2.22140000      0.02060000      0.03430000      0.05560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.33190000
     -4.81860000      0.77440000      0.00720000      0.01200000      0.01940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.81300000
     -4.76860000      0.04690000      0.00050000      0.00080000      0.00120000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04940000
     -4.71860000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00050000
     -4.66860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.61860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.56860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.51860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.46860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
