      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -6.96860000     24.07780000      0.89580000      0.56190000      0.89850000      0.18560000      0.06420000      0.16910000      0.06400000      0.00090000     26.91780000
     -6.91860000     12.29160000      0.38630000      0.42150000      0.38460000      0.08650000      0.03190000      0.07250000      0.03210000      0.00000000     13.70700000
     -6.86860000     10.54010000      0.08120000      0.75020000      0.08100000      0.05700000      0.02050000      0.06810000      0.02060000      0.00000000     11.61870000
     -6.81860000     19.58220000      0.19190000      1.65880000      0.19210000      0.18610000      0.03400000      0.30810000      0.03420000      0.00000000     22.18740000
     -6.76860000     17.43600000      0.27390000      1.62970000      0.27380000      0.23910000      0.02770000      0.43370000      0.02750000      0.00000000     20.34140000
     -6.71860000      4.39690000      0.08360000      0.43370000      0.08330000      0.07060000      0.00650000      0.13160000      0.00640000      0.00000000      5.21260000
     -6.66860000      0.30550000      0.00500000      0.02800000      0.00480000      0.00440000      0.00030000      0.00770000      0.00030000      0.00000000      0.35600000
     -6.61860000      1.94430000      0.01060000      0.11470000      0.01060000      0.00950000      0.00820000      0.00620000      0.00820000      0.00000000      2.11230000
     -6.56860000     10.38600000      0.05560000      0.61290000      0.05570000      0.05160000      0.04460000      0.03380000      0.04460000      0.00000000     11.28480000
     -6.51860000     12.48770000      0.06680000      0.73960000      0.06700000      0.06280000      0.05410000      0.04210000      0.05400000      0.00000000     13.57410000
     -6.46860000      3.44650000      0.01860000      0.20490000      0.01840000      0.01760000      0.01480000      0.01200000      0.01490000      0.00000000      3.74770000
     -6.41860000      0.21300000      0.00150000      0.01260000      0.00160000      0.00090000      0.00080000      0.00060000      0.00090000      0.00000000      0.23190000
     -6.36860000      0.68980000      0.00590000      0.02570000      0.00650000      0.00220000      0.00180000      0.00120000      0.00240000      0.00000000      0.73550000
     -6.31860000      6.73220000      0.01720000      0.22820000      0.01820000      0.02630000      0.01560000      0.01180000      0.01640000      0.00000000      7.06590000
     -6.26860000     24.48780000      0.07010000      0.72930000      0.07040000      0.15570000      0.11360000      0.06660000      0.11410000      0.00030000     25.80790000
     -6.21860000     38.90130000      0.15760000      1.06630000      0.15750000      0.31630000      0.23430000      0.13730000      0.23420000      0.00090000     41.20570000
     -6.16860000     18.00680000      0.10100000      0.49880000      0.10120000      0.16590000      0.11050000      0.08230000      0.11050000      0.00010000     19.17710000
     -6.11860000      4.83020000      0.22470000      0.45930000      0.22440000      0.06110000      0.01840000      0.17950000      0.01860000      0.00000000      6.01620000
     -6.06860000      9.06990000      0.71130000      1.27870000      0.71110000      0.13110000      0.02000000      0.54020000      0.01990000      0.00000000     12.48220000
     -6.01860000      7.46250000      0.58010000      0.96770000      0.57940000      0.10130000      0.02040000      0.37310000      0.02030000      0.00000000     10.10480000
     -5.96860000      5.23520000      0.34680000      0.55380000      0.34660000      0.06010000      0.02270000      0.14910000      0.02240000      0.00000000      6.73670000
     -5.91860000      1.68480000      0.10740000      0.17130000      0.10740000      0.01880000      0.00750000      0.04170000      0.00750000      0.00000000      2.14640000
     -5.86860000      0.10390000      0.00630000      0.01040000      0.00630000      0.00120000      0.00040000      0.00210000      0.00040000      0.00000000      0.13100000
