      Energy(eV)          TDOS
     -7.01860000      48.58020000
     -6.96860000      72.10740000
     -6.91860000      38.39940000
     -6.86860000      30.37360000
     -6.81860000      59.26540000
     -6.76860000      55.98900000
     -6.71860000      14.49680000
     -6.66860000       0.98000000
     -6.61860000       5.41570000
     -6.56860000      29.03080000
     -6.51860000      35.08050000
     -6.46860000       9.75710000
     -6.41860000       2.22810000
     -6.36860000      15.04220000
     -6.31860000      36.74430000
     -6.26860000      69.60060000
     -6.21860000     103.80850000
     -6.16860000      48.47410000
     -6.11860000      18.29930000
     -6.06860000      41.46830000
     -6.01860000      33.96300000
     -5.96860000      23.06400000
     -5.91860000       7.37330000
     -5.86860000       0.45390000
     -5.81860000       0.00450000
     -5.76860000       0.00000000
     -5.71860000       0.00000000
     -5.66860000       0.00000000
     -5.61860000       0.00000000
     -5.56860000       0.00000000
     -5.51860000       0.00000000
     -5.46860000       0.00000000
     -5.41860000       0.00000000
     -5.36860000       0.00690000
     -5.31860000       0.61300000
     -5.26860000       9.64800000
     -5.21860000      44.43510000
     -5.16860000      99.54480000
     -5.11860000      72.97160000
     -5.06860000      12.35580000
     -5.01860000       0.43750000
     -4.96860000       1.00770000
     -4.91860000      10.80360000
     -4.86860000      20.56750000
     -4.81860000       7.16960000
     -4.76860000       0.43470000
     -4.71860000       0.00420000
     -4.66860000       0.00000000
     -4.61860000       0.00000000
     -4.56860000       0.00000000
     -4.51860000       0.00000000
     -4.46860000       0.00000000
     -4.41860000       0.00000000
     -4.36860000       0.00000000
     -4.31860000       0.00000000
     -4.26860000       0.00100000
     -4.21860000       0.19310000
     -4.16860000       6.95930000
     -4.11860000      52.61170000
     -4.06860000      94.17240000
     -4.01860000      41.65880000
     -3.96860000       4.46730000
     -3.91860000       7.57410000
     -3.86860000      63.40520000
     -3.81860000     110.95700000
     -3.76860000      72.59470000
     -3.71860000      42.59550000
     -3.66860000      21.66870000
     -3.61860000      18.43300000
     -3.56860000      31.40900000
     -3.51860000      50.50740000
     -3.46860000      55.99320000
     -3.41860000      37.10870000
     -3.36860000      12.62090000
     -3.31860000      36.71720000
     -3.26860000      79.37060000
     -3.21860000     118.81340000
     -3.16860000     126.16030000
     -3.11860000     134.34860000
     -3.06860000     149.96030000
     -3.01860000     114.60580000
     -2.96860000      73.35150000
     -2.91860000      61.94240000
     -2.86860000      21.04630000
     -2.81860000      16.55400000
     -2.76860000      18.16540000
     -2.71860000       4.00170000
     -2.66860000       4.05780000
     -2.61860000      27.70960000
     -2.56860000      51.23570000
     -2.51860000      31.18030000
     -2.46860000       5.76760000
     -2.41860000       5.55850000
     -2.36860000      43.03090000
     -2.31860000      92.62430000
     -2.26860000      67.92030000
     -2.21860000      66.96000000
     -2.16860000      94.14910000
     -2.11860000      73.47690000
     -2.06860000      62.21920000
     -2.01860000      40.38350000
     -1.96860000      15.98420000
     -1.91860000      24.69670000
     -1.86860000      70.24610000
     -1.81860000     110.07160000
     -1.76860000      63.20100000
     -1.71860000      19.03510000
     -1.66860000      21.17560000
     -1.61860000       8.76190000
     -1.56860000       3.65760000
     -1.51860000      25.65690000
     -1.46860000      39.46200000
     -1.41860000      11.24490000
     -1.36860000       0.66890000
     -1.31860000       5.88560000
     -1.26860000      55.79240000
     -1.21860000     110.03280000
     -1.16860000      83.16770000
     -1.11860000      92.52820000
     -1.06860000      87.08750000
     -1.01860000      89.13630000
     -0.96860000      55.49300000
     -0.91860000      80.16060000
     -0.86860000     139.01490000
     -0.81860000     145.37570000
     -0.76860000     113.60980000
     -0.71860000      99.38390000
     -0.66860000      80.83340000
     -0.61860000      65.87440000
     -0.56860000     136.22580000
     -0.51860000     208.16090000
     -0.46860000     139.35450000
     -0.41860000     101.19030000
     -0.36860000     137.27330000
     -0.31860000     167.29740000
     -0.26860000     185.86140000
     -0.21860000     161.15220000
     -0.16860000     104.35840000
     -0.11860000      55.79500000
     -0.06860000      47.64320000
     -0.01860000      68.13760000
      0.03140000      51.65570000
      0.08140000      11.85450000
      0.13140000       0.55440000
      0.18140000       0.01420000
      0.23140000       0.95030000
      0.28140000      14.86430000
      0.33140000      41.10200000
      0.38140000      21.09950000
      0.43140000       1.94430000
      0.48140000       0.02960000
      0.53140000       0.00010000
      0.58140000       0.00000000
      0.63140000       0.00000000
      0.68140000       0.00000000
      0.73140000       0.00000000
      0.78140000       0.00020000
      0.83140000       0.06840000
      0.88140000       4.13540000
      0.93140000      42.48420000
      0.98140000      84.45600000
      1.03140000      56.57090000
      1.08140000      40.66850000
      1.13140000      11.03230000
      1.18140000       0.57900000
      1.23140000       0.00520000
      1.28140000       0.01630000
      1.33140000       1.04930000
      1.38140000      11.01760000
      1.43140000      20.50940000
      1.48140000       6.98950000
      1.53140000       0.41450000
      1.58140000       0.13100000
      1.63140000       3.65690000
      1.68140000      17.83010000
      1.73140000      15.79290000
      1.78140000       2.57760000
      1.83140000       2.24820000
      1.88140000      14.96570000
      1.93140000      18.48490000
      1.98140000       4.15580000
      2.03140000       0.15910000
      2.08140000       0.00130000
      2.13140000       0.09260000
      2.18140000       3.98640000
      2.23140000      30.65080000
      2.28140000      53.40390000
      2.33140000      36.66100000
      2.38140000      25.51110000
      2.43140000      12.92310000
      2.48140000      18.68820000
      2.53140000      15.58770000
      2.58140000       2.43110000
      2.63140000       0.06340000
      2.68140000       0.00030000
      2.73140000       0.00000000
      2.78140000       0.00000000
      2.83140000       0.00000000
      2.88140000       0.00000000
      2.93140000       0.00000000
      2.98140000       0.00000000
      3.03140000       0.01670000
      3.08140000       1.06530000
      3.13140000      11.09390000
      3.18140000      20.48740000
      3.23140000       6.92610000
      3.28140000       0.40670000
      3.33140000       0.00690000
      3.38140000       0.35700000
      3.43140000       6.55650000
      3.48140000      23.32680000
      3.53140000      28.47070000
      3.58140000      18.17020000
      3.63140000       6.02550000
      3.68140000      21.23660000
      3.73140000      36.79200000
      3.78140000      17.15990000
      3.83140000       1.86410000
      3.88140000       0.03760000
      3.93140000       0.04720000
      3.98140000       2.63430000
      4.03140000      25.02940000
      4.08140000      53.41110000
      4.13140000      58.01450000
      4.18140000      69.61140000
      4.23140000      79.72600000
      4.28140000      30.46130000
      4.33140000      19.62860000
      4.38140000      47.55240000
      4.43140000      39.67240000
      4.48140000      13.04930000
      4.53140000       1.15620000
      4.58140000       0.88550000
      4.63140000      10.08920000
      4.68140000      20.72000000
      4.73140000       7.90550000
      4.78140000       6.56780000
      4.83140000      63.70010000
      4.88140000     151.76250000
      4.93140000     103.00660000
      4.98140000      54.49090000
      5.03140000      51.30650000
      5.08140000      40.85040000
      5.13140000      36.04470000
      5.18140000      11.80400000
      5.23140000       0.86120000
      5.28140000       0.01120000
      5.33140000       0.00710000
      5.38140000       0.66860000
      5.43140000      12.27170000
      5.48140000      56.64950000
      5.53140000      69.81440000
      5.58140000      19.57220000
      5.63140000       2.35390000
      5.68140000      12.22170000
      5.73140000      20.31220000
      5.78140000      12.60360000
      5.83140000      34.04830000
      5.88140000      33.09540000
      5.93140000       7.09040000
      5.98140000      15.07840000
      6.03140000      49.32580000
      6.08140000      73.68340000
      6.13140000      76.80930000
      6.18140000      23.03130000
      6.23140000       2.22940000
      6.28140000      11.18290000
      6.33140000      40.41360000
      6.38140000      93.80080000
      6.43140000     112.00510000
      6.48140000      63.39350000
      6.53140000      32.47140000
      6.58140000      17.66530000
      6.63140000      20.80820000
      6.68140000       7.02970000
      6.73140000       3.07710000
      6.78140000      23.58180000
      6.83140000      39.76150000
      6.88140000      13.12950000
      6.93140000       0.80480000
      6.98140000       0.00840000
      7.03140000       0.00000000
      7.08140000       0.00000000
      7.13140000       0.00000000
      7.18140000       0.00000000
      7.23140000       0.00000000
      7.28140000       0.00000000
      7.33140000       0.00000000
      7.38140000       0.00000000
