      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.17010000      0.02430000      0.02410000      0.08180000      0.00140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13160000
     -7.12010000      0.29600000      0.29480000      0.99750000      0.01780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.60610000
     -7.07010000      0.64040000      0.63540000      2.14890000      0.03870000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.46340000
     -7.02010000      0.28780000      0.26810000      0.89210000      0.01890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.46690000
     -6.97010000      0.13830000      0.16140000      0.45660000      0.01570000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.77200000
     -6.92010000      0.18450000      0.32360000      0.89020000      0.02230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.42060000
     -6.87010000      0.10510000      0.24540000      0.49780000      0.01320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.86150000
     -6.82010000      0.10070000      0.36720000      0.55460000      0.02200000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.04450000
     -6.77010000      0.09140000      0.34600000      0.57480000      0.02990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.04210000
     -6.72010000      0.02530000      0.09610000      0.15300000      0.01060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.28500000
     -6.67010000      0.06090000      0.33730000      0.17430000      0.01360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.58610000
     -6.62010000      0.33360000      1.83020000      0.91740000      0.07260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.15380000
     -6.57010000      0.41400000      2.05810000      1.06500000      0.08510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.62220000
     -6.52010000      0.32350000      1.31440000      0.73100000      0.06580000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.43470000
     -6.47010000      0.43570000      1.87350000      1.02140000      0.10070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.43130000
     -6.42010000      0.19700000      0.86120000      0.46680000      0.04640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.57140000
     -6.37010000      0.02040000      0.07380000      0.04280000      0.01190000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14890000
     -6.32010000      0.04600000      0.02780000      0.03920000      0.43890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.55190000
     -6.27010000      0.18550000      0.18540000      0.13620000      4.06990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.57700000
     -6.22010000      0.25760000      0.30790000      0.18210000      6.98930000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.73690000
     -6.17010000      0.09230000      0.11200000      0.06670000      2.35490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.62590000
     -6.12010000      0.00940000      0.01730000      0.01450000      0.16200000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20320000
     -6.07010000      0.01120000      0.05480000      0.05860000      0.01740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14200000
     -6.02010000      0.01260000      0.06610000      0.07080000      0.01510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.16460000
     -5.97010000      0.00610000      0.04770000      0.05470000      0.00630000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11480000
     -5.92010000      0.04400000      0.41820000      0.49510000      0.04270000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.00000000
     -5.87010000      0.09690000      0.92230000      1.09170000      0.09410000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.20500000
     -5.82010000      0.03920000      0.37320000      0.44150000      0.04250000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.89640000
     -5.77010000      0.00290000      0.03040000      0.03190000      0.31250000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.37770000
     -5.72010000      0.00200000      0.04540000      0.00630000      3.52940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.58310000
     -5.67010000      0.00360000      0.09060000      0.01190000      7.10460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.21070000
     -5.62010000      0.00130000      0.03330000      0.00430000      2.61950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.65840000
     -5.57010000      0.00000000      0.00210000      0.00020000      0.16840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.17070000
     -5.52010000      0.00000000      0.00000000      0.00000000      0.00160000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00160000
     -5.47010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.42010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.37010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.32010000      0.00000000      0.00000000      0.00000000      0.00160000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00160000
     -5.27010000      0.00210000      0.00580000      0.00470000      0.08910000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10170000
     -5.22010000      0.03370000      0.08740000      0.07000000      0.84890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.04000000
     -5.17010000      0.09370000      0.25400000      0.19630000      2.61080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.15480000
     -5.12010000      0.05890000      0.25160000      0.18080000      5.64740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.13870000
     -5.07010000      0.03580000      0.34180000      0.28440000      3.96820000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.63020000
     -5.02010000      0.02070000      0.20950000      0.18690000      0.63100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.04810000
     -4.97010000      0.00250000      0.02560000      0.02330000      0.02900000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08040000
     -4.92010000      0.00000000      0.00050000      0.00050000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00130000
     -4.87010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.82010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.77010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.72010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.67010000      0.00080000      0.01470000      0.01200000      0.00310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03060000
     -4.62010000      0.02790000      0.52040000      0.41680000      0.10620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.07130000
     -4.57010000      0.16530000      3.08240000      2.46960000      0.70530000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.42260000
     -4.52010000      0.19420000      3.53230000      2.83620000      2.12910000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.69180000
     -4.47010000      0.11520000      2.17750000      1.81570000      4.59980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.70820000
     -4.42010000      0.17430000      4.99940000      4.32770000      2.50740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.00880000
     -4.37010000      0.14520000      4.61580000      4.01290000      0.25560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.02950000
     -4.32010000      0.02560000      0.82870000      0.72090000      0.00560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.58080000
     -4.27010000      0.00070000      0.02530000      0.02190000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04790000
     -4.22010000      0.00000000      0.00030000      0.00060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00090000
     -4.17010000      0.00260000      0.01580000      0.03080000      0.00790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05710000
     -4.12010000      0.02300000      0.13920000      0.26110000      0.10450000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.52780000
     -4.07010000      0.03900000      0.24910000      0.45150000      0.28340000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.02300000
     -4.02010000      0.05940000      0.40940000      0.93680000      0.21260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.61820000
     -3.97010000      0.14780000      1.01250000      2.47340000      0.19650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.83020000
     -3.92010000      0.08340000      0.57100000      1.38420000      0.12280000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.16140000
     -3.87010000      0.02970000      0.20730000      0.35390000      0.19540000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.78630000
