      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.17010000      0.06740000      0.00190000      0.00080000      0.00110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07120000
     -7.12010000      0.82450000      0.02380000      0.01130000      0.01380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.87340000
     -7.07010000      1.77820000      0.05180000      0.02450000      0.02980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.88430000
     -7.02010000      0.75110000      0.02100000      0.01070000      0.01350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.79630000
     -6.97010000      0.37640000      0.00970000      0.00640000      0.00680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.39930000
     -6.92010000      0.68020000      0.01880000      0.01040000      0.00950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.71890000
     -6.87010000      0.37670000      0.01020000      0.00610000      0.00540000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.39840000
     -6.82010000      0.41720000      0.01020000      0.00740000      0.00600000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.44080000
     -6.77010000      0.43430000      0.01040000      0.00730000      0.00560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.45760000
     -6.72010000      0.11730000      0.00270000      0.00180000      0.00150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.12330000
     -6.67010000      0.13670000      0.00200000      0.00200000      0.00610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14680000
     -6.62010000      0.72460000      0.01160000      0.01150000      0.03220000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.77990000
     -6.57010000      0.87130000      0.01340000      0.01420000      0.03780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.93670000
     -6.52010000      0.60700000      0.00930000      0.00930000      0.02760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.65320000
     -6.47010000      0.77840000      0.01370000      0.00980000      0.04030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.84220000
     -6.42010000      0.35040000      0.00630000      0.00410000      0.01860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.37940000
     -6.37010000      0.03830000      0.00050000      0.00040000      0.00170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04090000
     -6.32010000      0.29240000      0.00070000      0.01220000      0.00480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.31010000
     -6.27010000      2.42880000      0.00370000      0.10260000      0.03380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.56890000
     -6.22010000      4.09270000      0.00410000      0.17340000      0.05620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.32640000
     -6.17010000      1.38150000      0.00100000      0.05850000      0.01940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.46040000
     -6.12010000      0.10030000      0.00010000      0.00390000      0.00160000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10590000
     -6.07010000      0.03610000      0.00080000      0.00020000      0.00150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03860000
     -6.02010000      0.03910000      0.00080000      0.00020000      0.00140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04150000
     -5.97010000      0.02160000      0.00080000      0.00010000      0.00100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02350000
     -5.92010000      0.16930000      0.00730000      0.00200000      0.00750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.18610000
     -5.87010000      0.37330000      0.01620000      0.00430000      0.01670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.41050000
     -5.82010000      0.15370000      0.00650000      0.00200000      0.00680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.16900000
     -5.77010000      0.19440000      0.00050000      0.00730000      0.00300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20520000
     -5.72010000      2.09150000      0.00180000      0.08180000      0.02650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.20160000
     -5.67010000      4.20980000      0.00340000      0.16480000      0.05310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.43110000
     -5.62010000      1.55220000      0.00130000      0.06080000      0.01950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.63380000
     -5.57010000      0.09980000      0.00000000      0.00400000      0.00120000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10500000
     -5.52010000      0.00100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00100000
     -5.47010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.42010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.37010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.32010000      0.00100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00100000
     -5.27010000      0.06440000      0.00010000      0.00220000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06750000
     -5.22010000      0.64210000      0.00450000      0.02180000      0.00980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.67820000
     -5.17010000      1.95490000      0.01180000      0.06710000      0.03030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.06410000
     -5.12010000      3.91990000      0.01140000      0.13850000      0.06150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.13130000
     -5.07010000      2.74710000      0.00960000      0.09710000      0.04580000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.89960000
     -5.02010000      0.47180000      0.00470000      0.01610000      0.00970000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.50230000
     -4.97010000      0.02530000      0.00040000      0.00070000      0.00060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02700000
     -4.92010000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -4.87010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.82010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.77010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.72010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.67010000      0.01150000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01200000
     -4.62010000      0.40520000      0.01620000      0.00440000      0.00920000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.43500000
     -4.57010000      2.45060000      0.09510000      0.02660000      0.05470000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.62700000
     -4.52010000      3.67680000      0.11080000      0.05970000      0.07470000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.92200000
     -4.47010000      4.19030000      0.06360000      0.10940000      0.07740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.44070000
     -4.42010000      3.43750000      0.10220000      0.06970000      0.10800000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.71740000
     -4.37010000      1.69870000      0.08700000      0.01820000      0.08140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.88530000
     -4.32010000      0.27620000      0.01550000      0.00210000      0.01420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.30800000
     -4.27010000      0.00830000      0.00060000      0.00000000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00910000
     -4.22010000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00020000
     -4.17010000      0.02430000      0.00020000      0.00010000      0.00070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02530000
     -4.12010000      0.23020000      0.00380000      0.00370000      0.00800000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.24570000
     -4.07010000      0.46120000      0.00720000      0.00880000      0.01440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.49160000
     -4.02010000      0.72430000      0.01270000      0.00810000      0.02660000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.77170000
