      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.17010000      0.01510000      0.06690000      0.07010000      0.05270000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20480000
     -7.12010000      0.19100000      0.82560000      0.86200000      0.65740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.53600000
     -7.07010000      0.51660000      2.24650000      1.94940000      1.88360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.59610000
     -7.02010000      1.24090000      5.51490000      1.73660000      5.34640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     13.83880000
     -6.97010000      2.17470000      9.67530000      2.52630000      9.49170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     23.86800000
     -6.92010000      1.27410000      5.55530000      2.74510000      5.26920000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     14.84370000
     -6.87010000      0.75930000      2.93430000      3.61670000      2.75860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     10.06890000
     -6.82010000      1.80200000      5.60360000      5.72750000      5.29840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     18.43150000
     -6.77010000      2.51140000      7.18090000      4.71280000      6.86180000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     21.26690000
     -6.72010000      0.85950000      2.40540000      1.25970000      2.32010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.84470000
     -6.67010000      0.13900000      0.42360000      0.39560000      0.27900000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.23720000
     -6.62010000      0.50290000      1.54730000      2.02580000      0.76940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.84540000
     -6.57010000      0.92930000      2.38540000      4.03970000      1.48310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.83750000
     -6.52010000      0.90030000      2.02220000      4.08240000      1.50150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.50640000
     -6.47010000      0.69370000      1.77340000      2.99950000      1.18630000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.65290000
     -6.42010000      0.27110000      0.72790000      1.14870000      0.46670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.61440000
     -6.37010000      0.09240000      0.18370000      0.36570000      0.15930000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.80110000
     -6.32010000      0.73050000      1.24070000      2.74590000      1.27850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.99560000
     -6.27010000      2.68620000      4.23740000      9.47920000      4.80510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     21.20790000
     -6.22010000      4.53180000      7.02610000     15.05390000      8.03290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     34.64470000
     -6.17010000      2.37590000      3.88970000      7.45910000      4.16330000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     17.88800000
     -6.12010000      0.67730000      1.47370000      1.01840000      1.47580000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.64520000
     -6.07010000      2.21960000      5.52390000      0.94100000      5.51880000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     14.20330000
     -6.02010000      2.33100000      5.79210000      1.03300000      5.78660000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     14.94270000
     -5.97010000      0.48100000      1.18070000      0.34180000      1.17870000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.18220000
     -5.92010000      0.35470000      0.73310000      1.62380000      0.72070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.43230000
     -5.87010000      0.74960000      1.53550000      3.56790000      1.50780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.36080000
     -5.82010000      0.30340000      0.62110000      1.44280000      0.61080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.97810000
     -5.77010000      0.02190000      0.04730000      0.10370000      0.09990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.27280000
     -5.72010000      0.00810000      0.03710000      0.01770000      0.64590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.70880000
     -5.67010000      0.01610000      0.07420000      0.03360000      1.29920000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.42310000
     -5.62010000      0.00600000      0.02680000      0.01240000      0.47900000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.52420000
     -5.57010000      0.00020000      0.00140000      0.00040000      0.03050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03250000
     -5.52010000      0.00000000      0.00000000      0.00000000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00030000
     -5.47010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.42010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.37010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.32010000      0.00120000      0.00570000      0.00110000      0.00460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01260000
