      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.17010000      0.16320000      0.00510000      0.00360000      0.00370000      0.00050000      0.00010000      0.00090000      0.00000000      0.00000000      0.17710000
     -7.12010000      2.01260000      0.06070000      0.04770000      0.04920000      0.01100000      0.00620000      0.01490000      0.00540000      0.00010000      2.20780000
     -7.07010000      5.47450000      0.17590000      0.12540000      0.15000000      0.03310000      0.01650000      0.04060000      0.01460000      0.00020000      6.03080000
     -7.02010000     13.41640000      0.49940000      0.27960000      0.49880000      0.10220000      0.03710000      0.09880000      0.03460000      0.00010000     14.96700000
     -6.97010000     23.64300000      0.86900000      0.53920000      0.90680000      0.18450000      0.06610000      0.16840000      0.06040000      0.00090000     26.43830000
     -6.92010000     14.40900000      0.45340000      0.49960000      0.45070000      0.10240000      0.03950000      0.08430000      0.03890000      0.00040000     16.07820000
     -6.87010000     10.66310000      0.12190000      0.71040000      0.10720000      0.05640000      0.02240000      0.05900000      0.02300000      0.00010000     11.76350000
     -6.82010000     17.89440000      0.17630000      1.49070000      0.17190000      0.16220000      0.03350000      0.26410000      0.03220000      0.00010000     20.22540000
     -6.77010000     18.28040000      0.29100000      1.69960000      0.29130000      0.24900000      0.03180000      0.44960000      0.03070000      0.00010000     21.32350000
     -6.72010000      5.60960000      0.10560000      0.55200000      0.10640000      0.08770000      0.00920000      0.16390000      0.00890000      0.00000000      6.64330000
     -6.67010000      1.07170000      0.01210000      0.07830000      0.01070000      0.00930000      0.00370000      0.01280000      0.00360000      0.00000000      1.20220000
     -6.62010000      4.46450000      0.02710000      0.26290000      0.02260000      0.02130000      0.02110000      0.00990000      0.02100000      0.00000000      4.85040000
     -6.57010000      8.72250000      0.04770000      0.51290000      0.04680000      0.04180000      0.04010000      0.02410000      0.03970000      0.00010000      9.47570000
     -6.52010000      8.73740000      0.04500000      0.50460000      0.04910000      0.04620000      0.03820000      0.03070000      0.03870000      0.00000000      9.48990000
     -6.47010000      6.53670000      0.03600000      0.35700000      0.03690000      0.04240000      0.02670000      0.02910000      0.03010000      0.00000000      7.09490000
     -6.42010000      2.52360000      0.01420000      0.13500000      0.01410000      0.01730000      0.01030000      0.01170000      0.01160000      0.00000000      2.73780000
     -6.37010000      0.89000000      0.00150000      0.03510000      0.00170000      0.00370000      0.00100000      0.00210000      0.00180000      0.00000000      0.93690000
     -6.32010000      6.86060000      0.01090000      0.23000000      0.01190000      0.02920000      0.01320000      0.01320000      0.01740000      0.00000000      7.18640000
     -6.27010000     23.30610000      0.06810000      0.67850000      0.07090000      0.14590000      0.11110000      0.06010000      0.10460000      0.00020000     24.54550000
     -6.22010000     37.39900000      0.15580000      0.98350000      0.15730000      0.29570000      0.23670000      0.12060000      0.21670000      0.00100000     39.56630000
     -6.17010000     19.36200000      0.09840000      0.50540000      0.10110000      0.17150000      0.11640000      0.07500000      0.12400000      0.00010000     20.55390000
     -6.12010000      3.49890000      0.13870000      0.25260000      0.13990000      0.04130000      0.01310000      0.09650000      0.01690000      0.00000000      4.19790000
     -6.07010000      6.52200000      0.71050000      1.10890000      0.71280000      0.10750000      0.00310000      0.49900000      0.00310000      0.00000000      9.66690000
     -6.02010000      6.84470000      0.74060000      1.18260000      0.74330000      0.11310000      0.00340000      0.52990000      0.00340000      0.00000000     10.16100000
     -5.97010000      1.51050000      0.14790000      0.25050000      0.14800000      0.02410000      0.00200000      0.10540000      0.00180000      0.00000000      2.19020000
     -5.92010000      2.18860000      0.06790000      0.22180000      0.06550000      0.02370000      0.01380000      0.02520000      0.01310000      0.00010000      2.61970000
     -5.87010000      4.73130000      0.13980000      0.47260000      0.13420000      0.05070000      0.03020000      0.04830000      0.02930000      0.00020000      5.63660000
     -5.82010000      1.91360000      0.05640000      0.19110000      0.05430000      0.02040000      0.01230000      0.01950000      0.01170000      0.00010000      2.27940000
     -5.77010000      0.13750000      0.00430000      0.01370000      0.00420000      0.00120000      0.00060000      0.00140000      0.00080000      0.00000000      0.16370000
     -5.72010000      0.02380000      0.00260000      0.00400000      0.00620000      0.00030000      0.00020000      0.00070000      0.00250000      0.00010000      0.04040000
     -5.67010000      0.04440000      0.00570000      0.00780000      0.01240000      0.00130000      0.00060000      0.00160000      0.00530000      0.00010000      0.07920000
     -5.62010000      0.01640000      0.00170000      0.00270000      0.00440000      0.00020000      0.00010000      0.00060000      0.00180000      0.00000000      0.02790000
     -5.57010000      0.00080000      0.00000000      0.00000000      0.00020000      0.00000000      0.00000000      0.00000000      0.00020000      0.00000000      0.00120000
     -5.52010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.47010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.42010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.37010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.32010000      0.00670000      0.00050000      0.00000000      0.00130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00850000
     -5.27010000      0.52010000      0.06020000      0.02690000      0.08980000      0.00470000      0.00590000      0.01210000      0.00360000      0.00000000      0.72330000
     -5.22010000      7.24940000      0.94590000      0.36930000      1.06380000      0.07460000      0.06940000      0.17020000      0.06120000      0.00180000     10.00560000
     -5.17010000     21.02860000      3.03350000      1.08830000      2.88190000      0.21020000      0.18690000      0.49620000      0.20300000      0.00660000     29.13520000
     -5.12010000     14.99260000      2.12120000      0.80160000      2.06740000      0.15970000      0.13540000      0.36180000      0.14490000      0.00420000     20.78880000
     -5.07010000      7.53330000      0.56400000      0.37490000      0.62800000      0.16870000      0.03300000      0.20830000      0.02850000      0.00110000      9.53980000
     -5.02010000      3.79870000      0.18550000      0.17820000      0.18470000      0.10640000      0.00500000      0.11060000      0.00360000      0.00010000      4.57280000
     -4.97010000      0.46220000      0.02160000      0.02150000      0.02010000      0.01310000      0.00030000      0.01350000      0.00020000      0.00000000      0.55250000
     -4.92010000      0.00960000      0.00010000      0.00020000      0.00000000      0.00000000      0.00000000      0.00020000      0.00000000      0.00000000      0.01010000
     -4.87010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.82010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.77010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.72010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.67010000      0.00150000      0.00000000      0.00050000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00220000
     -4.62010000      0.05230000      0.00270000      0.02570000      0.01110000      0.00210000      0.00010000      0.00270000      0.00020000      0.00000000      0.09690000
     -4.57010000      0.31120000      0.01770000      0.15430000      0.06810000      0.01210000      0.00190000      0.01670000      0.00230000      0.00000000      0.58430000
     -4.52010000      0.35060000      0.02610000      0.19610000      0.10970000      0.01490000      0.00350000      0.01880000      0.00500000      0.00010000      0.72480000
     -4.47010000      0.14550000      0.03270000      0.15390000      0.14210000      0.01010000      0.00640000      0.00780000      0.00860000      0.00030000      0.50740000
     -4.42010000      0.16920000      0.04420000      0.17990000      0.11890000      0.00970000      0.00580000      0.00970000      0.00600000      0.00030000      0.54370000
     -4.37010000      0.13840000      0.03190000      0.12850000      0.05870000      0.00600000      0.00310000      0.00820000      0.00210000      0.00010000      0.37700000
     -4.32010000      0.02450000      0.00540000      0.02210000      0.00920000      0.00090000      0.00040000      0.00110000      0.00020000      0.00000000      0.06380000
     -4.27010000      0.00050000      0.00000000      0.00050000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00110000
     -4.22010000      0.00020000      0.00340000      0.00450000      0.00200000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01010000
     -4.17010000      0.02160000      0.18820000      0.27600000      0.13030000      0.01330000      0.01070000      0.00200000      0.01310000      0.00000000      0.65520000
     -4.12010000      0.21460000      1.85410000      2.92110000      1.54580000      0.14390000      0.12310000      0.02400000      0.13390000      0.00010000      6.96060000
     -4.07010000      0.43830000      3.54980000      6.09910000      3.60210000      0.30160000      0.27660000      0.04980000      0.26950000      0.00110000     14.58790000
     -4.02010000      0.54420000      1.61120000      2.94860000      1.77330000      0.14260000      0.13140000      0.03950000      0.11920000      0.00020000      7.31020000
     -3.97010000      1.15870000      0.79130000      1.26150000      0.38960000      0.05090000      0.02550000      0.05880000      0.03320000      0.00040000      3.76990000
     -3.92010000      0.97710000      0.63270000      0.83610000      0.30770000      0.03580000      0.02330000      0.05220000      0.02970000      0.00010000      2.89470000
     -3.87010000      2.85380000      2.32250000      2.23010000      2.00060000      0.12940000      0.18930000      0.17030000      0.19320000      0.00130000     10.09050000
     -3.82010000      4.63490000      4.66050000      3.72100000      4.90350000      0.23880000      0.51830000      0.28010000      0.52000000      0.00610000     19.48320000
     -3.77010000      2.60210000      4.05770000      1.97340000      4.82690000      0.12020000      0.59370000      0.16550000      0.59130000      0.01420000     14.94500000
     -3.72010000      1.53950000      2.10600000      1.03440000      2.71990000      0.05150000      0.32160000      0.10590000      0.31650000      0.00980000      8.20510000
     -3.67010000      0.92970000      0.61230000      0.63220000      0.80920000      0.03320000      0.06830000      0.06760000      0.06070000      0.00210000      3.21530000
     -3.62010000      0.71140000      0.51150000      0.65480000      0.32230000      0.04760000      0.02240000      0.05920000      0.01910000      0.00140000      2.34970000
     -3.57010000      0.92490000      0.95400000      1.25790000      0.62090000      0.07600000      0.03780000      0.08590000      0.03650000      0.00190000      3.99580000
     -3.52010000      1.18080000      1.95870000      3.01520000      1.80040000      0.16580000      0.09740000      0.13510000      0.09630000      0.00050000      8.45020000
     -3.47010000      0.85850000      2.26490000      4.15050000      2.13070000      0.44850000      0.15350000      0.15260000      0.15390000      0.00010000     10.31320000
     -3.42010000      0.15710000      1.86910000      2.33220000      1.74080000      0.37120000      0.17720000      0.07490000      0.18020000      0.00010000      6.90280000
     -3.37010000      0.03630000      0.88410000      0.38200000      0.82980000      0.06480000      0.09110000      0.01410000      0.09200000      0.00280000      2.39700000
     -3.32010000      0.18830000      2.25460000      0.15720000      2.18620000      0.01450000      0.25130000      0.02140000      0.25190000      0.02230000      5.34770000
     -3.27010000      0.36140000      4.85600000      0.34090000      4.90260000      0.03060000      0.55520000      0.05430000      0.55700000      0.03520000     11.69320000
     -3.22010000      1.19080000      6.86290000      1.14810000      6.94850000      0.11570000      0.75930000      0.22360000      0.75570000      0.03300000     18.03760000
     -3.17010000      3.72710000      6.95880000      2.29240000      7.03900000      0.26560000      0.83960000      0.52170000      0.84150000      0.06370000     22.54940000
