      Energy(eV)          TDOS
     -7.22010000       0.01050000
     -7.17010000       0.79080000
     -7.12010000       9.71640000
     -7.07010000      24.20580000
     -7.02010000      42.10810000
     -6.97010000      69.93980000
     -6.92010000      45.11660000
     -6.87010000      32.11110000
     -6.82010000      55.54420000
     -6.77010000      60.35470000
     -6.72010000      18.95420000
     -6.67010000       4.42900000
     -6.62010000      19.18900000
     -6.57010000      32.10370000
     -6.52010000      29.43980000
     -6.47010000      25.03740000
     -6.42010000      10.13200000
     -6.37010000       2.63350000
     -6.32010000      19.17890000
     -6.27010000      73.41000000
     -6.22010000     120.01820000
     -6.17010000      58.74840000
     -6.12010000      12.52390000
     -6.07010000      32.79920000
     -6.02010000      34.53120000
     -5.97010000       7.50530000
     -5.92010000       9.65030000
     -5.87010000      20.80190000
     -5.82010000       8.42640000
     -5.77010000       1.49810000
     -5.72010000      10.28330000
     -5.67010000      20.68610000
     -5.62010000       7.62690000
     -5.57010000       0.49040000
     -5.52010000       0.00510000
     -5.47010000       0.00000000
     -5.42010000       0.00000000
     -5.37010000       0.00010000
     -5.32010000       0.03770000
     -5.27010000       2.60000000
     -5.22010000      34.60350000
     -5.17010000     101.29920000
     -5.12010000      83.28070000
     -5.07010000      40.85690000
     -5.02010000      15.54700000
     -4.97010000       1.73940000
     -4.92010000       0.03540000
     -4.87010000       0.00010000
     -4.82010000       0.00000000
     -4.77010000       0.00000000
     -4.72010000       0.00030000
     -4.67010000       0.07860000
     -4.62010000       2.76680000
     -4.57010000      16.68130000
     -4.52010000      24.16610000
     -4.47010000      26.81700000
     -4.42010000      28.35460000
     -4.37010000      17.97520000
     -4.32010000       3.06660000
     -4.27010000       0.09310000
     -4.22010000       0.06140000
     -4.17010000       3.62780000
     -4.12010000      38.47030000
     -4.07010000      80.67730000
     -4.02010000      41.31370000
     -3.97010000      23.47360000
     -3.92010000      16.24380000
     -3.87010000      47.02060000
     -3.82010000      96.51280000
     -3.77010000      84.27980000
     -3.72010000      54.48190000
     -3.67010000      28.80280000
     -3.62010000      20.57230000
     -3.57010000      27.98670000
     -3.52010000      46.03700000
     -3.47010000      57.80110000
     -3.42010000      41.46170000
     -3.37010000      16.22010000
     -3.32010000      44.88300000
     -3.27010000      87.80840000
     -3.22010000     114.50700000
     -3.17010000     140.80970000
     -3.12010000     148.63620000
     -3.07010000     154.66960000
     -3.02010000     115.73130000
     -2.97010000      73.24430000
     -2.92010000      59.83350000
     -2.87010000      35.51720000
     -2.82010000      22.26220000
     -2.77010000      22.15060000
     -2.72010000      13.34560000
     -2.67010000       4.59910000
     -2.62010000      26.44020000
     -2.57010000      55.28080000
     -2.52010000      30.86100000
     -2.47010000       4.70840000
     -2.42010000       8.60600000
     -2.37010000      40.97220000
     -2.32010000      90.94910000
     -2.27010000      86.44890000
     -2.22010000      58.28200000
     -2.17010000      90.75390000
     -2.12010000      99.09820000
     -2.07010000      73.06070000
     -2.02010000      38.38760000
     -1.97010000      20.60450000
     -1.92010000      34.32410000
     -1.87010000      72.11120000
     -1.82010000     118.42380000
     -1.77010000      94.48140000
     -1.72010000      31.15710000
     -1.67010000      13.12440000
     -1.62010000      21.95320000
     -1.57010000      20.80400000
     -1.52010000      39.87150000
     -1.47010000      54.79550000
     -1.42010000      38.02860000
     -1.37010000      13.93520000
     -1.32010000      16.98440000
     -1.27010000      58.31800000
     -1.22010000     108.89130000
     -1.17010000      89.96640000
     -1.12010000      93.99300000
     -1.07010000      86.73410000
     -1.02010000      90.79510000
     -0.97010000      63.50780000
     -0.92010000      70.45690000
     -0.87010000     126.64300000
     -0.82010000     135.40370000
     -0.77010000     126.98600000
     -0.72010000     105.01690000
     -0.67010000      90.06330000
     -0.62010000      66.34580000
     -0.57010000     122.08070000
     -0.52010000     208.36540000
     -0.47010000     146.49580000
     -0.42010000     108.08280000
     -0.37010000     136.78200000
     -0.32010000     159.57740000
     -0.27010000     186.30660000
     -0.22010000     171.69560000
     -0.17010000     116.95910000
     -0.12010000      45.25270000
     -0.07010000      50.23740000
     -0.02010000      71.56630000
      0.02990000      52.46650000
      0.07990000      12.86020000
      0.12990000       0.65430000
      0.17990000       0.00850000
      0.22990000       0.43000000
      0.27990000       9.81440000
      0.32990000      38.49290000
      0.37990000      27.62010000
      0.42990000       3.56290000
      0.47990000       0.07640000
      0.52990000       0.00030000
      0.57990000       0.00000000
      0.62990000       0.00000000
      0.67990000       0.00000000
      0.72990000       0.00000000
      0.77990000       0.00000000
      0.82990000       0.02190000
      0.87990000       1.97060000
      0.92990000      29.64040000
      0.97990000      82.87920000
      1.02990000      62.48990000
      1.07990000      45.54780000
      1.12990000      16.29890000
      1.17990000       1.13800000
      1.22990000       0.01310000
      1.27990000       0.00000000
      1.32990000       0.00070000
      1.37990000       0.12440000
      1.42990000       3.61170000
      1.47990000      17.76460000
      1.52990000      15.86980000
      1.57990000       2.55950000
      1.62990000       0.07110000
      1.67990000       0.26610000
      1.72990000       5.52680000
      1.77990000      20.00400000
      1.82990000      18.18390000
      1.87990000      21.08040000
      1.92990000      13.29610000
      1.97990000       1.60880000
      2.02990000       0.03220000
      2.07990000       0.00010000
      2.12990000       0.00150000
      2.17990000       0.21450000
      2.22990000       5.04300000
      2.27990000      24.27410000
      2.32990000      44.97670000
      2.37990000      38.22060000
      2.42990000      16.66250000
      2.47990000      23.21380000
      2.52990000      23.66320000
      2.57990000      19.28840000
      2.62990000       4.74670000
      2.67990000       7.61580000
      2.72990000      20.64570000
      2.77990000      10.47900000
      2.82990000       0.94090000
      2.87990000       0.05480000
      2.92990000       1.86800000
      2.97990000      14.09500000
      3.02990000      19.08410000
      3.07990000       4.71150000
      3.12990000       0.19900000
      3.17990000       0.00130000
      3.22990000       0.00000000
      3.27990000       0.00000000
      3.32990000       0.00000000
