      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.06550000      0.00210000      0.00200000      0.01240000      0.00090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01740000
     -7.01550000      0.01420000      0.01120000      0.16900000      0.01210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20650000
     -6.96550000      0.02660000      0.01780000      0.68730000      0.04990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.78160000
     -6.91550000      0.01810000      0.01040000      0.61620000      0.04670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.69140000
     -6.86550000      0.01330000      0.00650000      0.23850000      0.01900000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.27730000
     -6.81550000      0.01890000      0.01570000      0.49070000      0.03680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.56210000
     -6.76550000      0.01350000      0.01490000      0.34360000      0.03620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.40820000
     -6.71550000      0.00290000      0.00310000      0.04550000      0.00820000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05970000
     -6.66550000      0.00070000      0.00060000      0.00360000      0.00070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00560000
     -6.61550000      0.01770000      0.01780000      0.06720000      0.01710000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11980000
     -6.56550000      0.10820000      0.11850000      0.36880000      0.11380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.70930000
     -6.51550000      0.18960000      0.26120000      0.47890000      0.28600000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.21570000
     -6.46550000      0.52550000      0.96090000      0.66650000      1.20270000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.35560000
     -6.41550000      0.68320000      1.27240000      0.80280000      1.60670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.36510000
     -6.36550000      0.21350000      0.38220000      0.32780000      0.50370000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.42720000
