      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.06550000      0.23750000      1.03970000      0.21350000      1.05420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.54490000
     -7.01550000      1.45080000      6.33150000      1.38950000      6.44880000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     15.62060000
     -6.96550000      2.25410000      9.66210000      2.52900000     10.00500000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     24.45020000
     -6.91550000      1.08840000      4.50120000      2.00390000      4.76440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.35790000
     -6.86550000      0.72330000      2.56750000      3.65250000      2.69010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.63340000
     -6.81550000      2.00960000      5.85580000      5.91830000      6.16850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     19.95220000
     -6.76550000      2.41760000      6.59150000      4.13940000      6.80950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     19.95800000
     -6.71550000      0.65160000      1.74640000      0.84360000      1.77410000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.01570000
     -6.66550000      0.04980000      0.11580000      0.11960000      0.11760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.40280000
     -6.61550000      0.33180000      0.55300000      1.55380000      0.60490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.04350000
     -6.56550000      1.24550000      2.02620000      5.69640000      2.35310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.32120000
     -6.51550000      1.06880000      1.66570000      4.67740000      2.12360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.53550000
     -6.46550000      0.58250000      0.72290000      1.99020000      1.36680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.66240000
     -6.41550000      0.57120000      0.64370000      1.72640000      1.41500000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.35630000
     -6.36550000      0.40180000      0.60760000      1.19340000      0.89610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.09890000
     -6.31550000      1.30990000      2.23800000      4.04130000      2.56060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     10.14980000
     -6.26550000      2.98880000      4.82410000      9.85000000      4.93420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     22.59710000
     -6.21550000      4.05870000      6.11610000     13.56850000      6.11170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     29.85500000
     -6.16550000      1.82460000      2.73870000      5.93410000      2.81370000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     13.31110000
     -6.11550000      0.63900000      1.42550000      0.72740000      1.44060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.23250000
     -6.06550000      2.26490000      5.67940000      0.80970000      5.67890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     14.43290000
     -6.01550000      2.24870000      5.62290000      0.90510000      5.62370000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     14.40040000
     -5.96550000      0.53140000      1.29430000      0.62790000      1.29490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.74850000
     -5.91550000      0.49680000      1.06430000      2.44580000      1.06380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.07070000
     -5.86550000      0.49060000      1.04580000      2.49130000      1.04510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.07280000
     -5.81550000      0.09100000      0.19560000      0.46250000      0.19440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.94350000
     -5.76550000      0.01630000      0.10820000      0.08890000      0.04790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.26130000
     -5.71550000      0.10600000      0.80700000      0.59070000      0.33040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.83410000
     -5.66550000      0.15130000      1.14640000      0.83800000      0.46900000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.60470000
     -5.61550000      0.03890000      0.29700000      0.21690000      0.12130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.67410000
     -5.56550000      0.00150000      0.01310000      0.00900000      0.00510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02870000
     -5.51550000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -5.46550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.41550000      0.00020000      0.00430000      0.00010000      0.00120000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00580000
     -5.36550000      0.02600000      0.26710000      0.01960000      0.10250000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.41520000
     -5.31550000      0.23760000      2.39880000      0.17900000      0.92440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.73980000
     -5.26550000      0.46390000      4.09890000      0.35760000      1.74680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.66720000
     -5.21550000      1.51180000      5.50690000      1.26730000      4.83030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     13.11630000
     -5.16550000      4.60730000     14.37880000      3.81400000     14.13070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     36.93080000
     -5.11550000      4.10920000     12.12620000      3.14820000     11.63260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     31.01620000
     -5.06550000      2.04970000      5.42630000      1.37260000      4.85040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     13.69900000
     -5.01550000      0.53030000      1.33880000      0.34040000      1.14760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.35710000
     -4.96550000      0.03320000      0.08390000      0.02100000      0.07130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20940000
     -4.91550000      0.00000000      0.00020000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00030000
     -4.86550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.81550000      0.00000000      0.00010000      0.00000000      0.00070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00080000
     -4.76550000      0.00400000      0.01490000      0.01000000      0.05640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08530000
     -4.71550000      0.04400000      0.16240000      0.11150000      0.60190000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.91980000
     -4.66550000      0.08320000      0.30660000      0.21070000      1.13520000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.73570000
     -4.61550000      0.02880000      0.10550000      0.07280000      0.39200000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.59910000
     -4.56550000      0.00120000      0.00600000      0.00420000      0.02300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03440000
     -4.51550000      0.00000000      0.00000000      0.00000000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00020000
     -4.46550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.41550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.36550000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -4.31550000      0.00000000      0.01780000      0.00590000      0.00660000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03030000
     -4.26550000      0.00690000      0.40280000      0.13640000      0.15760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.70370000
     -4.21550000      0.02730000      1.58590000      0.55500000      0.63090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.79910000
     -4.16550000      0.04670000      1.85540000      1.49660000      1.22540000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.62410000
     -4.11550000      0.24080000      6.51420000      9.54800000      6.64780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     22.95080000
     -4.06550000      0.39620000     10.58010000     15.51130000     10.55560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     37.04320000
     -4.01550000      0.13370000      3.50680000      5.06810000      3.39840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.10700000
     -3.96550000      0.07100000      0.89620000      1.49390000      1.34380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.80490000
     -3.91550000      0.25060000      2.58140000      4.73020000      4.08740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.64960000
     -3.86550000      0.49810000      5.91970000     12.86000000      6.09090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     25.36870000
