      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.06550000      2.55700000      0.10260000      0.04900000      0.09390000      0.02030000      0.00590000      0.01890000      0.00710000      0.00000000      2.85470000
     -7.01550000     15.58870000      0.61340000      0.31590000      0.57940000      0.12260000      0.03900000      0.11370000      0.04300000      0.00040000     17.41610000
     -6.96550000     23.96290000      0.90720000      0.55610000      0.89170000      0.18570000      0.06500000      0.16510000      0.06600000      0.00080000     26.80050000
     -6.91550000     12.10860000      0.37320000      0.41300000      0.39160000      0.08470000      0.03450000      0.07050000      0.03110000      0.00000000     13.50720000
     -6.86550000     10.60740000      0.07090000      0.76480000      0.07700000      0.05260000      0.02100000      0.06270000      0.02070000      0.00000000     11.67710000
     -6.81550000     19.30580000      0.19160000      1.64690000      0.19300000      0.18110000      0.03350000      0.30450000      0.03530000      0.00000000     21.89170000
     -6.76550000     17.17470000      0.28140000      1.61510000      0.28080000      0.24070000      0.02660000      0.44100000      0.02770000      0.00000000     20.08800000
     -6.71550000      4.10550000      0.08130000      0.40520000      0.08030000      0.06700000      0.00590000      0.12650000      0.00570000      0.00000000      4.87740000
     -6.66550000      0.37210000      0.00500000      0.03020000      0.00490000      0.00420000      0.00080000      0.00670000      0.00060000      0.00000000      0.42450000
     -6.61550000      3.33250000      0.01730000      0.19630000      0.01820000      0.01600000      0.01470000      0.01020000      0.01490000      0.00000000      3.62010000
     -6.56550000     12.16060000      0.06500000      0.72100000      0.06680000      0.05770000      0.05400000      0.03730000      0.05540000      0.00000000     13.21780000
     -6.51550000      9.91640000      0.05370000      0.58530000      0.05390000      0.04670000      0.04330000      0.03050000      0.04600000      0.00000000     10.77580000
     -6.46550000      4.08540000      0.01670000      0.18810000      0.02050000      0.01930000      0.01350000      0.01040000      0.02200000      0.00000000      4.37590000
     -6.41550000      3.51040000      0.01040000      0.13010000      0.01630000      0.01710000      0.00950000      0.00790000      0.02060000      0.00000000      3.72230000
     -6.36550000      3.04180000      0.01100000      0.10530000      0.01170000      0.02090000      0.01340000      0.01050000      0.01110000      0.00000000      3.22570000
     -6.31550000     11.08500000      0.03810000      0.36600000      0.03680000      0.08280000      0.05110000      0.04050000      0.03940000      0.00000000     11.73970000
     -6.26550000     25.22400000      0.08280000      0.75000000      0.08580000      0.18660000      0.11940000      0.08330000      0.13590000      0.00030000     26.66810000
     -6.21550000     33.38820000      0.12870000      0.87510000      0.12890000      0.25630000      0.19930000      0.10070000      0.20520000      0.00080000     35.28320000
     -6.16550000     14.76580000      0.07270000      0.37440000      0.06850000      0.11960000      0.10310000      0.04870000      0.08220000      0.00010000     15.63510000
     -6.11550000      2.80000000      0.15920000      0.25230000      0.15920000      0.03410000      0.01160000      0.10490000      0.00730000      0.00000000      3.52860000
     -6.06550000      6.53850000      0.74430000      1.09990000      0.74610000      0.10810000      0.00200000      0.50350000      0.00190000      0.00000000      9.74430000
     -6.01550000      6.51860000      0.72940000      1.12500000      0.73010000      0.10830000      0.00210000      0.50910000      0.00230000      0.00000000      9.72490000
     -5.96550000      1.88330000      0.15810000      0.28530000      0.15640000      0.02860000      0.00410000      0.10990000      0.00380000      0.00000000      2.62950000
     -5.91550000      3.34960000      0.09080000      0.32710000      0.08150000      0.03860000      0.02100000      0.04520000      0.01840000      0.00010000      3.97230000
     -5.86550000      3.37370000      0.08730000      0.32550000      0.07770000      0.03890000      0.02130000      0.04210000      0.01880000      0.00010000      3.98540000
     -5.81550000      0.62640000      0.01610000      0.06040000      0.01440000      0.00700000      0.00380000      0.00780000      0.00340000      0.00000000      0.73930000
     -5.76550000      0.10160000      0.00260000      0.01950000      0.00320000      0.00110000      0.00030000      0.00100000      0.00050000      0.00000000      0.12980000
     -5.71550000      0.64870000      0.01650000      0.14020000      0.02380000      0.00920000      0.00270000      0.00820000      0.00420000      0.00000000      0.85350000
     -5.66550000      0.92050000      0.02330000      0.19910000      0.03350000      0.01300000      0.00440000      0.01170000      0.00580000      0.00000000      1.21130000
     -5.61550000      0.23850000      0.00600000      0.05150000      0.00850000      0.00310000      0.00090000      0.00280000      0.00140000      0.00000000      0.31270000
     -5.56550000      0.01060000      0.00020000      0.00220000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01320000
     -5.51550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.46550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.41550000      0.00220000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00230000
     -5.36550000      0.11630000      0.01150000      0.00420000      0.01050000      0.00180000      0.00110000      0.00280000      0.00080000      0.00000000      0.14900000
     -5.31550000      1.04660000      0.10620000      0.04030000      0.09550000      0.01880000      0.01120000      0.02560000      0.00700000      0.00000000      1.35120000
     -5.26550000      1.99910000      0.22820000      0.08470000      0.20430000      0.03190000      0.02160000      0.04840000      0.01570000      0.00010000      2.63400000
     -5.21550000      5.93350000      0.97700000      0.34560000      0.94140000      0.04220000      0.06600000      0.14030000      0.06680000      0.00190000      8.51470000
     -5.16550000     18.12620000      2.86880000      1.06530000      2.87930000      0.13880000      0.19220000      0.43180000      0.19300000      0.00650000     25.90190000
     -5.11550000     16.93880000      2.07930000      0.90580000      2.10390000      0.23030000      0.13030000      0.42310000      0.13010000      0.00390000     22.94550000
     -5.06550000      9.10290000      0.61490000      0.37480000      0.60720000      0.21200000      0.02790000      0.24630000      0.02620000      0.00090000     11.21310000
     -5.01550000      2.41220000      0.12010000      0.08280000      0.10930000      0.06450000      0.00340000      0.06730000      0.00290000      0.00000000      2.86250000
     -4.96550000      0.15320000      0.00710000      0.00480000      0.00600000      0.00410000      0.00010000      0.00380000      0.00000000      0.00000000      0.17910000
     -4.91550000      0.00170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00170000
     -4.86550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.81550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.76550000      0.01230000      0.00150000      0.00200000      0.00220000      0.00030000      0.00000000      0.00020000      0.00030000      0.00000000      0.01880000
     -4.71550000      0.13010000      0.01830000      0.02340000      0.02460000      0.00580000      0.00190000      0.00440000      0.00360000      0.00030000      0.21240000
     -4.66550000      0.24550000      0.03460000      0.04470000      0.04620000      0.01110000      0.00360000      0.00800000      0.00720000      0.00050000      0.40140000
     -4.61550000      0.08490000      0.01210000      0.01550000      0.01620000      0.00360000      0.00110000      0.00260000      0.00240000      0.00020000      0.13860000
     -4.56550000      0.00500000      0.00060000      0.00080000      0.00070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00710000
     -4.51550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.46550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.41550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.36550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.31550000      0.00100000      0.00150000      0.00330000      0.00130000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00720000
