      Energy(eV)          TDOS
     -7.11550000       0.25070000
     -7.06550000       7.37450000
     -7.01550000      45.31610000
     -6.96550000      71.22560000
     -6.91550000      36.71100000
     -6.86550000      30.34960000
     -6.81550000      58.98420000
     -6.76550000      55.56440000
     -6.71550000      13.58020000
     -6.66550000       1.15300000
     -6.61550000       9.58900000
     -6.56550000      35.80330000
     -6.51550000      30.80890000
     -6.46550000      19.04480000
     -6.41550000      19.60830000
     -6.36550000      11.45340000
     -6.31550000      32.34900000
     -6.26550000      68.73390000
     -6.21550000      88.88820000
     -6.16550000      39.38920000
     -6.11550000      10.59870000
     -6.06550000      33.18220000
     -6.01550000      33.24310000
     -5.96550000       9.59240000
     -5.91550000      16.91710000
     -5.86550000      17.03610000
     -5.81550000       3.19010000
     -5.76550000       1.81910000
     -5.71550000      13.63850000
     -5.66550000      19.36370000
     -5.61550000       5.01710000
     -5.56550000       0.22290000
     -5.51550000       0.00160000
     -5.46550000       0.00010000
     -5.41550000       0.02540000
     -5.36550000       1.38910000
     -5.31550000      12.48870000
     -5.26550000      21.56310000
     -5.21550000      32.11700000
     -5.16550000      86.66240000
     -5.11550000      77.28700000
     -5.06550000      38.12900000
     -5.01550000       9.72060000
     -4.96550000       0.61070000
     -4.91550000       0.00670000
     -4.86550000       0.00000000
     -4.81550000       0.01570000
     -4.76550000       1.02280000
     -4.71550000      10.89000000
     -4.66550000      20.54480000
     -4.61550000       7.09650000
     -4.56550000       0.42610000
     -4.51550000       0.00410000
     -4.46550000       0.00000000
     -4.41550000       0.00000000
     -4.36550000       0.00150000
     -4.31550000       0.21800000
     -4.26550000       4.95640000
     -4.21550000      19.42850000
     -4.16550000      19.40860000
     -4.11550000      50.09330000
     -4.06550000      78.99590000
     -4.01550000      26.02010000
     -3.96550000      11.51630000
     -3.91550000      36.59770000
     -3.86550000      67.21370000
     -3.81550000      97.01000000
     -3.76550000      79.37090000
     -3.71550000      40.45520000
     -3.66550000      24.54380000
     -3.61550000      20.77240000
     -3.56550000      30.72110000
     -3.51550000      51.16930000
     -3.46550000      58.02850000
     -3.41550000      37.85340000
     -3.36550000      27.04980000
     -3.31550000      52.71230000
     -3.26550000      77.22980000
     -3.21550000     115.02960000
     -3.16550000     127.98010000
     -3.11550000     137.28930000
     -3.06550000     155.87990000
     -3.01550000     129.43450000
     -2.96550000      76.22560000
     -2.91550000      49.68020000
     -2.86550000      15.97660000
     -2.81550000       1.21410000
     -2.76550000       3.00590000
     -2.71550000      16.84700000
     -2.66550000      20.41590000
     -2.61550000      26.35870000
     -2.56550000      48.41810000
     -2.51550000      37.34460000
     -2.46550000      14.35620000
     -2.41550000      23.36890000
     -2.36550000      43.81070000
     -2.31550000      96.12950000
     -2.26550000      83.55200000
     -2.21550000      62.79630000
     -2.16550000      85.10400000
     -2.11550000      72.21760000
     -2.06550000      66.36460000
     -2.01550000      49.43510000
     -1.96550000      28.24890000
     -1.91550000      32.00190000
     -1.86550000      67.64770000
     -1.81550000     106.13720000
     -1.76550000      71.72250000
     -1.71550000      25.58160000
     -1.66550000      19.70170000
     -1.61550000      19.20870000
     -1.56550000      22.24520000
     -1.51550000      44.43100000
     -1.46550000      44.02860000
     -1.41550000      24.50110000
     -1.36550000      22.98450000
     -1.31550000      26.58840000
     -1.26550000      64.28900000
     -1.21550000     103.82910000
     -1.16550000      84.98870000
     -1.11550000     100.98590000
     -1.06550000      86.77060000
     -1.01550000      89.50060000
     -0.96550000      57.54210000
     -0.91550000      70.26130000
     -0.86550000     124.89830000
     -0.81550000     137.58290000
     -0.76550000     130.73470000
     -0.71550000     106.23180000
     -0.66550000      88.46790000
     -0.61550000      68.74850000
     -0.56550000     135.02150000
     -0.51550000     209.37770000
     -0.46550000     137.53410000
     -0.41550000     108.44620000
     -0.36550000     138.36750000
     -0.31550000     165.08140000
     -0.26550000     186.25700000
     -0.21550000     164.07430000
     -0.16550000     108.55340000
     -0.11550000      46.10380000
     -0.06550000      52.70920000
     -0.01550000      69.70280000
      0.03450000      48.15070000
      0.08450000      10.67240000
      0.13450000       0.48260000
      0.18450000       0.01040000
      0.23450000       0.74240000
      0.28450000      13.13410000
      0.33450000      40.59190000
      0.38450000      23.12560000
      0.43450000       2.35940000
      0.48450000       0.03970000
      0.53450000       0.00010000
      0.58450000       0.00000000
      0.63450000       0.00000000
      0.68450000       0.00000000
      0.73450000       0.00000000
      0.78450000       0.00010000
      0.83450000       0.04730000
      0.88450000       3.28010000
      0.93450000      38.29130000
      0.98450000      84.72480000
      1.03450000      58.28200000
      1.08450000      42.39190000
      1.13450000      12.29820000
      1.18450000       0.67810000
      1.23450000       0.00620000
      1.28450000       0.00050000
      1.33450000       0.10380000
      1.38450000       3.25320000
      1.43450000      17.20340000
      1.48450000      16.49440000
      1.53450000       2.86090000
      1.58450000       0.10470000
      1.63450000       1.24450000
      1.68450000      11.88940000
      1.73450000      20.21620000
      1.78450000       6.34520000
      1.83450000       2.62740000
      1.88450000      15.24240000
      1.93450000      18.27750000
      1.98450000       3.98760000
      2.03450000       0.14790000
      2.08450000       0.00090000
      2.13450000       0.01730000
      2.18450000       1.31160000
      2.23450000      17.78530000
      2.28450000      51.85650000
      2.33450000      45.68400000
      2.38450000      28.87900000
      2.43450000      16.37790000
      2.48450000      18.67510000
      2.53450000      16.48770000
      2.58450000       2.97470000
      2.63450000       3.80720000
      2.68450000      17.92680000
      2.73450000      15.67770000
      2.78450000       2.47370000
      2.83450000       0.06530000
      2.88450000       0.00030000
      2.93450000       0.00000000
      2.98450000       0.00000000
      3.03450000       0.00220000
      3.08450000       0.28350000
      3.13450000       5.72030000
      3.18450000      19.89170000
      3.23450000      12.64170000
      3.28450000       1.43380000
      3.33450000       0.02680000
      3.38450000       0.01770000
      3.43450000       1.10070000
      3.48450000      11.25860000
      3.53450000      20.43740000
      3.58450000       6.80020000
      3.63450000       1.18090000
      3.68450000      11.55480000
      3.73450000      35.90220000
      3.78450000      26.89980000
      3.83450000       4.68610000
      3.88450000       0.16080000
      3.93450000       0.01800000
      3.98450000       1.37250000
      4.03450000      18.54280000
      4.08450000      53.53060000
      4.13450000      58.14710000
      4.18450000      44.41800000
      4.23450000      76.08160000
      4.28450000      59.91550000
      4.33450000      25.86780000
      4.38450000      44.80660000
      4.43450000      40.89070000
      4.48450000      14.93660000
      4.53450000       1.45110000
      4.58450000       0.42860000
      4.63450000       6.89240000
      4.68450000      20.47540000
      4.73450000      11.17250000
      4.78450000       3.47890000
      4.83450000      33.22730000
      4.88450000     125.32680000
      4.93450000     141.22220000
      4.98450000      75.80020000
      5.03450000      51.77170000
      5.08450000      36.42810000
      5.13450000      39.67040000
      5.18450000      13.24250000
      5.23450000       0.87500000
      5.28450000       0.01010000
      5.33450000       0.00000000
      5.38450000       0.00180000
      5.43450000       0.37270000
      5.48450000      12.10050000
      5.53450000      66.90670000
      5.58450000      67.68330000
      5.63450000      12.53680000
      5.68450000       0.39620000
      5.73450000       0.01840000
      5.78450000       1.34390000
      5.83450000      17.83300000
      5.88450000      41.65970000
      5.93450000      20.01000000
      5.98450000      25.00840000
      6.03450000      67.46650000
      6.08450000      83.01280000
      6.13450000      52.81470000
      6.18450000      11.08260000
      6.23450000      11.52910000
      6.28450000      40.52820000
      6.33450000      58.57510000
      6.38450000      82.78190000
      6.43450000     126.05390000
      6.48450000      71.19050000
      6.53450000       8.88520000
      6.58450000       0.20730000
      6.63450000       0.02720000
      6.68450000       1.63860000
      6.73450000      20.17990000
      6.78450000      69.28130000
      6.83450000      86.16660000
      6.88450000      45.78940000
      6.93450000      15.20380000
      6.98450000       1.67990000
      7.03450000       0.03390000
      7.08450000       0.00010000
      7.13450000       0.00000000
      7.18450000       0.00000000
      7.23450000       0.00000000
      7.28450000       0.00000000
      7.33450000       0.00000000
      7.38450000       0.00000000
      7.43450000       0.00000000
      7.48450000       0.00000000
      7.53450000       0.00000000
      7.58450000       0.00000000
      7.63450000       0.00000000
      7.68450000       0.00000000
      7.73450000       0.00000000
      7.78450000       0.00000000
      7.83450000       0.00000000
      7.88450000       0.00000000
      7.93450000       0.00000000
      7.98450000       0.00000000
      8.03450000       0.00000000
      8.08450000       0.00000000
      8.13450000       0.00000000
      8.18450000       0.00000000
      8.23450000       0.00000000
      8.28450000       0.00000000
      8.33450000       0.00000000
      8.38450000       0.00000000
      8.43450000       0.00000000
      8.48450000       0.00000000
      8.53450000       0.00000000
      8.58450000       0.00000000
      8.63450000       0.00000000
      8.68450000       0.00000000
      8.73450000       0.00000000
      8.78450000       0.00000000
      8.83450000       0.00000000
      8.88450000       0.00000000
      8.93450000       0.00000000
      8.98450000       0.00000000
      9.03450000       0.00000000
      9.08450000       0.00000000
      9.13450000       0.00000000
      9.18450000       0.00000000
      9.23450000       0.00000000
      9.28450000       0.00000000
      9.33450000       0.00000000
      9.38450000       0.00000000
      9.43450000       0.00000000
      9.48450000       0.00000000
      9.53450000       0.00000000
      9.58450000       0.00000000
      9.63450000       0.00000000
      9.68450000       0.00000000
      9.73450000       0.00000000
      9.78450000       0.00000000
      9.83450000       0.00000000
      9.88450000       0.00000000
      9.93450000       0.00000000
      9.98450000       0.00000000
     10.03450000       0.00000000
     10.08450000       0.00000000
     10.13450000       0.00000000
     10.18450000       0.00000000
     10.23450000       0.00000000
     10.28450000       0.00000000
     10.33450000       0.00000000
     10.38450000       0.00000000
     10.43450000       0.00000000
     10.48450000       0.00000000
     10.53450000       0.00000000
     10.58450000       0.00000000
     10.63450000       0.00000000
     10.68450000       0.00000000
     10.73450000       0.00000000
     10.78450000       0.00000000
     10.83450000       0.00000000
     10.88450000       0.00000000
     10.93450000       0.00000000
     10.98450000       0.00000000
     11.03450000       0.00000000
     11.08450000       0.00000000
     11.13450000       0.00000000
     11.18450000       0.00000000
     11.23450000       0.00000000
     11.28450000       0.00000000
     11.33450000       0.00000000
     11.38450000       0.00000000
     11.43450000       0.00000000
     11.48450000       0.00000000
     11.53450000       0.00000000
     11.58450000       0.00000000
     11.63450000       0.00000000
     11.68450000       0.00000000
     11.73450000       0.00000000
     11.78450000       0.00000000
     11.83450000       0.00000000
     11.88450000       0.00000000
     11.93450000       0.00000000
     11.98450000       0.00000000
     12.03450000       0.00000000
     12.08450000       0.00000000
     12.13450000       0.00000000
     12.18450000       0.00000000
     12.23450000       0.00000000
     12.28450000       0.00000000
     12.33450000       0.00000000
     12.38450000       0.00000000
     12.43450000       0.00000000
     12.48450000       0.00000000
     12.53450000       0.00000000
     12.58450000       0.00000000
     12.63450000       0.00000000
     12.68450000       0.00000000
     12.73450000       0.00000000
     12.78450000       0.00000000
     12.83450000       0.00000000
     12.88450000       0.00000000
