      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -6.96850000      0.02860000      0.10500000      0.01720000      0.01230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.16310000
     -6.91850000      0.01290000      0.06660000      0.00900000      0.00670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.09520000
     -6.86850000      0.01240000      0.04780000      0.00710000      0.00280000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07010000
     -6.81850000      0.01500000      0.13780000      0.01640000      0.00600000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.17520000
     -6.76850000      0.00640000      0.09850000      0.01110000      0.00500000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.12100000
     -6.71850000      0.00100000      0.01550000      0.00180000      0.00120000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01950000
     -6.66850000      0.00010000      0.00060000      0.00010000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00090000
     -6.61850000      0.00260000      0.00620000      0.00230000      0.00100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01210000
     -6.56850000      0.01210000      0.06270000      0.01480000      0.00460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.09420000
     -6.51850000      0.01250000      0.12480000      0.02240000      0.00480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.16450000
     -6.46850000      0.00300000      0.04760000      0.00740000      0.00110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05910000
     -6.41850000      0.00030000      0.00340000      0.00050000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00430000
     -6.36850000      0.00470000      0.00810000      0.00100000      0.00150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01530000
     -6.31850000      0.03650000      0.06130000      0.00840000      0.01090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11710000
     -6.26850000      0.06630000      0.10870000      0.01720000      0.01840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.21060000
     -6.21850000      0.03710000      0.06880000      0.01820000      0.01390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13800000
     -6.16850000      0.03510000      0.30210000      0.12890000      0.07120000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.53730000
     -6.11850000      0.10510000      1.08970000      0.46430000      0.25340000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.91250000
     -6.06850000      0.07890000      0.85060000      0.35650000      0.20230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.48830000
     -6.01850000      0.03520000      0.43720000      0.17550000      0.11770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.76560000
     -5.96850000      0.01560000      0.20150000      0.08080000      0.05650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.35440000
     -5.91850000      0.00160000      0.02090000      0.00840000      0.00590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03680000
     -5.86850000      0.00000000      0.00030000      0.00010000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00050000
     -5.81850000      0.00060000      0.00120000      0.00490000      0.00460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01130000
     -5.76850000      0.02450000      0.06130000      0.23810000      0.22090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.54480000
     -5.71850000      0.19420000      0.48580000      1.88540000      1.75040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.31580000
     -5.66850000      0.27550000      0.68900000      2.67460000      2.48290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.12200000
     -5.61850000      0.07140000      0.18180000      0.69400000      0.64330000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.59050000
     -5.56850000      0.00940000      0.23590000      0.13330000      0.05760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.43620000
     -5.51850000      0.06610000      2.44280000      1.10030000      0.31170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.92090000
     -5.46850000      0.12560000      4.63790000      2.08840000      0.59130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.44320000
     -5.41850000      0.04360000      1.61230000      0.72610000      0.20560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.58760000
     -5.36850000      0.00270000      0.09750000      0.04380000      0.01240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.15640000
     -5.31850000      0.00000000      0.00130000      0.00080000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00240000
     -5.26850000      0.00290000      0.01800000      0.02740000      0.01660000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06490000
     -5.21850000      0.03670000      0.22520000      0.32230000      0.20060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.78480000
     -5.16850000      0.08970000      0.61130000      0.72640000      0.47260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.90000000
     -5.11850000      0.05090000      0.89730000      0.44820000      0.30560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.70200000
     -5.06850000      0.01490000      0.94170000      0.22840000      0.16070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.34570000
     -5.01850000      0.03250000      0.34500000      0.34370000      0.40190000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.12310000
     -4.96850000      0.14520000      0.52850000      1.42500000      1.78460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.88330000
     -4.91850000      0.12760000      0.45560000      1.25130000      1.56850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.40300000
     -4.86850000      0.02030000      0.07240000      0.19860000      0.24890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.54020000
     -4.81850000      0.00060000      0.00190000      0.00530000      0.00670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01450000
     -4.76850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.71850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.66850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.61850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.56850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.51850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.46850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.41850000      0.00000000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00040000
     -4.36850000      0.00020000      0.06710000      0.00240000      0.00490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07460000
     -4.31850000      0.00590000      1.49670000      0.05260000      0.10860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.66380000
     -4.26850000      0.02220000      5.71620000      0.20130000      0.41480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.35450000
     -4.21850000      0.01550000      3.98440000      0.14050000      0.28940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.42980000
     -4.16850000      0.00390000      0.51160000      0.02580000      0.05790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.59920000
     -4.11850000      0.02400000      0.18360000      0.09550000      0.27400000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.57710000
     -4.06850000      0.05170000      0.37820000      0.19630000      0.60560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.23180000
     -4.01850000      0.02100000      0.15520000      0.07650000      0.24910000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.50180000
     -3.96850000      0.00980000      0.02480000      0.06870000      0.12940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.23270000
     -3.91850000      0.09570000      0.14260000      0.80410000      1.27680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.31920000
     -3.86850000      0.23150000      0.32310000      2.48430000      3.26320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.30210000
     -3.81850000      0.20210000      0.31790000      3.10970000      3.38270000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.01240000
     -3.76850000      0.20690000      0.28610000      3.07220000      3.29320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.85840000
     -3.71850000      0.14770000      0.13620000      2.38450000      2.32620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.99460000
     -3.66850000      0.09450000      0.08870000      1.23530000      1.82810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.24660000
     -3.61850000      0.08090000      0.08660000      0.81240000      1.68090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.66080000
     -3.56850000      0.02150000      0.02400000      0.19060000      0.40900000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.64510000
     -3.51850000      0.01490000      0.01810000      0.05760000      0.14690000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.23750000
     -3.46850000      0.01210000      0.02040000      0.07400000      0.15280000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.25930000
     -3.41850000      0.00300000      0.01040000      0.05130000      0.07230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13700000
     -3.36850000      0.00040000      0.00220000      0.01170000      0.01280000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02710000
     -3.31850000      0.00060000      0.00900000      0.00320000      0.00370000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01650000
     -3.26850000      0.00340000      0.11090000      0.02970000      0.03030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.17430000
     -3.21850000      0.00950000      0.55660000      0.12730000      0.10350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.79690000
     -3.16850000      0.01320000      0.87550000      0.21140000      0.11590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.21600000
     -3.11850000      0.01510000      0.87920000      0.22530000      0.10510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.22470000
     -3.06850000      0.01940000      1.94300000      0.32760000      0.15630000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.44630000
     -3.01850000      0.01730000      3.73070000      0.43110000      0.18100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.36010000
     -2.96850000      0.01170000      3.77050000      0.42260000      0.22240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.42720000
     -2.91850000      0.00610000      1.59360000      0.21590000      0.14580000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.96140000
     -2.86850000      0.00150000      0.22730000      0.04330000      0.03930000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.31140000
     -2.81850000      0.00000000      0.01100000      0.00290000      0.00320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01710000
     -2.76850000      0.00000000      0.00010000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00050000
     -2.71850000      0.00120000      0.00130000      0.03620000      0.00780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04650000
     -2.66850000      0.02170000      0.02300000      0.61830000      0.13250000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.79550000
     -2.61850000      0.06750000      0.07410000      1.90810000      0.40610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.45580000
     -2.56850000      0.05570000      0.09220000      2.06660000      0.47420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.68870000
     -2.51850000      0.05940000      0.16140000      3.87180000      0.99650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.08910000
     -2.46850000      0.03560000      0.10080000      2.62020000      0.68810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.44470000
     -2.41850000      0.00460000      0.01410000      0.33280000      0.08810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.43960000
     -2.36850000      0.00370000      0.03270000      0.04770000      0.02310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10720000
     -2.31850000      0.01650000      0.14440000      0.20270000      0.12040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.48400000
     -2.26850000      0.02850000      0.20870000      0.50750000      0.30750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.05220000
     -2.21850000      0.05510000      0.34260000      1.24420000      0.74320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.38510000
     -2.16850000      0.05270000      0.31990000      0.95270000      0.64040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.96570000
     -2.11850000      0.04120000      0.29330000      0.43410000      0.39640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.16500000
     -2.06850000      0.04080000      0.47260000      0.43260000      0.32610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.27210000
     -2.01850000      0.03490000      1.25730000      0.41450000      0.24960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.95630000
     -1.96850000      0.02460000      3.84060000      0.46780000      0.22710000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.56010000
     -1.91850000      0.03160000      3.75290000      0.45790000      0.45290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.69530000
     -1.86850000      0.09020000      1.24630000      0.64000000      1.45790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.43440000
     -1.81850000      0.19930000      1.20450000      1.27620000      3.41140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.09140000
     -1.76850000      0.23160000      0.89250000      1.35680000      4.10390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.58480000
     -1.71850000      0.08610000      0.25200000      0.47620000      1.54210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.35640000
     -1.66850000      0.00700000      0.01900000      0.04860000      0.11840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.19300000
     -1.61850000      0.02080000      0.05890000      0.48260000      0.07310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.63540000
     -1.56850000      0.12630000      0.35860000      2.88380000      0.50150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.87020000
     -1.51850000      0.15950000      0.48880000      3.37100000      1.01950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.03880000
     -1.46850000      0.06870000      0.29970000      1.25430000      0.82420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.44690000
     -1.41850000      0.01620000      0.33400000      0.31920000      0.25060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.92000000
     -1.36850000      0.02200000      2.40020000      0.42980000      0.85900000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.71100000
     -1.31850000      0.07480000      4.25970000      1.21130000      2.97850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.52430000
     -1.26850000      0.05370000      1.55900000      0.78220000      2.11420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.50910000
     -1.21850000      0.01070000      0.30470000      0.15550000      0.38510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.85600000
     -1.16850000      0.00940000      0.11550000      0.08780000      0.33460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.54730000
     -1.11850000      0.02440000      0.11630000      0.17790000      0.88050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.19910000
     -1.06850000      0.01580000      0.10580000      0.13120000      0.57090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.82370000
     -1.01850000      0.00720000      0.05560000      0.11220000      0.28480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.45980000
     -0.96850000      0.00710000      0.03890000      0.12530000      0.25140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.42270000
     -0.91850000      0.00730000      0.09950000      0.13730000      0.11790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.36200000
     -0.86850000      0.00750000      0.16890000      0.13460000      0.06590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.37690000
     -0.81850000      0.01430000      0.21720000      0.27300000      0.09340000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.59790000
     -0.76850000      0.01910000      0.20050000      0.36080000      0.13830000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.71870000
     -0.71850000      0.01520000      0.15730000      0.26500000      0.13710000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.57460000
     -0.66850000      0.00900000      0.10520000      0.15760000      0.09310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.36490000
     -0.61850000      0.00420000      0.04120000      0.06530000      0.03640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14710000
     -0.56850000      0.00500000      0.03690000      0.05660000      0.02550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.12400000
     -0.51850000      0.00880000      0.06840000      0.08340000      0.04030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20090000
     -0.46850000      0.01030000      0.07580000      0.08200000      0.04070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20880000
     -0.41850000      0.00740000      0.04630000      0.06390000      0.03330000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.15090000
     -0.36850000      0.00590000      0.03930000      0.06330000      0.03830000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14680000
     -0.31850000      0.00650000      0.04280000      0.06240000      0.03430000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14600000
     -0.26850000      0.00500000      0.03950000      0.04780000      0.02300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11530000
     -0.21850000      0.00330000      0.03020000      0.03280000      0.02000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08630000
     -0.16850000      0.00230000      0.02060000      0.02820000      0.01610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06720000
     -0.11850000      0.00280000      0.01390000      0.05960000      0.00880000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08510000
     -0.06850000      0.00250000      0.01270000      0.06320000      0.00800000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08640000
     -0.01850000      0.00120000      0.00660000      0.01930000      0.00680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03390000
      0.03150000      0.00060000      0.00250000      0.00660000      0.00390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01360000
      0.08150000      0.00010000      0.00040000      0.00150000      0.00070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00270000
      0.13150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.18150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.23150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.28150000      0.00000000      0.00010000      0.00040000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00070000
      0.33150000      0.00010000      0.00040000      0.00120000      0.00100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00270000
      0.38150000      0.00000000      0.00030000      0.00070000      0.00060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00160000
      0.43150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.48150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.53150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.58150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.63150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.68150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.73150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.78150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.83150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.88150000      0.00000000      0.00020000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00070000
      0.93150000      0.00070000      0.00120000      0.00640000      0.00130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00960000
      0.98150000      0.00160000      0.00280000      0.01390000      0.00310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02140000
      1.03150000      0.00110000      0.00200000      0.00890000      0.00310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01510000
      1.08150000      0.00090000      0.00130000      0.00540000      0.00350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01110000
      1.13150000      0.00020000      0.00030000      0.00140000      0.00140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00330000
      1.18150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      1.23150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      1.28150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      1.33150000      0.00020000      0.00030000      0.00220000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00310000
      1.38150000      0.00270000      0.00530000      0.03510000      0.00650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04960000
      1.43150000      0.00750000      0.01470000      0.09800000      0.01820000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13840000
      1.48150000      0.00380000      0.00740000      0.05010000      0.00920000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07050000
      1.53150000      0.00030000      0.00060000      0.00460000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00630000
      1.58150000      0.00000000      0.00010000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00030000
      1.63150000      0.00180000      0.00450000      0.01130000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01810000
      1.68150000      0.01360000      0.03530000      0.08800000      0.00440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14130000
      1.73150000      0.01890000      0.04920000      0.12310000      0.00600000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.19720000
      1.78150000      0.00480000      0.01250000      0.03160000      0.00180000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05070000
      1.83150000      0.00230000      0.00100000      0.00580000      0.00950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01860000
      1.88150000      0.01160000      0.00250000      0.02410000      0.05070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08890000
