      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -6.96850000      2.47480000     10.97620000      2.43260000     11.00990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     26.89350000
     -6.91850000      1.10420000      4.85120000      1.55610000      4.86440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.37590000
     -6.86850000      0.64970000      2.38580000      3.40680000      2.39890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.84120000
     -6.81850000      1.87640000      5.73280000      6.15530000      5.77620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     19.54070000
     -6.76850000      2.40870000      6.72020000      4.23980000      6.75130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     20.12000000
     -6.71850000      0.75970000      2.05740000      0.94650000      2.06130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.82490000
     -6.66850000      0.05320000      0.13720000      0.08300000      0.13750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.41090000
     -6.61850000      0.18070000      0.31440000      0.88820000      0.31740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.70070000
     -6.56850000      0.97450000      1.68700000      4.79400000      1.71140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.16690000
     -6.51850000      1.20070000      2.07120000      5.90390000      2.11960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.29540000
     -6.46850000      0.34470000      0.59330000      1.69580000      0.61200000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.24580000
     -6.41850000      0.02280000      0.03910000      0.10950000      0.04050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.21190000
     -6.36850000      0.09990000      0.17020000      0.37750000      0.17360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.82120000
     -6.31850000      0.88210000      1.47220000      3.24490000      1.47580000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.07500000
     -6.26850000      2.80630000      4.43020000      9.77450000      4.37260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     21.38360000
     -6.21850000      4.39090000      6.77690000     14.51880000      6.73930000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     32.42590000
     -6.16850000      2.47420000      3.98420000      7.68800000      4.12090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     18.26730000
     -6.11850000      1.35530000      2.60290000      2.98030000      3.00850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.94700000
     -6.06850000      2.20310000      5.18950000      1.84040000      5.49210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     14.72510000
     -6.01850000      2.34430000      5.94120000      0.85510000      6.07530000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     15.21590000
     -5.96850000      0.89510000      2.29820000      0.30840000      2.35690000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.85860000
