      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -6.96850000     26.91520000      1.03090000      0.58590000      1.02640000      0.21330000      0.07210000      0.18870000      0.07210000      0.00090000     30.10550000
     -6.91850000     12.55670000      0.42980000      0.35420000      0.43280000      0.09370000      0.03320000      0.08080000      0.03190000      0.00000000     14.01310000
     -6.86850000     10.01640000      0.06450000      0.71380000      0.06550000      0.04980000      0.01920000      0.05840000      0.01920000      0.00000000     11.00680000
     -6.81850000     19.79260000      0.17340000      1.65470000      0.17370000      0.17190000      0.03390000      0.28170000      0.03450000      0.00000000     22.31640000
     -6.76850000     17.74150000      0.28180000      1.65820000      0.28220000      0.24320000      0.02700000      0.44600000      0.02690000      0.00000000     20.70680000
     -6.71850000      4.79210000      0.09540000      0.47610000      0.09560000      0.07950000      0.00660000      0.15040000      0.00690000      0.00000000      5.70260000
     -6.66850000      0.34940000      0.00630000      0.03260000      0.00650000      0.00540000      0.00030000      0.00970000      0.00030000      0.00000000      0.41050000
     -6.61850000      1.90220000      0.01040000      0.11190000      0.01040000      0.00910000      0.00790000      0.00610000      0.00800000      0.00000000      2.06600000
     -6.56850000     10.21890000      0.05550000      0.60380000      0.05390000      0.04910000      0.04380000      0.03260000      0.04420000      0.00000000     11.10180000
     -6.51850000     12.52510000      0.06790000      0.74460000      0.06690000      0.06140000      0.05350000      0.04060000      0.05440000      0.00000000     13.61440000
     -6.46850000      3.58300000      0.01950000      0.21420000      0.01910000      0.01770000      0.01520000      0.01180000      0.01570000      0.00000000      3.89620000
     -6.41850000      0.23500000      0.00110000      0.01360000      0.00100000      0.00100000      0.00080000      0.00050000      0.00080000      0.00000000      0.25380000
     -6.36850000      0.95880000      0.00120000      0.03360000      0.00090000      0.00320000      0.00130000      0.00140000      0.00080000      0.00000000      1.00120000
     -6.31850000      8.19170000      0.01410000      0.27260000      0.01450000      0.03700000      0.02100000      0.01710000      0.01920000      0.00000000      8.58720000
     -6.26850000     24.27750000      0.06800000      0.71940000      0.07180000      0.15570000      0.10670000      0.06750000      0.11870000      0.00040000     25.58570000
     -6.21850000     36.21640000      0.14440000      0.97350000      0.14740000      0.28510000      0.21220000      0.12010000      0.22060000      0.00090000     38.32060000
     -6.16850000     19.77700000      0.10860000      0.58750000      0.10640000      0.17510000      0.12570000      0.09770000      0.11680000      0.00020000     21.09500000
     -6.11850000      8.02430000      0.17400000      0.58690000      0.16950000      0.08960000      0.04470000      0.17760000      0.03890000      0.00010000      9.30560000
     -6.06850000      8.20600000      0.61740000      0.99900000      0.61480000      0.11340000      0.02170000      0.41360000      0.01900000      0.00000000     11.00490000
     -6.01850000      7.13400000      0.79810000      1.04950000      0.79720000      0.10960000      0.00670000      0.46540000      0.00540000      0.00000000     10.36590000
     -5.96850000      2.68040000      0.31270000      0.40760000      0.31200000      0.04150000      0.00240000      0.17590000      0.00150000      0.00000000      3.93400000
     -5.91850000      0.24860000      0.02880000      0.03780000      0.02880000      0.00370000      0.00010000      0.01610000      0.00010000      0.00000000      0.36400000
     -5.86850000      0.00410000      0.00060000      0.00050000      0.00060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00580000
     -5.81850000      0.00220000      0.00000000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00250000
     -5.76850000      0.11290000      0.00370000      0.01830000      0.00380000      0.00160000      0.00060000      0.00180000      0.00080000      0.00000000      0.14350000
     -5.71850000      0.89510000      0.02980000      0.14530000      0.03110000      0.01320000      0.00680000      0.01620000      0.00800000      0.00040000      1.14590000
     -5.66850000      1.26970000      0.04250000      0.20620000      0.04410000      0.01900000      0.00950000      0.02300000      0.01140000      0.00050000      1.62590000
     -5.61850000      0.32900000      0.01100000      0.05340000      0.01130000      0.00480000      0.00240000      0.00590000      0.00300000      0.00010000      0.42090000
