      Energy(eV)          TDOS
     -7.01850000      46.81470000
     -6.96850000      77.79320000
     -6.91850000      36.19330000
     -6.86850000      27.92180000
     -6.81850000      58.42550000
     -6.76850000      56.17610000
     -6.71850000      15.73510000
     -6.66850000       1.12510000
     -6.61850000       5.30490000
     -6.56850000      28.58920000
     -6.51850000      35.20320000
     -6.46850000      10.11050000
     -6.41850000       0.66040000
     -6.36850000       2.50430000
     -6.31850000      21.49080000
     -6.26850000      64.24590000
     -6.21850000      96.43330000
     -6.16850000      54.69770000
     -6.11850000      30.44780000
     -6.06850000      38.27220000
     -6.01850000      36.43400000
     -5.96850000      14.08340000
     -5.91850000       1.31540000
     -5.86850000       0.02230000
     -5.81850000       0.03610000
     -5.76850000       1.72340000
     -5.71850000      13.64690000
     -5.66850000      19.35850000
     -5.61850000       5.02650000
     -5.56850000       1.23280000
     -5.51850000      10.83120000
     -5.46850000      20.56080000
     -5.41850000       7.14760000
     -5.36850000       0.43210000
     -5.31850000       0.02890000
     -5.26850000       2.09720000
     -5.21850000      32.07340000
     -5.16850000      98.69950000
     -5.11850000      74.58430000
     -5.06850000      27.20200000
     -5.01850000       8.91550000
     -4.96850000      18.10890000
     -4.91850000      15.73120000
     -4.86850000       2.49660000
     -4.81850000       0.06630000
     -4.76850000       0.00030000
     -4.71850000       0.00000000
     -4.66850000       0.00000000
     -4.61850000       0.00000000
     -4.56850000       0.00000000
     -4.51850000       0.00000000
     -4.46850000       0.00000000
     -4.41850000       0.00160000
     -4.36850000       0.22850000
     -4.31850000       5.08580000
     -4.26850000      19.42230000
     -4.21850000      13.59360000
     -4.16850000       5.36810000
     -4.11850000      40.63740000
     -4.06850000      82.03310000
     -4.01850000      31.44330000
     -3.96850000       3.59800000
     -3.91850000      20.48740000
     -3.86850000      81.80260000
     -3.81850000     114.06340000
     -3.76850000      86.12640000
     -3.71850000      48.34040000
     -3.66850000      24.26070000
     -3.61850000      19.62710000
     -3.56850000      15.61680000
     -3.51850000      44.82210000
     -3.46850000      54.78740000
