      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.20780000      0.00000000      0.00000000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -7.15780000      0.01430000      0.00890000      0.00220000      0.02000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04540000
     -7.10780000      0.38910000      0.24700000      0.06310000      0.54950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.24870000
     -7.05780000      1.83850000      1.16490000      0.29850000      2.58840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.89030000
     -7.00780000      1.77390000      1.14440000      0.30860000      2.49480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.72170000
     -6.95780000      0.62700000      0.50080000      0.17660000      0.97100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.27540000
     -6.90780000      0.17640000      0.17640000      0.08350000      0.30880000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.74510000
     -6.85780000      0.07160000      0.06530000      0.08280000      0.08820000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.30790000
     -6.80780000      0.06300000      0.07610000      0.11870000      0.08670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.34450000
     -6.75780000      0.02270000      0.04220000      0.05610000      0.04110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.16210000
     -6.70780000      0.00340000      0.00880000      0.00910000      0.00750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02880000
     -6.65780000      0.00510000      0.02750000      0.04810000      0.02260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10330000
     -6.60780000      0.05330000      0.29550000      0.51780000      0.23980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.10640000
     -6.55780000      0.10980000      0.69260000      1.11580000      0.50990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.42810000
     -6.50780000      0.10400000      1.33000000      1.47190000      0.61520000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.52110000
     -6.45780000      0.10700000      1.75850000      1.75790000      0.71130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.33470000
     -6.40780000      0.03350000      0.49900000      0.49400000      0.20450000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.23100000
     -6.35780000      0.05050000      0.10000000      0.07340000      0.08860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.31250000
     -6.30780000      0.14790000      0.18260000      0.12670000      0.19670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.65390000
     -6.25780000      0.13230000      0.12680000      0.10280000      0.14020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.50210000
     -6.20780000      0.03420000      0.04000000      0.04090000      0.03700000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.15210000
     -6.15780000      0.00400000      0.00980000      0.01410000      0.00680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03470000
     -6.10780000      0.00950000      0.04590000      0.08660000      0.02750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.16950000
     -6.05780000      0.03350000      0.16730000      0.25290000      0.08230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.53600000
     -6.00780000      0.05750000      0.26610000      0.40420000      0.13510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.86290000
     -5.95780000      0.04520000      0.19760000      0.33120000      0.11060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.68460000
     -5.90780000      0.00860000      0.06670000      0.09360000      0.04430000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.21320000
     -5.85780000      0.00940000      0.62260000      0.65490000      0.47260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.75950000
     -5.80780000      0.03100000      2.08720000      2.19300000      1.58490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.89610000
     -5.75780000      0.01900000      1.28140000      1.34640000      0.97300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.61980000
     -5.70780000      0.00220000      0.14020000      0.14740000      0.10650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.39630000
     -5.65780000      0.00000000      0.00260000      0.00260000      0.00190000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00710000
     -5.60780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.55780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.50780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.45780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.40780000      0.00050000      0.01930000      0.03620000      0.02270000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07870000
     -5.35780000      0.01020000      0.41280000      0.77380000      0.48230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.67910000
     -5.30780000      0.03790000      1.51790000      2.84530000      1.77360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.17470000
     -5.25780000      0.02640000      1.02520000      1.92360000      1.19620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.17140000
     -5.20780000      0.01590000      0.21770000      0.41110000      0.21640000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.86110000
     -5.15780000      0.04730000      0.39190000      0.67050000      0.26370000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.37340000
