      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.20780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -7.15780000      0.01410000      0.00030000      0.00060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01500000
     -7.10780000      0.38730000      0.01010000      0.01640000      0.00460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.41840000
     -7.05780000      1.83110000      0.04820000      0.07680000      0.02230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.97840000
     -7.00780000      1.78050000      0.04680000      0.07550000      0.02240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.92520000
     -6.95780000      0.67200000      0.01780000      0.03020000      0.00980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.72980000
     -6.90780000      0.21440000      0.00560000      0.00940000      0.00360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.23300000
     -6.85780000      0.12430000      0.00240000      0.00310000      0.00320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13300000
     -6.80780000      0.12240000      0.00240000      0.00330000      0.00350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.13160000
     -6.75780000      0.05650000      0.00090000      0.00120000      0.00150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06010000
     -6.70780000      0.01170000      0.00010000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01190000
     -6.65780000      0.04560000      0.00050000      0.00100000      0.00100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04810000
     -6.60780000      0.48800000      0.00590000      0.01240000      0.01160000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.51790000
     -6.55780000      1.04850000      0.01240000      0.02770000      0.02460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.11320000
     -6.50780000      1.37040000      0.01680000      0.04260000      0.02940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.45920000
     -6.45780000      1.63290000      0.02010000      0.05340000      0.03380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.74020000
     -6.40780000      0.46870000      0.00570000      0.01500000      0.00970000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.49910000
     -6.35780000      0.18430000      0.00410000      0.00160000      0.00430000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.19430000
     -6.30780000      0.40880000      0.01010000      0.00280000      0.01030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.43200000
     -6.25780000      0.29480000      0.00770000      0.00320000      0.00760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.31330000
