      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.20780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -7.15780000      0.00360000      0.01060000      0.00360000      0.01090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02870000
     -7.10780000      0.11890000      0.31680000      0.11390000      0.32860000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.87820000
     -7.05780000      0.75940000      2.37790000      0.72230000      2.42510000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.28470000
     -7.00780000      2.05400000      8.15180000      2.03040000      8.18550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     20.42170000
     -6.95780000      2.43990000     10.36150000      2.71240000     10.42440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     25.93820000
     -6.90780000      0.92860000      3.86660000      1.99190000      3.91320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     10.70030000
     -6.85780000      0.85250000      3.00290000      4.51980000      3.02630000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.40150000
     -6.80780000      2.07900000      6.15960000      5.97200000      6.17650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     20.38710000
     -6.75780000      2.10890000      5.75940000      3.19660000      5.75000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     16.81490000
     -6.70780000      0.55660000      1.48500000      0.61810000      1.47940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.13910000
     -6.65780000      0.07240000      0.16930000      0.20870000      0.17050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.62090000
     -6.60780000      0.54240000      1.11650000      2.35030000      1.12580000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.13500000
     -6.55780000      1.31430000      2.69430000      5.82670000      2.69300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.52830000
     -6.50780000      0.80230000      2.19430000      3.50020000      2.03450000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.53130000
     -6.45780000      0.37390000      1.71050000      1.47650000      1.45670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.01760000
     -6.40780000      0.13190000      0.52450000      0.49880000      0.45240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.60760000
     -6.35780000      0.49920000      0.87570000      1.78430000      0.85750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.01670000
     -6.30780000      1.65510000      2.83110000      5.65480000      2.77800000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.91900000
     -6.25780000      3.29280000      5.14310000     10.93310000      5.07990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     24.44890000
     -6.20780000      3.78820000      5.83410000     12.17860000      5.81660000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     27.61750000
     -6.15780000      1.33480000      2.21180000      3.95230000      2.22250000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.72140000
     -6.10780000      0.97530000      2.17050000      1.18010000      2.20630000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.53220000
     -6.05780000      2.69430000      6.24150000      2.54780000      6.34480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     17.82840000
     -6.00780000      2.40470000      5.55990000      2.56330000      5.72130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     16.24920000
     -5.95780000      1.11550000      2.51170000      1.54900000      2.63950000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.81570000
     -5.90780000      0.18050000      0.42140000      0.27490000      0.43130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.30810000
     -5.85780000      0.03920000      0.46860000      0.14960000      0.22270000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.88010000
     -5.80780000      0.11300000      1.53330000      0.47490000      0.70260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.82380000
     -5.75780000      0.06900000      0.94120000      0.29130000      0.43120000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.73270000
     -5.70780000      0.00760000      0.10280000      0.03130000      0.04700000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.18870000
     -5.65780000      0.00000000      0.00150000      0.00050000      0.00060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00260000
     -5.60780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.55780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.50780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.45780000      0.00000000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00020000
     -5.40780000      0.00070000      0.01810000      0.00190000      0.00500000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.02570000
     -5.35780000      0.02320000      0.39510000      0.04920000      0.11560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.58310000
     -5.30780000      0.08920000      1.46000000      0.18250000      0.43190000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.16360000
     -5.25780000      0.23750000      1.52950000      0.27210000      0.83140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.87050000
     -5.20780000      2.27340000      6.88620000      1.84240000      6.78930000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     17.79130000
     -5.15780000      6.22210000     17.47170000      4.62230000     17.59290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     45.90900000
     -5.10780000      4.15190000     10.76830000      2.74990000     10.94770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     28.61780000
     -5.05780000      0.67600000      1.63340000      0.40020000      1.67990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.38950000
     -5.00780000      0.02380000      0.05550000      0.01310000      0.05790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.15030000
     -4.95780000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -4.90780000      0.00350000      0.01690000      0.01000000      0.00960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04000000
     -4.85780000      0.07370000      0.31560000      0.19160000      0.18020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.76110000
     -4.80780000      0.23700000      1.01060000      0.61520000      0.58080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.44360000
     -4.75780000      0.17390000      0.65440000      0.48820000      0.53380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.85030000
     -4.70780000      0.21120000      0.42040000      0.76010000      1.12520000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.51690000
     -4.65780000      0.19580000      0.35870000      0.72000000      1.08590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.36040000
     -4.60780000      0.03500000      0.06450000      0.12940000      0.19520000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.42410000
     -4.55780000      0.00090000      0.00140000      0.00370000      0.00550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01150000
     -4.50780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.45780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.40780000      0.00020000      0.00050000      0.00010000      0.00220000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00300000
     -4.35780000      0.01280000      0.03910000      0.01820000      0.12080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.19090000
     -4.30780000      0.13890000      0.39690000      0.23340000      1.09440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.86360000
     -4.25780000      0.35490000      0.98150000      0.71200000      2.27890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.32730000
     -4.20780000      0.22260000      0.64050000      0.55460000      1.24650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.66420000
     -4.15780000      0.08290000      1.49300000      2.16670000      1.59740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.34000000
     -4.10780000      0.32130000      8.51210000     12.51240000      8.53810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     29.88390000
     -4.05780000      0.36740000      9.85320000     14.29560000      9.61520000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     34.13140000
     -4.00780000      0.11250000      3.03050000      3.94690000      2.69110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.78100000
     -3.95780000      0.05840000      1.47450000      1.53510000      1.13750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.20550000
     -3.90780000      0.16430000      2.30650000      4.13110000      2.49020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.09210000
     -3.85780000      0.62830000      7.98510000     17.91760000      8.75330000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     35.28430000
     -3.80780000      0.61400000      8.19170000     22.55630000      8.41990000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     39.78190000
     -3.75780000      0.28630000      4.72150000     18.38620000      4.64010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     28.03410000
     -3.70780000      0.16840000      2.90560000     10.94280000      2.84310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     16.85990000
     -3.65780000      0.12200000      1.06890000      2.62300000      1.42150000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.23540000
     -3.60780000      0.34580000      1.99040000      1.74900000      3.42590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.51110000
     -3.55780000      0.44960000      5.53700000      3.30760000      6.46440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     15.75860000
     -3.50780000      0.56080000     10.07340000      7.11100000     10.10400000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     27.84920000
     -3.45780000      0.41120000      8.65420000      8.04470000      8.73170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     25.84180000
     -3.40780000      0.18510000      6.36690000      3.65870000      6.41490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     16.62560000
     -3.35780000      0.23000000      5.26240000      2.29640000      5.10080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.88960000
     -3.30780000      0.50790000     12.73380000      4.98160000     12.33140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     30.55470000
     -3.25780000      0.73650000     17.28250000     17.79450000     17.05810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     52.87160000
     -3.20780000      1.04030000     15.98650000     30.54790000     16.08590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     63.66060000
     -3.15780000      2.17820000     18.10370000     25.86640000     18.54100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     64.68930000
     -3.10780000      3.50470000     22.11560000     19.55050000     22.19970000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     67.37050000
     -3.05780000      3.55820000     24.70720000     15.16320000     24.19450000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     67.62310000
     -3.00780000      2.50910000     20.79990000      9.61310000     20.50830000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     53.43040000
     -2.95780000      1.48860000     17.02280000      7.05390000     16.53000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     42.09530000
     -2.90780000      0.73270000     10.76470000      4.59990000     10.48890000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     26.58620000
     -2.85780000      0.30550000      3.24260000      2.89720000      3.18480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.63010000
     -2.80780000      0.12730000      3.22440000      1.77770000      1.75680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.88620000
     -2.75780000      0.07850000      7.24250000      1.96950000      2.93840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     12.22890000
     -2.70780000      0.08980000      3.84050000      1.29230000      1.58300000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.80560000
     -2.65780000      0.72060000      1.30820000      4.36640000      1.13270000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.52790000
     -2.60780000      1.71070000      2.51860000     11.17510000      2.60390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     18.00830000
     -2.55780000      0.87850000      2.41330000     10.16430000      2.43850000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     15.89460000
     -2.50780000      0.46400000      2.29900000      8.27400000      2.43590000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     13.47290000
     -2.45780000      0.62020000      2.13540000      5.74700000      2.64970000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.15230000
     -2.40780000      0.32620000      2.04400000      2.73450000      2.34820000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.45290000
     -2.35780000      0.78720000      9.21230000      4.70820000      9.27130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     23.97900000
     -2.30780000      2.06280000     17.95540000     10.00180000     18.03430000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     48.05430000
     -2.25780000      1.79610000     13.79290000     10.03000000     13.91680000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     39.53580000
     -2.20780000      1.00250000     11.48480000     13.25600000     11.77940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     37.52270000
     -2.15780000      0.82970000     11.69790000     14.93460000     12.96200000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     40.42420000
     -2.10780000      0.76200000     11.03730000     11.89820000     12.15230000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     35.84980000
     -2.05780000      0.70020000     10.97830000     13.25400000     11.67570000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     36.60820000
     -2.00780000      0.37300000      5.79890000      6.19210000      6.59780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     18.96180000
     -1.95780000      0.22610000      3.02570000      3.03310000      3.30080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.58570000
     -1.90780000      0.57060000      7.77180000      7.59560000      7.96770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     23.90570000
     -1.85780000      0.89940000     16.01710000      8.10110000     16.25770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     41.27530000
     -1.80780000      1.26030000     24.65400000      8.71910000     24.59810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     59.23150000
     -1.75780000      0.77580000     15.60720000      5.55430000     15.64090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     37.57820000
     -1.70780000      0.16390000      3.37910000      2.00480000      3.57760000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.12540000
     -1.65780000      0.15870000      2.78930000      4.47460000      3.46710000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     10.88970000
