      Energy(eV)          TDOS
     -7.25780000       0.00000000
     -7.20780000       0.00080000
     -7.15780000       0.14510000
     -7.10780000       4.14200000
     -7.05780000      25.71480000
     -7.00780000      66.16070000
     -6.95780000      77.37890000
     -6.90780000      32.42520000
     -6.85780000      36.17400000
     -6.80780000      59.99030000
     -6.75780000      46.20950000
     -6.70780000      11.08230000
     -6.65780000       1.98290000
     -6.60780000      17.60090000
     -6.55780000      42.48180000
     -6.50780000      31.29610000
     -6.45780000      21.35520000
     -6.40780000       6.63260000
     -6.35780000      12.90460000
     -6.30780000      40.57830000
     -6.25780000      73.98600000
     -6.20780000      82.06270000
     -6.15780000      28.58120000
     -6.10780000      16.04560000
     -6.05780000      42.59930000
     -6.00780000      39.53430000
     -5.95780000      19.63140000
     -5.90780000       3.51340000
     -5.85780000       6.06740000
     -5.80780000      20.04440000
     -5.75780000      12.30700000
     -5.70780000       1.34680000
     -5.65780000       0.02420000
     -5.60780000       0.00010000
     -5.55780000       0.00000000
     -5.50780000       0.00000000
     -5.45780000       0.00180000
     -5.40780000       0.24960000
     -5.35780000       5.33840000
     -5.30780000      19.67320000
     -5.25780000      16.51380000
     -5.20780000      43.17000000
     -5.15780000     111.17550000
     -5.10780000      71.98960000
     -5.05780000      11.48260000
     -5.00780000       0.40270000
     -4.95780000       0.00560000
     -4.90780000       0.34410000
     -4.85780000       6.34510000
     -4.80780000      20.33830000
     -4.75780000      14.89240000
     -4.70780000      18.12310000
     -4.65780000      16.83260000
     -4.60780000       3.02920000
     -4.55780000       0.09190000
     -4.50780000       0.00040000
     -4.45780000       0.00010000
     -4.40780000       0.04270000
     -4.35780000       2.05130000
     -4.30780000      18.38210000
     -4.25780000      37.62100000
     -4.20780000      19.83310000
     -4.15780000      12.82730000
     -4.10780000      62.55860000
     -4.05780000      72.44110000
     -4.00780000      28.81640000
     -3.95780000      20.98820000
     -3.90780000      24.54390000
     -3.85780000      83.80600000
     -3.80780000      94.27480000
     -3.75780000      67.68210000
     -3.70780000      43.96460000
     -3.65780000      15.09360000
     -3.60780000      22.01320000
     -3.55780000      35.53760000
     -3.50780000      54.97030000
     -3.45780000      50.34140000
     -3.40780000      33.93200000
     -3.35780000      33.72310000
     -3.30780000      65.34200000
     -3.25780000     105.78650000
     -3.20780000     126.08380000
     -3.15780000     130.98020000
     -3.10780000     137.95610000
     -3.05780000     138.64620000
     -3.00780000     113.08050000
     -2.95780000      89.74510000
     -2.90780000      57.34120000
     -2.85780000      28.95790000
     -2.80780000      17.39320000
     -2.75780000      21.43320000
     -2.70780000      12.06890000
     -2.65780000      18.37960000
     -2.60780000      44.23860000
     -2.55780000      35.74320000
     -2.50780000      36.89010000
     -2.45780000      44.40030000
     -2.40780000      24.48790000
     -2.35780000      49.27030000
     -2.30780000      96.60650000
     -2.25780000      79.31370000
     -2.20780000      70.81700000
     -2.15780000      77.59070000
     -2.10780000      70.52340000
     -2.05780000      70.40490000
     -2.00780000      35.46460000
     -1.95780000      21.49690000
     -1.90780000      58.53840000
     -1.85780000      88.90370000
     -1.80780000     110.37300000
     -1.75780000      72.13780000
     -1.70780000      18.30890000
     -1.65780000      19.62200000
     -1.60780000      18.40130000
     -1.55780000      29.86310000
     -1.50780000      58.00050000
     -1.45780000      53.04900000
     -1.40780000      15.90660000
     -1.35780000       1.78470000
     -1.30780000      17.29230000
     -1.25780000      87.45890000
     -1.20780000     133.40940000
     -1.15780000      99.08300000
     -1.10780000      96.49980000
     -1.05780000      83.44840000
     -1.00780000      87.68490000
     -0.95780000      52.08460000
     -0.90780000      79.88470000
     -0.85780000     133.66720000
     -0.80780000     136.54830000
     -0.75780000     118.75640000
     -0.70780000     101.61940000
     -0.65780000      90.26770000
     -0.60780000      83.24880000
     -0.55780000     146.87520000
     -0.50780000     208.26420000
     -0.45780000     133.95410000
     -0.40780000     109.44070000
     -0.35780000     136.61680000
     -0.30780000     160.09870000
     -0.25780000     184.02960000
     -0.20780000     160.26470000
     -0.15780000      95.02460000
     -0.10780000      42.34220000
     -0.05780000      59.98680000
     -0.00780000      71.94800000
      0.04220000      41.89730000
      0.09220000       7.28120000
      0.14220000       0.24450000
      0.19220000       0.01350000
      0.24220000       1.09950000
      0.29220000      16.09290000
      0.34220000      41.44320000
      0.39220000      19.67190000
      0.44220000       1.65750000
      0.49220000       0.02280000
      0.54220000       0.00000000
      0.59220000       0.00000000
      0.64220000       0.00000000
      0.69220000       0.00000000
      0.74220000       0.00000000
      0.79220000       0.00040000
      0.84220000       0.10950000
      0.89220000       5.28840000
      0.94220000      45.95320000
      0.99220000      83.08580000
      1.04220000      56.35710000
      1.09220000      38.85360000
      1.14220000       9.84790000
      1.19220000       0.49980000
      1.24220000       0.00440000
      1.29220000       0.00050000
      1.34220000       0.09910000
      1.39220000       3.16650000
      1.44220000      17.05580000
      1.49220000      16.64880000
      1.54220000       2.94150000
      1.59220000       0.10770000
      1.64220000       1.20350000
      1.69220000      11.71490000
      1.74220000      20.34460000
      1.79220000       8.83790000
      1.84220000      15.89030000
      1.89220000      18.04410000
      1.94220000       3.80770000
      1.99220000       0.13640000
      2.04220000       0.00080000
      2.09220000       0.01670000
      2.14220000       1.07410000
      2.19220000      11.91170000
      2.24220000      31.34370000
      2.29220000      38.87610000
      2.34220000      29.86680000
      2.39220000      20.10740000
      2.44220000      37.56140000
      2.49220000      25.28600000
      2.54220000       3.84300000
      2.59220000       0.11250000
      2.64220000       0.00050000
      2.69220000       0.00000000
      2.74220000       0.00000000
      2.79220000       0.00000000
      2.84220000       0.00000000
      2.89220000       0.00000000
      2.94220000       0.00000000
      2.99220000       0.00360000
      3.04220000       0.39440000
      3.09220000       6.81660000
      3.14220000      20.44730000
      3.19220000      11.22680000
      3.24220000       1.09380000
      3.29220000       0.01740000
      3.34220000       0.00000000
      3.39220000       0.00160000
      3.44220000       0.22760000
      3.49220000       5.07660000
      3.54220000      19.61990000
      3.59220000      18.38000000
      3.64220000      21.89120000
      3.69220000      25.18270000
      3.74220000      28.83120000
      3.79220000      27.46810000
      3.84220000      12.10350000
      3.89220000       1.19780000
      3.94220000       0.08390000
      3.99220000       2.70790000
      4.04220000      22.01490000
      4.09220000      47.13510000
      4.14220000      52.90900000
      4.19220000      39.54090000
      4.24220000      55.72780000
      4.29220000      77.11400000
      4.34220000      47.75440000
      4.39220000      41.85930000
      4.44220000      36.37660000
      4.49220000      15.14370000
      4.54220000       1.62170000
      4.59220000       0.17350000
      4.64220000       3.89870000
      4.69220000      18.16310000
      4.74220000      15.50470000
      4.79220000       6.39460000
      4.84220000      31.68070000
      4.89220000      91.62420000
      4.94220000     134.90380000
      4.99220000     111.89730000
      5.04220000      58.06060000
      5.09220000      28.37770000
      5.14220000      40.26200000
      5.19220000      17.53040000
      5.24220000       1.53530000
      5.29220000       0.02400000
      5.34220000       0.00010000
      5.39220000       0.00240000
      5.44220000       0.30180000
      5.49220000       6.35780000
      5.54220000      32.31400000
      5.59220000      70.48660000
      5.64220000      64.01530000
      5.69220000      23.40140000
      5.74220000       3.03660000
      5.79220000       0.16070000
      5.84220000       3.62070000
      5.89220000      29.83050000
      5.94220000      55.26860000
      5.99220000      55.20200000
      6.04220000      91.09950000
      6.09220000      70.49040000
      6.14220000      16.02500000
      6.19220000      18.34840000
      6.24220000      37.50310000
      6.29220000      39.87450000
      6.34220000      56.92760000
      6.39220000      77.21380000
      6.44220000     105.33880000
      6.49220000      82.38300000
      6.54220000      19.99550000
      6.59220000       7.45250000
      6.64220000      22.95700000
      6.69220000      28.24020000
      6.74220000      20.72120000
      6.79220000      28.84550000
      6.84220000      62.38000000
      6.89220000      44.79220000
      6.94220000      34.03430000
      6.99220000      24.79550000
      7.04220000       6.26320000
      7.09220000       0.31780000
      7.14220000       0.00260000
      7.19220000       0.00000000
      7.24220000       0.00000000
      7.29220000       0.00000000
      7.34220000       0.00000000
      7.39220000       0.00000000
      7.44220000       0.00000000
      7.49220000       0.00000000
      7.54220000       0.00000000
      7.59220000       0.00000000
      7.64220000       0.00000000
      7.69220000       0.00000000
      7.74220000       0.00000000
      7.79220000       0.00000000
      7.84220000       0.00000000
      7.89220000       0.00000000
      7.94220000       0.00000000
      7.99220000       0.00000000
      8.04220000       0.00000000
      8.09220000       0.00000000
      8.14220000       0.00000000
      8.19220000       0.00000000
      8.24220000       0.00000000
      8.29220000       0.00000000
      8.34220000       0.00000000
      8.39220000       0.00000000
      8.44220000       0.00000000
      8.49220000       0.00000000
      8.54220000       0.00000000
      8.59220000       0.00000000
      8.64220000       0.00000000
      8.69220000       0.00000000
      8.74220000       0.00000000
      8.79220000       0.00000000
      8.84220000       0.00000000
      8.89220000       0.00000000
      8.94220000       0.00000000
      8.99220000       0.00000000
      9.04220000       0.00000000
      9.09220000       0.00000000
      9.14220000       0.00000000
      9.19220000       0.00000000
      9.24220000       0.00000000
      9.29220000       0.00000000
      9.34220000       0.00000000
