      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.05030000      0.00810000      0.00190000      0.00060000      0.00790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01850000
     -7.00030000      0.04760000      0.01080000      0.00710000      0.07620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14170000
     -6.95030000      0.06340000      0.01510000      0.01370000      0.14340000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.23560000
     -6.90030000      0.02090000      0.00520000      0.00520000      0.05710000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08840000
     -6.85030000      0.01890000      0.00490000      0.00520000      0.06170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.09070000
     -6.80030000      0.03490000      0.00940000      0.01120000      0.12750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.18300000
     -6.75030000      0.01560000      0.00470000      0.00510000      0.05390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07930000
     -6.70030000      0.00140000      0.00040000      0.00030000      0.00430000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00640000
     -6.65030000      0.00000000      0.00000000      0.00000000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00030000
     -6.60030000      0.00220000      0.00090000      0.00240000      0.00960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01510000
     -6.55030000      0.00970000      0.00440000      0.01110000      0.05740000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08260000
     -6.50030000      0.00950000      0.00430000      0.01040000      0.06210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.08630000
     -6.45030000      0.00180000      0.00070000      0.00200000      0.01210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01660000
     -6.40030000      0.00000000      0.00000000      0.00010000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00050000
     -6.35030000      0.00050000      0.00060000      0.00220000      0.00160000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00490000
     -6.30030000      0.00380000      0.00440000      0.01380000      0.00910000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03110000
     -6.25030000      0.01250000      0.01080000      0.03480000      0.01290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07100000
