      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.05030000      0.00930000      0.00000000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00970000
     -7.00030000      0.06500000      0.00050000      0.00320000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06950000
     -6.95030000      0.10170000      0.00060000      0.00450000      0.00170000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10850000
     -6.90030000      0.03720000      0.00020000      0.00150000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03940000
     -6.85030000      0.03610000      0.00020000      0.00130000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03810000
     -6.80030000      0.07220000      0.00040000      0.00280000      0.00110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07650000
     -6.75030000      0.03150000      0.00020000      0.00110000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03320000
     -6.70030000      0.00290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00290000
     -6.65030000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -6.60030000      0.00560000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00570000
     -6.55030000      0.03030000      0.00030000      0.00060000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03160000
     -6.50030000      0.03120000      0.00030000      0.00080000      0.00050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03280000
     -6.45030000      0.00570000      0.00000000      0.00010000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00590000
     -6.40030000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00020000
     -6.35030000      0.00210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00210000
     -6.30030000      0.01450000      0.00000000      0.00010000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01480000
     -6.25030000      0.03530000      0.00030000      0.00080000      0.00080000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.03720000
     -6.20030000      0.04340000      0.00060000      0.00100000      0.00100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04600000
     -6.15030000      0.04430000      0.00050000      0.00050000      0.00130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04660000
     -6.10030000      0.27140000      0.00360000      0.00370000      0.00910000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.28780000
     -6.05030000      0.56050000      0.00750000      0.00830000      0.01920000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.59550000
     -6.00030000      0.62920000      0.00840000      0.00890000      0.02220000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.66870000
     -5.95030000      0.53880000      0.00810000      0.00630000      0.02070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.57390000
     -5.90030000      1.43320000      0.02630000      0.01110000      0.06380000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.53440000
     -5.85030000      1.91440000      0.03540000      0.01440000      0.08560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.04980000
     -5.80030000      0.48120000      0.00890000      0.00350000      0.02140000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.51500000
