      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.05030000      0.37220000      1.65600000      0.34830000      1.66070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.03720000
     -7.00030000      1.89430000      8.40620000      1.85920000      8.43750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     20.59720000
     -6.95030000      2.18570000      9.67010000      2.33420000      9.71960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     23.90960000
     -6.90030000      0.73670000      3.14810000      1.75560000      3.16770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.80810000
     -6.85030000      0.94710000      3.22350000      4.57350000      3.25350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.99760000
     -6.80030000      2.38690000      6.97990000      6.10560000      7.03930000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     22.51170000
     -6.75030000      1.92460000      5.28690000      2.97910000      5.30980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     15.50040000
     -6.70030000      0.33300000      0.89440000      0.39560000      0.89610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.51910000
     -6.65030000      0.03280000      0.06600000      0.11870000      0.06620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.28370000
     -6.60030000      0.37450000      0.64550000      1.83110000      0.65000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.50110000
     -6.55030000      1.26880000      2.18520000      6.21010000      2.21350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.87760000
     -6.50030000      0.93420000      1.60770000      4.57680000      1.63810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.75680000
     -6.45030000      0.14620000      0.25140000      0.71650000      0.25750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.37160000
     -6.40030000      0.00810000      0.01440000      0.03720000      0.01460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07430000
     -6.35030000      0.14420000      0.23720000      0.56120000      0.23800000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.18060000
     -6.30030000      1.16700000      1.87230000      4.31410000      1.87800000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.23140000
     -6.25030000      3.79460000      5.93980000     12.88580000      5.94530000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     28.56550000
     -6.20030000      4.36070000      6.89010000     14.06150000      6.88320000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     32.19550000
     -6.15030000      1.33870000      2.27130000      3.92490000      2.25600000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.79090000
     -6.10030000      1.30910000      3.13380000      1.45160000      3.01980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.91430000
     -6.05030000      2.63660000      6.50600000      2.44880000      6.26390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     17.85530000
     -6.00030000      1.87210000      4.88020000      1.87420000      4.59530000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     13.22180000
     -5.95030000      0.78600000      2.13510000      0.90710000      2.11770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.94590000
     -5.90030000      0.36350000      0.86670000      0.45630000      2.00810000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.69460000
     -5.85030000      0.38070000      0.86050000      0.48580000      2.46280000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.18980000
     -5.80030000      0.09520000      0.21490000      0.12150000      0.61830000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.04990000
     -5.75030000      0.00380000      0.00930000      0.00490000      0.02670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04470000
     -5.70030000      0.00000000      0.00000000      0.00000000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00020000
     -5.65030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.60030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.55030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.50030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.45030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.40030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.35030000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -5.30030000      0.01880000      0.06170000      0.01590000      0.05490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.15130000
