      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.05030000      4.06590000      0.15660000      0.08310000      0.15340000      0.03220000      0.01070000      0.02950000      0.01120000      0.00000000      4.54260000
     -7.00030000     20.66610000      0.79000000      0.44440000      0.78320000      0.16300000      0.05510000      0.14650000      0.05580000      0.00050000     23.10460000
     -6.95030000     23.89080000      0.89980000      0.55720000      0.90360000      0.18780000      0.06390000      0.16300000      0.06430000      0.00090000     26.73130000
     -6.90030000      9.23700000      0.24110000      0.37490000      0.24460000      0.06060000      0.02240000      0.05290000      0.02240000      0.00000000     10.25590000
     -6.85030000     13.25180000      0.07370000      1.02340000      0.07320000      0.07760000      0.02450000      0.10570000      0.02400000      0.00000000     14.65390000
     -6.80030000     21.51720000      0.25000000      1.88660000      0.24980000      0.22990000      0.03550000      0.39690000      0.03540000      0.00000000     24.60130000
     -6.75030000     13.29310000      0.23170000      1.26990000      0.23130000      0.19700000      0.01910000      0.36570000      0.01940000      0.00000000     15.62720000
     -6.70030000      2.05330000      0.04190000      0.20440000      0.04120000      0.03450000      0.00290000      0.06610000      0.00290000      0.00000000      2.44720000
     -6.65030000      0.29220000      0.00240000      0.01980000      0.00240000      0.00160000      0.00110000      0.00300000      0.00100000      0.00000000      0.32350000
     -6.60030000      3.90800000      0.02080000      0.23010000      0.02100000      0.01900000      0.01670000      0.01220000      0.01670000      0.00000000      4.24450000
     -6.55030000     13.21120000      0.07110000      0.78270000      0.07170000      0.06510000      0.05670000      0.04300000      0.05620000      0.00000000     14.35770000
     -6.50030000      9.70200000      0.05240000      0.57810000      0.05310000      0.04820000      0.04160000      0.03210000      0.04130000      0.00000000     10.54880000
     -6.45030000      1.51450000      0.00810000      0.09090000      0.00830000      0.00740000      0.00630000      0.00510000      0.00630000      0.00000000      1.64690000
     -6.40030000      0.08570000      0.00000000      0.00370000      0.00000000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.08950000
     -6.35030000      1.37530000      0.00070000      0.04790000      0.00060000      0.00400000      0.00160000      0.00150000      0.00150000      0.00000000      1.43310000
     -6.30030000     10.59560000      0.01860000      0.34820000      0.01740000      0.04820000      0.03080000      0.02210000      0.02930000      0.00000000     11.11020000
     -6.25030000     32.08900000      0.10810000      0.94280000      0.10600000      0.22850000      0.16630000      0.10290000      0.16600000      0.00050000     33.91010000
     -6.20030000     35.82410000      0.15550000      0.98090000      0.15460000      0.29950000      0.21720000      0.13300000      0.21790000      0.00090000     37.98360000
     -6.15030000     10.41190000      0.08080000      0.32310000      0.08070000      0.09520000      0.06290000      0.06370000      0.06220000      0.00000000     11.18050000
     -6.10030000      5.19200000      0.33680000      0.62840000      0.33590000      0.07050000      0.01510000      0.25540000      0.01460000      0.00000000      6.84870000
     -6.05030000      9.62350000      0.74320000      1.28410000      0.74290000      0.13580000      0.02270000      0.52800000      0.02270000      0.00000000     13.10290000
     -6.00030000      7.08600000      0.57520000      0.88660000      0.57870000      0.09400000      0.01960000      0.32770000      0.01950000      0.00010000      9.58740000
     -5.95030000      3.10130000      0.24620000      0.36040000      0.24950000      0.03830000      0.01040000      0.11410000      0.01070000      0.00010000      4.13100000
     -5.90030000      1.06060000      0.04420000      0.12990000      0.05080000      0.01380000      0.00590000      0.02780000      0.00690000      0.00020000      1.34010000
     -5.85030000      0.97000000      0.02120000      0.12290000      0.03020000      0.01300000      0.00660000      0.02080000      0.00800000      0.00030000      1.19300000
     -5.80030000      0.24200000      0.00500000      0.03050000      0.00730000      0.00310000      0.00150000      0.00520000      0.00190000      0.00010000      0.29660000
     -5.75030000      0.01040000      0.00010000      0.00130000      0.00020000      0.00000000      0.00000000      0.00020000      0.00000000      0.00000000      0.01220000
     -5.70030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.65030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.60030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.55030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.50030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.45030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.40030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.35030000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00030000
     -5.30030000      0.07560000      0.01100000      0.00340000      0.00970000      0.00050000      0.00060000      0.00180000      0.00070000      0.00000000      0.10330000
     -5.25030000      2.04150000      0.29040000      0.09870000      0.27550000      0.02090000      0.01810000      0.04720000      0.01890000      0.00030000      2.81150000
     -5.20030000     13.42840000      1.86140000      0.68820000      1.84430000      0.14170000      0.12160000      0.31650000      0.12130000      0.00390000     18.52730000
     -5.15030000     23.40190000      3.13570000      1.21580000      3.13460000      0.26720000      0.20240000      0.56320000      0.20220000      0.00690000     32.12990000
     -5.10030000     10.68020000      1.28740000      0.53310000      1.30640000      0.14640000      0.08190000      0.26290000      0.07970000      0.00240000     14.38040000
     -5.05030000      2.84380000      0.18850000      0.14590000      0.19210000      0.07030000      0.00810000      0.08190000      0.00700000      0.00000000      3.53760000
     -5.00030000      2.45260000      0.10410000      0.13360000      0.09870000      0.07360000      0.00080000      0.07680000      0.00040000      0.00000000      2.94060000
     -4.95030000      0.63810000      0.02820000      0.03740000      0.02680000      0.01890000      0.00040000      0.02010000      0.00030000      0.00000000      0.77020000
     -4.90030000      0.28440000      0.03340000      0.05460000      0.03290000      0.00800000      0.00580000      0.00910000      0.00580000      0.00020000      0.43420000
     -4.85030000      0.68630000      0.08610000      0.14160000      0.08510000      0.01880000      0.01570000      0.02140000      0.01590000      0.00040000      1.07130000
     -4.80030000      0.33470000      0.04210000      0.06900000      0.04130000      0.00890000      0.00780000      0.01050000      0.00740000      0.00020000      0.52190000
     -4.75030000      0.02890000      0.00370000      0.00580000      0.00340000      0.00050000      0.00040000      0.00090000      0.00050000      0.00000000      0.04410000
     -4.70030000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -4.65030000      0.00000000      0.00000000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00010000
     -4.60030000      0.00720000      0.00070000      0.00590000      0.00110000      0.00030000      0.00010000      0.00040000      0.00010000      0.00000000      0.01580000
     -4.55030000      0.05490000      0.00640000      0.04580000      0.00920000      0.00380000      0.00090000      0.00410000      0.00100000      0.00000000      0.12610000
     -4.50030000      0.07480000      0.00890000      0.06230000      0.01260000      0.00520000      0.00120000      0.00570000      0.00130000      0.00000000      0.17200000
     -4.45030000      0.01860000      0.00180000      0.01530000      0.00310000      0.00110000      0.00010000      0.00110000      0.00020000      0.00000000      0.04130000
     -4.40030000      0.00420000      0.00100000      0.00410000      0.00130000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.01060000
     -4.35030000      0.05550000      0.01590000      0.06250000      0.02420000      0.00150000      0.00050000      0.00170000      0.00040000      0.00000000      0.16220000
     -4.30030000      0.16080000      0.04630000      0.18090000      0.07020000      0.00480000      0.00150000      0.00540000      0.00160000      0.00020000      0.47170000
     -4.25030000      0.08510000      0.02460000      0.09610000      0.03690000      0.00250000      0.00080000      0.00310000      0.00080000      0.00010000      0.25000000
     -4.20030000      0.00900000      0.01550000      0.02890000      0.01400000      0.00100000      0.00060000      0.00010000      0.00080000      0.00000000      0.06990000
     -4.15030000      0.04320000      0.45820000      0.70680000      0.38530000      0.03490000      0.03100000      0.00560000      0.03400000      0.00000000      1.69900000
     -4.10030000      0.27190000      2.79170000      4.49430000      2.58370000      0.22380000      0.20350000      0.03560000      0.21150000      0.00040000     10.81640000
     -4.05030000      0.33080000      3.21630000      5.49880000      3.37500000      0.27430000      0.25870000      0.04320000      0.24940000      0.00090000     13.24740000
