      Energy(eV)          TDOS
     -7.10030000       0.45640000
     -7.05030000      11.69620000
     -7.00030000      59.67880000
     -6.95030000      69.32130000
     -6.90030000      26.37710000
     -6.85030000      37.44490000
     -6.80030000      65.37150000
     -6.75030000      42.68380000
     -6.70030000       6.77050000
     -6.65030000       0.84660000
     -6.60030000      10.88490000
     -6.55030000      36.90180000
     -6.50030000      27.18540000
     -6.45030000       4.25440000
     -6.40030000       0.23120000
     -6.35030000       3.54520000
     -6.30030000      27.61030000
     -6.25030000      85.01170000
     -6.20030000      95.61500000
     -6.15030000      28.75140000
     -6.10030000      22.96750000
     -6.05030000      45.22090000
     -6.00030000      34.42740000
     -5.95030000      16.75070000
     -5.90030000      15.72690000
     -5.85030000      19.23190000
     -5.80030000       4.82690000
     -5.75030000       0.20780000
     -5.70030000       0.00140000
     -5.65030000       0.00000000
     -5.60030000       0.00000000
     -5.55030000       0.00000000
     -5.50030000       0.00000000
     -5.45030000       0.00000000
     -5.40030000       0.00000000
     -5.35030000       0.00300000
     -5.30030000       0.40390000
     -5.25030000      10.52580000
     -5.20030000      66.05310000
     -5.15030000     110.43750000
     -5.10030000      49.36040000
     -5.05030000      18.65620000
     -5.00030000      19.40800000
     -4.95030000       5.44820000
     -4.90030000       7.98790000
     -4.85030000      20.71680000
     -4.80030000      10.11500000
     -4.75030000       0.87210000
     -4.70030000       0.01230000
     -4.65030000       0.04030000
     -4.60030000       1.84660000
     -4.55030000      14.03080000
     -4.50030000      19.12490000
     -4.45030000       4.75790000
     -4.40030000       0.62880000
     -4.35030000       7.10210000
     -4.30030000      20.54610000
     -4.25030000      10.88620000
     -4.20030000       1.28070000
     -4.15030000       9.31000000
     -4.10030000      59.31160000
     -4.05030000      72.86110000
     -4.00030000      17.82260000
     -3.95030000       7.43420000
     -3.90030000      34.43710000
     -3.85030000      86.34470000
     -3.80030000      99.93170000
     -3.75030000      77.60900000
     -3.70030000      46.44460000
     -3.65030000      24.81540000
     -3.60030000      20.79000000
     -3.55030000      24.64230000
     -3.50030000      52.90040000
     -3.45030000      53.50800000
     -3.40030000      28.07740000
     -3.35030000      17.28830000
     -3.30030000      63.44220000
     -3.25030000     101.78870000
     -3.20030000     146.44930000
     -3.15030000     150.96160000
     -3.10030000     143.95950000
     -3.05030000     148.92310000
     -3.00030000      98.38160000
     -2.95030000      67.57880000
     -2.90030000      51.67620000
     -2.85030000      12.52730000
     -2.80030000       3.52930000
     -2.75030000      16.60250000
     -2.70030000      17.86950000
     -2.65030000      15.19620000
     -2.60030000      42.23540000
     -2.55030000      45.35090000
     -2.50030000      21.19950000
     -2.45030000      19.41360000
     -2.40030000      22.40560000
     -2.35030000      50.46470000
     -2.30030000      95.89220000
     -2.25030000      61.92650000
     -2.20030000      73.18090000
     -2.15030000      91.49670000
     -2.10030000      86.40180000
     -2.05030000      68.15680000
     -2.00030000      37.67840000
     -1.95030000      37.44510000
     -1.90030000      63.37410000
     -1.85030000      98.02750000
     -1.80030000     115.88020000
     -1.75030000      63.39110000
     -1.70030000      12.69710000
     -1.65030000       0.73340000
     -1.60030000       1.28030000
     -1.55030000      15.84960000
     -1.50030000      40.69430000
     -1.45030000      32.55300000
     -1.40030000      24.33590000
     -1.35030000      21.39480000
     -1.30030000      42.07920000
     -1.25030000      99.51320000
     -1.20030000     104.69950000
     -1.15030000      78.69790000
     -1.10030000     107.01730000
     -1.05030000      96.31410000
     -1.00030000     104.95770000
     -0.95030000      83.12070000
     -0.90030000     121.19390000
     -0.85030000     138.67540000
     -0.80030000     116.29710000
     -0.75030000     115.37500000
     -0.70030000     114.27460000
     -0.65030000      84.00210000
     -0.60030000      90.53560000
     -0.55030000     195.77770000
     -0.50030000     224.73510000
     -0.45030000     121.92810000
     -0.40030000     104.04180000
     -0.35030000     147.78680000
     -0.30030000     180.46370000
     -0.25030000     185.85880000
     -0.20030000     147.73620000
     -0.15030000      86.13800000
     -0.10030000      44.05570000
     -0.05030000      58.93370000
     -0.00030000      69.34550000
      0.04970000      35.44660000
      0.09970000       4.76190000
      0.14970000       0.11840000
      0.19970000       0.04480000
      0.24970000       2.48530000
      0.29970000      23.44090000
      0.34970000      40.29970000
      0.39970000      12.97980000
      0.44970000       0.74280000
      0.49970000       0.00700000
      0.54970000       0.00000000
      0.59970000       0.00000000
      0.64970000       0.00000000
      0.69970000       0.00000000
      0.74970000       0.00000000
      0.79970000       0.00130000
      0.84970000       0.27760000
      0.89970000       9.74620000
      0.94970000      60.65480000
      0.99970000      79.25390000
      1.04970000      51.52420000
      1.09970000      32.66130000
      1.14970000       5.69750000
      1.19970000       0.18240000
      1.24970000       0.00110000
      1.29970000       0.03610000
      1.34970000       1.72620000
      1.39970000      13.65590000
      1.44970000      19.35320000
      1.49970000       5.00500000
      1.54970000       0.22550000
      1.59970000       0.39260000
      1.64970000       6.78630000
      1.69970000      20.43570000
      1.74970000      11.26400000
      1.79970000       1.13180000
      1.84970000       1.55630000
      1.89970000      13.02410000
      1.94970000      19.70230000
      1.99970000       5.44420000
      2.04970000       0.25870000
      2.09970000       0.00490000
      2.14970000       0.42200000
      2.19970000       9.64010000
      2.24970000      40.79840000
      2.29970000      46.84820000
      2.34970000      36.89600000
      2.39970000      21.78670000
      2.44970000      10.45990000
      2.49970000      20.49790000
      2.54970000      11.47970000
      2.59970000       1.14930000
      2.64970000       0.01880000
      2.69970000       0.00610000
      2.74970000       0.55220000
      2.79970000       8.09900000
      2.84970000      20.76770000
      2.89970000       9.75620000
      2.94970000       0.80790000
      2.99970000       0.01080000
      3.04970000       0.00000000
      3.09970000       0.00000000
      3.14970000       0.00000000
      3.19970000       0.00010000
      3.24970000       0.03760000
      3.29970000       1.76920000
      3.34970000      13.79250000
      3.39970000      19.27190000
      3.44970000       4.91300000
      3.49970000       0.29560000
      3.54970000       2.83200000
      3.59970000      17.53370000
      3.64970000      29.57550000
      3.69970000      34.13380000
      3.74970000      27.47770000
      3.79970000       7.88450000
      3.84970000       0.47820000
      3.89970000       0.03120000
      3.94970000       1.49540000
      3.99970000      15.49370000
      4.04970000      36.77850000
      4.09970000      27.97550000
      4.14970000      32.61070000
      4.19970000      35.82790000
      4.24970000      16.56320000
      4.29970000      57.48980000
      4.34970000     111.33500000
      4.39970000      68.51260000
      4.44970000      28.10550000
      4.49970000       7.34880000
      4.54970000       0.43560000
      4.59970000       0.33850000
      4.64970000       6.24810000
      4.69970000      20.19740000
      4.74970000      12.18050000
      4.79970000       7.54300000
      4.84970000      34.48370000
      4.89970000      66.45460000
      4.94970000      95.75110000
      4.99970000     128.61840000
      5.04970000      90.44030000
      5.09970000      25.76560000
      5.14970000      37.05550000
      5.19970000      30.05520000
      5.24970000       4.73690000
      5.29970000       0.13190000
      5.34970000       0.00060000
      5.39970000       0.00000000
      5.44970000       0.00010000
      5.49970000       0.02850000
      5.54970000       2.41630000
      5.59970000      33.57140000
      5.64970000      82.86330000
      5.69970000      37.97170000
      5.74970000       3.10700000
      5.79970000       0.04530000
      5.84970000       0.48160000
      5.89970000      10.44020000
      5.94970000      39.12910000
      5.99970000      32.13030000
      6.04970000      52.98100000
      6.09970000     109.65750000
      6.14970000      65.29790000
      6.19970000      11.09670000
      6.24970000      13.87570000
