      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.10240000      0.00070000      0.00010000      0.00020000      0.00030000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00130000
     -7.05240000      0.02140000      0.00510000      0.00820000      0.01090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04560000
     -7.00240000      0.11320000      0.02700000      0.04460000      0.05420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.23900000
     -6.95240000      0.11700000      0.02720000      0.04730000      0.05050000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.24200000
     -6.90240000      0.05210000      0.01290000      0.02350000      0.02460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.11310000
     -6.85240000      0.14680000      0.04010000      0.07110000      0.08020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.33820000
     -6.80240000      0.13930000      0.04070000      0.06930000      0.07550000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.32480000
     -6.75240000      0.02740000      0.01020000      0.01520000      0.01450000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06730000
     -6.70240000      0.02360000      0.01950000      0.01550000      0.03360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.09220000
     -6.65240000      0.31630000      0.26670000      0.20810000      0.47070000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.26180000
     -6.60240000      0.80180000      0.67360000      0.52910000      1.17770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      3.18220000
     -6.55240000      0.45140000      0.40670000      0.31120000      0.66420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.83350000
     -6.50240000      0.45070000      0.61970000      0.36410000      0.89350000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.32800000
     -6.45240000      0.52440000      0.75370000      0.42920000      1.08660000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.79390000
     -6.40240000      0.12280000      0.17620000      0.10030000      0.25390000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.65320000
     -6.35240000      0.01160000      0.01320000      0.00850000      0.01470000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.04800000
     -6.30240000      0.04680000      0.03730000      0.03190000      0.02560000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.14160000
     -6.25240000      0.10710000      0.07370000      0.07470000      0.04290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.29840000
     -6.20240000      0.07140000      0.04930000      0.05150000      0.03110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20330000
     -6.15240000      0.01200000      0.02360000      0.01140000      0.01630000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06330000
