      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.10240000      0.02360000      0.10400000      0.02100000      0.10440000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.25300000
     -7.05240000      0.53400000      2.36620000      0.47490000      2.36730000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      5.74240000
     -7.00240000      2.25500000      9.98050000      2.01100000      9.98700000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     24.23350000
     -6.95240000      1.96650000      8.68610000      1.84290000      8.69310000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     21.18860000
     -6.90240000      0.58950000      2.45260000      1.95610000      2.45480000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.45300000
     -6.85240000      1.11890000      3.81610000      5.71480000      3.82400000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     14.47380000
     -6.80240000      2.34360000      6.73090000      5.40920000      6.73830000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     21.22200000
     -6.75240000      1.72500000      4.61660000      2.11390000      4.61780000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     13.07330000
     -6.70240000      0.29150000      0.75300000      0.35590000      0.75290000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.15330000
     -6.65240000      0.26380000      0.44930000      1.19310000      0.44500000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.35120000
     -6.60240000      0.90000000      1.52360000      4.24250000      1.50980000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.17590000
     -6.55240000      1.01840000      1.76010000      4.91930000      1.73840000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      9.43620000
     -6.50240000      0.69120000      1.23790000      3.28340000      1.19210000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.40460000
     -6.45240000      0.52480000      0.95960000      2.43690000      0.90670000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.82800000
     -6.40240000      0.12490000      0.22720000      0.57420000      0.21470000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.14100000
     -6.35240000      0.19690000      0.31660000      0.77120000      0.31540000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.60010000
     -6.30240000      1.47020000      2.32410000      5.36780000      2.31940000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     11.48150000
     -6.25240000      4.19740000      6.60290000     14.12660000      6.58960000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     31.51650000
     -6.20240000      3.81400000      6.10640000     12.21380000      6.08750000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     28.22170000
     -6.15240000      1.05730000      1.83300000      2.96570000      1.81790000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.67390000
     -6.10240000      1.23870000      3.06540000      0.78670000      2.99260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      8.08340000
     -6.05240000      2.68470000      6.90880000      1.87870000      6.76820000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     18.24040000
     -6.00240000      1.83130000      5.29360000      1.94530000      6.07090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     15.14110000
     -5.95240000      0.62490000      2.06560000      0.89960000      3.35470000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      6.94480000
     -5.90240000      0.07160000      0.24570000      0.11850000      0.54610000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.98190000
     -5.85240000      0.01540000      0.07100000      0.07230000      0.05490000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.21360000
     -5.80240000      0.16120000      0.74880000      0.79380000      0.43770000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.14150000
     -5.75240000      0.32420000      1.51000000      1.60150000      0.88360000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      4.31930000
     -5.70240000      0.11980000      0.55810000      0.59200000      0.32650000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.59640000
     -5.65240000      0.00760000      0.03580000      0.03780000      0.02090000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.10210000
     -5.60240000      0.00000000      0.00020000      0.00040000      0.00010000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00070000
     -5.55240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -5.50240000      0.00000000      0.00040000      0.00010000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00070000
     -5.45240000      0.00650000      0.03410000      0.01070000      0.02330000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.07460000
     -5.40240000      0.05720000      0.29450000      0.09310000      0.20260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.64740000
     -5.35240000      0.08830000      0.45190000      0.14330000      0.31110000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.99460000
     -5.30240000      0.03050000      0.14300000      0.04460000      0.10420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.32230000
     -5.25240000      0.29590000      0.92340000      0.25320000      0.93830000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      2.41080000
     -5.20240000      2.91570000      8.90800000      2.40470000      8.94460000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     23.17300000
     -5.15240000      5.62700000     16.54700000      4.41450000     16.51100000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     43.09950000
     -5.10240000      2.93820000      7.62120000      2.06030000      7.58800000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     20.20770000
     -5.05240000      1.31980000      2.78870000      0.80870000      2.75240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      7.66960000
     -5.00240000      0.29070000      0.59430000      0.17480000      0.58530000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.64510000
     -4.95240000      0.01180000      0.02490000      0.00710000      0.02430000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.06810000
     -4.90240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
     -4.85240000      0.00000000      0.00170000      0.00230000      0.00060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00460000
     -4.80240000      0.01040000      0.07590000      0.08080000      0.04260000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.20970000
     -4.75240000      0.05610000      0.39760000      0.42510000      0.22420000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.10300000
     -4.70240000      0.05320000      0.37730000      0.40270000      0.21240000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      1.04560000
     -4.65240000      0.00860000      0.06480000      0.06920000      0.03620000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.17880000
     -4.60240000      0.00000000      0.00130000      0.00190000      0.00040000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00360000
     -4.55240000      0.00000000      0.00000000      0.00020000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00020000
     -4.50240000      0.00200000      0.01440000      0.01790000      0.01630000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.05060000
     -4.45240000      0.02800000      0.16230000      0.19850000      0.18060000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.56940000
