      Energy(eV)          s               py              pz              px              dxy             dyz             dz2             dxz            dx2-y2            tot 
     -7.10240000      0.25480000      0.00980000      0.00500000      0.00990000      0.00230000      0.00020000      0.00190000      0.00030000      0.00000000      0.28420000
     -7.05240000      5.76780000      0.22150000      0.11620000      0.22250000      0.04620000      0.01550000      0.04230000      0.01540000      0.00000000      6.44740000
     -7.00240000     24.29720000      0.93870000      0.49370000      0.94060000      0.19350000      0.06450000      0.17680000      0.06430000      0.00090000     27.17020000
     -6.95240000     21.23730000      0.81710000      0.44870000      0.81540000      0.16800000      0.05540000      0.15310000      0.05560000      0.00080000     23.75140000
     -6.90240000      8.13080000      0.15820000      0.40190000      0.15640000      0.04580000      0.01770000      0.04330000      0.01780000      0.00000000      8.97190000
     -6.85240000     16.17100000      0.07250000      1.26460000      0.07200000      0.08640000      0.02840000      0.12110000      0.02820000      0.00000000     17.84420000
     -6.80240000     19.87040000      0.25030000      1.77730000      0.25070000      0.22500000      0.03010000      0.40420000      0.03030000      0.00000000     22.83830000
     -6.75240000     10.70210000      0.21510000      1.05750000      0.21530000      0.17870000      0.01420000      0.33990000      0.01420000      0.00000000     12.73700000
     -6.70240000      1.73550000      0.03580000      0.16930000      0.03610000      0.02950000      0.00290000      0.05600000      0.00280000      0.00000000      2.06790000
     -6.65240000      2.38740000      0.01270000      0.14000000      0.01320000      0.01210000      0.01150000      0.00710000      0.01130000      0.00000000      2.59530000
     -6.60240000      8.58730000      0.04440000      0.49930000      0.04520000      0.04060000      0.04100000      0.02200000      0.03970000      0.00000000      9.31950000
     -6.55240000     10.24190000      0.05560000      0.59440000      0.05440000      0.04960000      0.04620000      0.02990000      0.04520000      0.00000000     11.11720000
     -6.50240000      6.69340000      0.03670000      0.35430000      0.03500000      0.03780000      0.03040000      0.02440000      0.02840000      0.00000000      7.24040000
     -6.45240000      4.82210000      0.02610000      0.23320000      0.02470000      0.03080000      0.02260000      0.02030000      0.02030000      0.00000000      5.20010000
     -6.40240000      1.14420000      0.00590000      0.05400000      0.00550000      0.00710000      0.00470000      0.00460000      0.00400000      0.00000000      1.23000000
     -6.35240000      1.85590000      0.00180000      0.06300000      0.00150000      0.00610000      0.00300000      0.00250000      0.00300000      0.00000000      1.93680000
     -6.30240000     13.15740000      0.02760000      0.41080000      0.02730000      0.06740000      0.04570000      0.02960000      0.04610000      0.00000000     13.81190000
