      Energy(eV)          TDOS
     -7.15240000       0.00540000
     -7.10240000       0.73310000
     -7.05240000      16.63870000
     -7.00240000      70.24650000
     -6.95240000      61.49930000
     -6.90240000      22.94770000
     -6.85240000      45.93510000
     -6.80240000      61.32060000
     -6.75240000      35.22360000
     -6.70240000       5.90820000
     -6.65240000       9.30980000
     -6.60240000      30.53850000
     -6.55240000      32.29250000
     -6.50240000      23.51880000
     -6.45240000      19.31700000
     -6.40240000       4.54970000
     -6.35240000       4.87720000
     -6.30240000      34.55130000
     -6.25240000      94.33830000
     -6.20240000      84.13440000
     -6.15240000      22.39330000
     -6.10240000      20.04480000
     -6.05240000      48.69310000
     -6.00240000      53.68500000
     -5.95240000      32.03590000
     -5.90240000       5.12100000
     -5.85240000       1.05100000
     -5.80240000      10.25410000
     -5.75240000      20.69050000
     -5.70240000       7.64750000
     -5.65240000       0.49300000
     -5.60240000       0.00510000
     -5.55240000       0.00010000
     -5.50240000       0.02880000
     -5.45240000       1.49980000
     -5.40240000      12.88480000
     -5.35240000      19.77340000
     -5.30240000       5.64280000
     -5.25240000       5.79210000
     -5.20240000      54.01630000
     -5.15240000     102.51270000
     -5.10240000      51.24490000
     -5.05240000      21.67400000
     -5.00240000       4.73080000
     -4.95240000       0.19810000
     -4.90240000       0.00180000
     -4.85240000       0.10670000
     -4.80240000       3.30480000
     -4.75240000      17.28890000
     -4.70240000      16.40310000
     -4.65240000       2.81450000
     -4.60240000       0.08110000
     -4.55240000       0.01400000
     -4.50240000       0.93760000
     -4.45240000      10.46250000
     -4.40240000      20.64840000
     -4.35240000       7.48780000
     -4.30240000       1.82680000
     -4.25240000      12.35450000
     -4.20240000      20.54260000
     -4.15240000      19.78100000
     -4.10240000      68.26250000
     -4.05240000      65.16840000
     -4.00240000      12.99160000
     -3.95240000      13.02280000
     -3.90240000      49.82230000
     -3.85240000      94.07460000
     -3.80240000      98.45450000
     -3.75240000      67.16390000
     -3.70240000      31.37600000
     -3.65240000       6.18770000
     -3.60240000      12.16260000
     -3.55240000      46.11250000
     -3.50240000      61.43570000
     -3.45240000      55.64960000
     -3.40240000      45.26560000
     -3.35240000      30.62770000
