VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-3065.203879,-2960.009752,-4198.680566,-4198.680566,-3765.701586,-603.6579856,-2920.281337,-1911.379573,0,0
-2992.544969,-2888.891413,-4116.901213,-4116.901213,-3691.837141,-644.0575975,-2862.32836,-1884.599293,0,0
-2917.999016,-2817.363126,-4032.785096,-4032.785096,-3614.189803,-680.5187033,-2800.875138,-1854.627803,0,0
-2841.566021,-2745.42489,-3946.332217,-3946.332217,-3532.759571,-713.041303,-2735.921674,-1821.465103,0,0
-2763.245983,-2673.076706,-3857.542574,-3857.542574,-3447.546447,-741.6253964,-2667.467966,-1785.111192,0,0
-2683.038902,-2600.318573,-3766.416168,-3766.416168,-3358.55043,-766.2709837,-2595.514015,-1745.566071,0,0
-2600.783918,-2528.201689,-3671.40451,-3671.40451,-3264.271429,-785.9340646,-2518.969787,-1700.955328,0,0
-2516.778532,-2455.257029,-3574.693037,-3574.693037,-3165.921939,-802.5198027,-2439.423687,-1654.206598,0,0
-2430.395802,-2379.604689,-3475.587156,-3475.587156,-3064.559892,-816.3302912,-2355.939299,-1605.944364,0,0
-2342.017628,-2302.83505,-3377.108842,-3377.108842,-2961.903459,-827.0895499,-2269.442444,-1556.859177,0,0
-2251.611993,-2223.751824,-3278.348731,-3278.348731,-2858.909538,-834.3728274,-2181.573415,-1506.100116,0,0
-2159.991239,-2143.795351,-3181.286337,-3181.286337,-2756.725269,-838.032696,-2093.525905,-1454.726379,0,0
-2067.59569,-2063.807671,-3086.539275,-3086.539275,-2656.452733,-837.9874619,-2006.99035,-1401.871848,0,0
-1975.59101,-1984.976618,-2994.7516,-2994.7516,-2559.800242,-834.1863487,-1924.359406,-1348.252416,0,0
-1884.696885,-1907.859917,-2905.683158,-2905.683158,-2466.312373,-826.7186605,-1844.867316,-1294.209903,0,0
-1796.208748,-1833.324761,-2819.428622,-2819.428622,-2375.747122,-815.5243093,-1770.258772,-1239.895816,0,0
-1710.867171,-1761.654263,-2734.858201,-2734.858201,-2287.527527,-800.6225989,-1699.203642,-1185.31179,0,0
-1628.730651,-1691.253855,-2650.459322,-2650.459322,-2200.143285,-783.3154584,-1631.363664,-1131.872983,0,0
