Time_aligned_s,Chan.1 - Raw (mV),Chan.2 - Raw (mV),Chan.3 - Raw (mV),Chan.4 - Raw (mV),Chan.5 - Raw (mV),Chan.6 - Raw (mV),Chan.7 - Raw (mV),Chan.8 - Raw (mV),Stress_Type,Period
0,1657.6,1507.6,1139.6,1139.6,1415,1937.5,1585.2,1739.8,0,6
0.5,1657.6,1507.6,1212.4,1212.4,1495.1,1937.5,1585.2,1889.4,0,6
1,1727.8,1578.9,1212.4,1212.4,1495.1,2009.6,1656.6,1889.4,0,6
1.5,1727.8,1578.9,1268.1,1268.1,1572.4,2009.6,1656.6,1982.8,0,6
2,1802.2,1641.3,1268.1,1268.1,1572.4,2073,1720,1982.8,0,6
2.5,1866.1,1641.3,1353,1353,1642.2,2073,1720,2033.5,0,6
3,1866.1,1690.5,1353,1353,1642.2,2135.7,1791.5,2033.5,0,6
3.5,1938.9,1690.5,1420.3,1420.3,1714.8,2135.7,1791.5,2079.9,0,6
4,1938.9,1765.6,1420.3,1420.3,1714.8,2204.1,1851,2079.9,0,6
4.5,2000.8,1765.6,1489.5,1489.5,1786.6,2204.1,1851,2157,0,6
5,2000.8,1837.6,1489.5,1489.5,1786.6,2271.9,1911.4,2157,0,6
5.5,2061.1,1837.6,1555.3,1555.3,1851.7,2271.9,1984.9,2223.4,0,6
6,2061.1,1900.7,1555.3,1555.3,1927.9,2333.3,1984.9,2223.4,0,6
6.5,2141,1900.7,1619.5,1619.5,1927.9,2386.5,2031.3,2293.8,0,6
7,2141,1951.3,1619.5,1619.5,1991.1,2386.5,2031.3,2293.8,0,6
7.5,2171.1,1951.3,1683.3,1683.3,1991.1,2466.6,2097,2373.2,0,6
8,2171.1,2024.1,1745,1745,2054.9,2466.6,2097,2373.2,0,6
8.5,2249.6,2024.1,1745,1745,2054.9,2528.4,2161.1,2454.3,0,6
9,2249.6,2082,1812.3,1812.3,2109.5,2528.4,2161.1,2454.3,0,6
9.5,2318,2082,1812.3,1812.3,2109.5,2587.7,2219.6,2530.9,0,6
10,2318,2142.8,1875.5,1875.5,2174,2587.7,2219.6,2530.9,0,6
10.5,2378.2,2142.8,1875.5,1875.5,2174,2653.3,2278.1,2609.4,0,6
11,2378.2,2204.3,1932.3,1932.3,2249,2653.3,2278.1,2609.4,0,6
11.5,2437.3,2204.3,1932.3,1932.3,2249,2716.3,2335.6,2692.2,0,6
12,2437.3,2250.9,1978,1978,2314,2716.3,2335.6,2692.2,0,6
12.5,2488.3,2250.9,1978,1978,2314,2770.4,2393.2,2780.8,0,6
