Time_aligned_s,VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
0.0,1475.331139,1288.570314,957.9889384,957.9889384,1303.0007,1552.289172,1349.721774,1365.736541,0,6
1.0,1515.337725,1323.016419,1000.344012,1000.344012,1342.088216,1593.503641,1386.648389,1404.52845,0,6
2.0,1555.435026,1356.771898,1042.955005,1042.955005,1380.641682,1634.6147,1422.201794,1443.147944,0,6
3.0,1595.095149,1390.652185,1085.436987,1085.436987,1418.094834,1675.47907,1457.219879,1481.466954,0,6
4.0,1634.170457,1424.021936,1127.663769,1127.663769,1455.547293,1715.91534,1491.248595,1519.43615,0,6
5.0,1672.253368,1457.459515,1169.219581,1169.219581,1492.252594,1755.681046,1525.133664,1556.790812,0,6
6.0,1708.368872,1490.125325,1209.315137,1209.315137,1529.461156,1794.835787,1558.385755,1593.511983,0,6
7.0,1743.001735,1522.402616,1247.046614,1247.046614,1566.704661,1833.296009,1591.65644,1629.430078,0,6
8.0,1776.327972,1554.248311,1283.135891,1283.135891,1604.932008,1871.269568,1625.22643,1664.663334,0,6
9.0,1809.743697,1586.54728,1318.069493,1318.069493,1643.396183,1909.045476,1659.175324,1698.938074,0,6
10.0,1842.903537,1618.472466,1351.433557,1351.433557,1682.109408,1945.402345,1693.298276,1732.094828,0,6
11.0,1876.788186,1650.682784,1384.451034,1384.451034,1720.704455,1980.870701,1727.408968,1764.894957,0,6
12.0,1910.818635,1682.349499,1416.796994,1416.796994,1759.277854,2015.216299,1761.025655,1796.971191,0,6
13.0,1945.587603,1714.249563,1449.140567,1449.140567,1797.869406,2049.292617,1795.059505,1829.155808,0,6
14.0,1980.624378,1745.646955,1480.98874,1480.98874,1836.416315,2082.524854,1828.969597,1860.853016,0,6
15.0,2015.361363,1777.376363,1512.963862,1512.963862,1874.66492,2115.804319,1863.58351,1892.694709,0,6
16.0,2049.079702,1808.788269,1544.118544,1544.118544,1912.725515,2149.099063,1898.203058,1924.234631,0,6
17.0,2082.663083,1840.95251,1574.35105,1574.35105,1950.40368,2182.390572,1933.716805,1956.031908,0,6
18.0,2115.863268,1873.526997,1604.877737,1604.877737,1987.54646,2215.716482,1969.664414,1987.433585,0,6
19.0,2149.708068,1907.365505,1635.881012,1635.881012,2023.925846,2249.052623,2005.917085,2018.751124,0,6
20.0,2183.648845,1941.865996,1666.854401,1666.854401,2058.945332,2281.805118,2042.254253,2049.775541,0,6
21.0,2218.621756,1976.814436,1698.948693,1698.948693,2093.241707,2315.041318,2078.678272,2080.930782,0,6
22.0,2254.056387,2011.5862,1731.502119,1731.502119,2126.870266,2348.251783,2114.69232,2111.448096,0,6
23.0,2290.853151,2046.650921,1765.094076,1765.094076,2161.018376,2382.286118,2150.821826,2142.04986,0,6
24.0,2327.946222,2080.516273,1798.885055,1798.885055,2195.073388,2416.44863,2186.699925,2171.860577,0,6
25.0,2365.65437,2115.765239,1833.407249,1833.407249,2229.846184,2451.664146,2223.03977,2202.213486,0,6
26.0,2403.53377,2152.976669,1867.589847,1867.589847,2264.880015,2488.001481,2259.529539,2232.520868,0,6
27.0,2441.977715,2192.377849,1902.115099,1902.115099,2300.421741,2524.230308,2296.340868,2264.264358,0,6
28.0,2480.67406,2232.679351,1937.374558,1937.374558,2335.598921,2559.386595,2332.694324,2296.828944,0,6
29.0,2393.898195,2163.005007,1972.963262,1972.963262,2371.557292,2593.896279,2258.283542,2331.149466,0,6
30.0,2407.605518,2178.863949,2008.777019,2008.777019,2408.083022,2627.89516,2269.907573,2366.008797,0,6
31.0,2618.803135,2362.640227,2044.757359,2044.757359,2446.147145,2631.639227,2451.087926,2374.13736,0,6
32.0,3022.661092,2709.432692,2080.429996,2080.429996,2484.389403,2661.14213,2798.018826,2402.816105,0,6
33.0,3552.890374,3157.889524,2115.733766,2115.733766,2389.117943,2741.150289,3250.07252,2472.230255,0,6
34.0,4057.856284,3581.280951,2150.644397,2150.644397,2399.424759,2851.377208,3681.87371,2563.66108,0,6
35.0,4372.258259,3848.391144,2184.921181,2184.921181,2618.593791,2994.427066,3959.991051,2678.731651,0,6
36.0,4344.442089,3805.21638,2218.024111,2218.024111,3052.106133,3162.429754,3930.187757,2809.906782,0,6
37.0,3846.996485,3320.293511,2250.066049,2250.066049,3595.295426,3334.945596,3492.880706,2941.441017,0,6
38.0,2718.718296,2302.474393,2281.647932,2281.647932,4112.054006,3482.008288,2507.593352,3047.875836,0,6
39.0,855.8324169,683.8311013,2209.734399,2209.734399,4419.774117,3564.710715,883.2666386,3096.04385,0,6
40.0,-1457.607516,-1210.979047,2220.879779,2220.879779,4353.880114,3535.3644,-1133.408095,3045.160957,0,6
41.0,-4122.741865,-3360.438865,2394.607149,2394.607149,3749.426573,3340.924346,-3458.525536,2849.915498,0,6
42.0,-7024.821017,-5726.157952,2727.981883,2727.981883,2496.919034,3002.472763,-5993.447265,2529.675696,0,6
43.0,-10033.01468,-8250.141446,3162.864765,3162.864765,595.382855,2476.638176,-8626.849831,2047.714887,0,6
44.0,-13034.49066,-10871.24933,3583.081661,3583.081661,-1712.898702,1621.547897,-11254.24087,1283.810367,0,6
45.0,-15878.43393,-13488.56442,3861.427428,3861.427428,-4378.338972,534.3227393,-13745.71586,320.0619224,0,6
46.0,-18398.63299,-15992.00882,3853.221624,3853.221624,-7325.090698,-785.0372974,-15977.75901,-843.5304456,0,6
47.0,-20104.98332,-18229.95694,3439.069995,3439.069995,-10476.5161,-2336.532213,-17511.23499,-2206.966737,0,6
48.0,-21366.53828,-20022.85219,2513.879975,2513.879975,-13701.28212,-4120.162008,-18667.93915,-3770.246953,0,6
49.0,-22183.29787,-21186.19825,1073.597626,1073.597626,-16858.16085,-3904.998901,-19447.87148,-3689.377758,0,6
50.0,-22555.26208,-21114.38969,-703.0327756,-703.0327756,-19750.3551,-4107.21673,-19851.03199,-3842.153198,0,6
51.0,-22482.43093,-20250.83775,-2786.268188,-2786.268188,-22169.56602,-4301.639683,-19877.42067,-3992.146802,0,6
52.0,-16794.99278,-18595.54243,-5123.841474,-5123.841474,-23858.68903,-4488.267763,-16139.25069,-4139.35857,0,6
53.0,-16076.6461,-16148.50374,-7639.487578,-7639.487578,-24060.41269,-4667.100967,-15425.11095,-4283.788503,0,6
54.0,-15403.79503,-12909.72166,-10246.1979,-10246.1979,-23335.66511,-4838.139296,-14767.08675,-4425.436601,0,6
55.0,-14776.43957,-13412.2104,-12818.97891,-12818.97891,-21684.44628,-5002.367048,-14165.17807,-4567.415086,0,6
56.0,-14194.57973,-13080.17022,-15220.69947,-15220.69947,-19106.75621,-5160.222328,-13619.38493,-4704.523348,0,6
57.0,-13658.21549,-12767.11067,-17277.53044,-17277.53044,-15602.59489,-5308.048728,-13129.70732,-4837.376181,0,6
58.0,-13178.61985,-12473.03175,-18806.9325,-18806.9325,-14982.51787,-5447.878753,-12716.38607,-4966.92173,0,6
59.0,-12735.77729,-12197.93347,-19217.09448,-19217.09448,-14484.1936,-5576.081532,-12347.2677,-5088.755984,0,6
60.0,-12325.89859,-11941.81581,-18941.45728,-18941.45728,-14014.62322,-5693.907997,-12014.92875,-5203.12988,0,6
