Time_aligned_s,VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
0.0,965.9379132,700.6170311,475.1376879,475.1376879,874.8225793,1280.540339,1121.534016,1457.162976,2,3
1.0,1010.843322,739.1999958,515.8469117,515.8469117,918.3291728,1322.440045,1163.733141,1488.45536,2,3
2.0,1054.918166,777.3319074,556.7545244,556.7545244,960.2072749,1364.139629,1205.444273,1519.977227,2,3
3.0,1097.933242,815.0300918,597.2039522,597.2039522,1001.246028,1406.101142,1246.517744,1551.305718,2,3
4.0,1139.749792,852.332678,638.3412849,638.3412849,1041.029248,1448.805152,1286.504524,1583.083692,2,3
5.0,1180.089897,889.0904276,679.4681572,679.4681572,1080.639489,1491.107524,1324.879837,1614.730351,2,3
6.0,1218.455848,924.9579937,721.4984644,721.4984644,1119.656032,1531.680587,1362.406273,1646.889521,2,3
7.0,1255.871694,961.0463026,763.5946221,763.5946221,1159.052024,1571.226561,1398.562786,1679.086265,2,3
8.0,1292.540109,996.6215288,805.8280345,805.8280345,1198.494117,1609.999838,1434.25712,1710.770394,2,3
9.0,1329.699936,1032.665402,848.1392625,848.1392625,1237.811335,1648.199867,1469.176177,1741.046647,2,3
10.0,1366.477179,1067.946168,890.7385592,890.7385592,1277.506688,1685.691201,1504.230567,1771.187208,2,3
11.0,1403.673221,1103.263972,933.5069866,933.5069866,1317.313951,1721.983433,1539.235172,1801.362357,2,3
12.0,1441.203596,1138.045571,976.5774647,976.5774647,1356.213322,1757.840382,1574.191115,1832.367181,2,3
13.0,1478.908126,1172.447691,1019.763602,1019.763602,1395.18129,1792.742299,1609.097149,1863.695242,2,3
14.0,1516.428078,1206.352783,1063.016283,1063.016283,1433.543806,1827.479729,1643.739399,1896.045286,2,3
15.0,1553.494553,1239.801063,1105.979923,1105.979923,1472.491306,1861.422177,1677.813805,1928.745358,2,3
16.0,1589.827676,1272.615075,1148.139697,1148.139697,1511.381244,1894.437271,1712.147286,1962.489246,2,3
17.0,1626.505595,1304.751398,1189.12672,1189.12672,1551.222867,1927.365837,1746.013678,1996.563068,2,3
