VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-3774.283993,-4182.403056,-4720.673844,-4720.673844,-4145.750629,-3254.036539,-3269.489161,-2756.176126,2,9
-3691.471013,-4094.708255,-4626.00436,-4626.00436,-4063.254967,-3194.453771,-3222.140409,-2704.461239,2,9
-3606.751853,-4005.593888,-4529.358651,-4529.358651,-3977.782753,-3132.10543,-3168.04148,-2649.207441,2,9
-3520.126513,-3915.059955,-4430.736717,-4430.736717,-3889.333986,-3066.991517,-3107.192374,-2590.414732,2,9
-3431.594994,-3823.106457,-4330.138557,-4330.138557,-3797.908666,-2999.112033,-3039.593091,-2528.083112,2,9
-3341.157296,-3729.733393,-4227.564171,-4227.564171,-3703.506793,-2928.466976,-2965.24363,-2462.212582,2,9
-3247.321937,-3635.192046,-4122.997078,-4122.997078,-3603.990618,-2853.517176,-2880.137329,-2391.010175,2,9
-3151.529664,-3538.354477,-4015.586909,-4015.586909,-3502.351596,-2776.461778,-2790.018326,-2315.784816,2,9
-3054.974702,-3439.453478,-3905.692962,-3905.692962,-3398.139859,-2696.859299,-2695.736878,-2238.693519,2,9
-2959.136972,-3339.448272,-3794.556976,-3794.556976,-3294.674774,-2616.657737,-2598.850978,-2161.842797,2,9
-2864.593497,-3238.550326,-3682.55259,-3682.55259,-3191.261954,-2536.800886,-2501.736737,-2085.514329,2,9
-2771.825253,-3137.69251,-3570.861088,-3570.861088,-3090.697154,-2458.135906,-2405.394159,-2010.400222,2,9
-2681.381959,-3037.235764,-3459.836287,-3459.836287,-2991.6788,-2380.86542,-2311.07599,-1936.289612,2,9
-2594.372927,-2937.824772,-3350.563799,-3350.563799,-2896.377276,-2304.642356,-2219.215766,-1863.347347,2,9
-2509.277152,-2840.316757,-3243.190328,-3243.190328,-2802.813148,-2230.037973,-2130.443615,-1791.412349,2,9
-2424.842903,-2746.316131,-3138.49005,-3138.49005,-2712.469213,-2157.293255,-2044.478751,-1720.542649,2,9
-2339.719751,-2655.156542,-3036.409603,-3036.409603,-2624.712854,-2085.244129,-1961.240726,-1651.691884,2,9
-2253.145031,-2565.060974,-2935.32529,-2935.32529,-2539.258448,-2013.510094,-1881.035803,-1582.472318,2,9
-2165.401851,-2475.095015,-2835.973866,-2835.973866,-2454.537769,-1939.921449,-1803.266236,-1516.024759,2,9
-2077.192305,-2384.736094,-2739.462956,-2739.462956,-2372.325539,-1865.365656,-1729.424469,-1451.538798,2,9
-1988.45509,-2294.432554,-2645.273707,-2645.273707,-2289.972276,-1789.13129,-1658.340988,-1389.285704,2,9
-1900.442597,-2205.810761,-2554.617586,-2554.617586,-2209.167008,-1711.481293,-1590.271055,-1328.158855,2,9
-1814.166584,-2119.310016,-2466.88677,-2466.88677,-2127.252222,-1632.41221,-1523.587123,-1268.649586,2,9
-1731.068396,-2036.453002,-2382.466174,-2382.466174,-2045.97911,-1552.812639,-1458.863339,-1209.64701,2,9
-1649.957218,-1959.495968,-2302.108582,-2302.108582,-1963.028902,-1474.29779,-1394.66073,-1151.6834,2,9
-1571.338244,-1887.667298,-2224.076315,-2224.076315,-1880.83273,-1397.998016,-1331.237426,-1095.449505,2,9
-1495.182708,-1820.634054,-2148.898962,-2148.898962,-1798.839221,-1324.006419,-1268.68058,-1042.041353,2,9
-1422.253927,-1756.190081,-2074.915159,-2074.915159,-1718.044219,-1253.42866,-1207.443692,-989.7347644,2,9
-1353.297328,-1693.102301,-2002.746194,-2002.746194,-1638.052692,-1185.447321,-1147.778748,-940.2846748,2,9
-1287.020441,-1629.084465,-1930.895411,-1930.895411,-1559.571397,-1120.450408,-1089.613622,-891.5612345,2,9
-1224.210492,-1565.296326,-1859.591807,-1859.591807,-1482.324288,-1059.164442,-1031.042898,-843.2182012,2,9
-1163.376693,-1501.942831,-1789.429463,-1789.429463,-1406.923295,-1000.303078,-973.1520863,-793.3426121,2,9
-1104.921602,-1439.307302,-1720.395369,-1720.395369,-1333.054414,-944.6352489,-914.1660242,-742.3691291,2,9
-1048.155177,-1377.699846,-1652.587559,-1652.587559,-1261.523401,-890.8361769,-855.4166741,-688.7312687,2,9
-991.5080927,-1318.052026,-1586.775161,-1586.775161,-1191.723931,-840.3122924,-795.376165,-633.640259,2,9
-934.5497206,-1258.057861,-1520.790862,-1520.790862,-1124.310892,-790.9302017,-735.4992192,-577.4163886,2,9
-876.9334972,-1197.79722,-1455.847085,-1455.847085,-1059.756601,-741.7128936,-675.6699078,-521.0124849,2,9
-818.7599536,-1135.13426,-1389.953628,-1389.953628,-996.9128205,-692.2085651,-616.7904121,-464.7418465,2,9
-760.584642,-1070.303589,-1324.72803,-1324.72803,-936.3270962,-641.3636144,-558.2950082,-409.9043304,2,9
-700.9241826,-1002.367234,-1258.08836,-1258.08836,-876.625291,-589.2842956,-500.0177014,-355.9393762,2,9
-641.3431377,-934.8009652,-1191.246375,-1191.246375,-818.3466507,-536.5788398,-441.9879446,-302.5625882,2,9
-580.7472924,-867.9313513,-1124.418808,-1124.418808,-760.1486984,-482.0243283,-384.5596623,-249.9179533,2,9
-521.060916,-802.8098657,-1058.516671,-1058.516671,-702.333823,-427.202008,-327.6042107,-197.9894368,2,9
-461.5557836,-739.5610771,-993.3452076,-993.3452076,-645.2690037,-371.5847204,-271.5474891,-146.7956235,2,9
-402.0488693,-679.0875687,-929.4549373,-929.4549373,-588.7395566,-317.5501751,-216.3904212,-96.61461035,2,9
-342.845408,-620.3686309,-866.612728,-866.612728,-533.2592401,-263.1196379,-162.6589403,-48.22111367,2,9
-284.4771028,-562.6150494,-805.2338334,-805.2338334,-479.0619149,-208.9814087,-111.0150598,-0.61209291,2,9
-226.8348497,-505.2339243,-745.2148126,-745.2148126,-424.7539551,-155.0610826,-60.62749029,45.95323551,2,9
-170.33459,-447.7140264,-687.0035096,-687.0035096,-371.3219328,-101.0916976,-12.25665023,92.44466974,2,9
-114.7757732,-391.0285802,-629.9779115,-629.9779115,-317.1242574,-47.2614,35.20805034,138.1211475,2,9
-60.43296208,-336.7101522,-574.4338879,-574.4338879,-263.1457833,6.136719802,81.2673826,182.8920348,2,9
-7.145525043,-284.6868353,-521.4072872,-521.4072872,-207.8540093,59.3412992,127.0837571,226.9601422,2,9
44.84699676,-233.8618761,-469.7504338,-469.7504338,-152.3170181,112.0930383,172.5483017,270.4692,2,9
94.85266626,-184.6144118,-419.7686248,-419.7686248,-96.4102417,164.4391115,217.5648508,313.5653501,2,9
143.9803836,-135.7591264,-370.1627746,-370.1627746,-40.26318883,216.0975366,261.975513,356.2244217,2,9
191.6327805,-87.95026955,-321.3305531,-321.3305531,16.00073382,267.0192484,305.7356205,398.1424449,2,9
238.8667657,-40.0498264,-272.156605,-272.156605,71.53790291,316.758871,348.7371211,440.8310211,2,9
285.1610926,7.432251127,-222.6435375,-222.6435375,126.4451519,364.6083795,392.0968256,483.9185713,2,9
331.5554726,54.22785536,-173.030588,-173.030588,180.3797379,411.6081452,434.819357,528.2256561,2,9
378.0330632,100.300808,-123.419568,-123.419568,233.4758047,457.0768132,478.2815738,572.4340187,2,9
424.218774,145.4124237,-74.38847829,-74.38847829,285.4666887,502.0418002,521.7439743,616.8180376,2,9
