Time_aligned_s,VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
0.0,887.1045533,694.0763231,498.1993379,498.1993379,778.0923929,1182.229861,1087.340756,1185.539512,1,0
1.0,926.1048946,732.6306671,538.0019896,538.0019896,825.9613227,1223.673061,1128.845575,1217.803829,1,0
2.0,964.9135144,769.9521164,577.9033826,577.9033826,871.4857352,1264.994205,1169.377777,1249.249214,1,0
3.0,1003.410888,807.2994216,619.2198351,619.2198351,915.1925507,1305.828696,1209.341751,1280.781025,1,0
4.0,1041.549605,843.8646648,661.2106876,661.2106876,956.9103021,1346.22667,1248.850488,1311.720358,1,0
5.0,1080.542301,880.741527,705.1935319,705.1935319,997.7217455,1386.158855,1287.96474,1342.834999,1,0
6.0,1119.659627,917.360536,751.4000429,751.4000429,1037.348682,1425.649107,1326.548958,1373.610964,1,0
7.0,1159.990036,954.7689969,798.8820032,798.8820032,1076.875878,1464.598319,1364.644672,1404.680973,1,0
8.0,1200.756701,992.081459,845.8020388,845.8020388,1115.682098,1503.403138,1401.942056,1435.007772,1,0
9.0,1243.033184,1028.756008,891.6703854,891.6703854,1154.565576,1541.949184,1437.745009,1464.511576,1,0
10.0,1285.870834,1064.206231,935.9518067,935.9518067,1192.742786,1579.999915,1472.594225,1493.707041,1,0
11.0,1329.188185,1098.734805,978.6913784,978.6913784,1230.748989,1617.436557,1505.710383,1523.523321,1,0
12.0,1372.194454,1132.27077,1019.752978,1019.752978,1267.425787,1653.637012,1537.987902,1553.614771,1,0
13.0,1414.842268,1164.951491,1059.413067,1059.413067,1303.709597,1689.389653,1569.666365,1584.649124,1,0
14.0,1456.915055,1196.531182,1097.854013,1097.854013,1339.414951,1724.422524,1601.851765,1615.718413,1,0
15.0,1498.323356,1227.082463,1135.966336,1135.966336,1375.697579,1759.757547,1633.967395,1647.571375,1,0
16.0,1538.742098,1256.610043,1174.523536,1174.523536,1411.987028,1794.801626,1666.767915,1679.546711,1,0
17.0,1578.229777,1285.165416,1211.792972,1211.792972,1449.40716,1830.297061,1699.937149,1712.02383,1,0
18.0,1616.743833,1312.531135,1247.82447,1247.82447,1487.114738,1866.238978,1732.983912,1743.69486,1,0
19.0,1654.456407,1338.005795,1282.522792,1282.522792,1525.846151,1902.30641,1765.312385,1775.208032,1,0
20.0,1691.075852,1362.670974,1316.863857,1316.863857,1564.594486,1938.068925,1797.62349,1807.397672,1,0
21.0,1726.3835,1386.874687,1350.667868,1350.667868,1604.033173,1973.210006,1829.284286,1840.041594,1,0
22.0,1761.183854,1411.930763,1384.874084,1384.874084,1642.8875,2007.198754,1861.602065,1873.047498,1,0
23.0,1795.178283,1437.731812,1419.330327,1419.330327,1681.617478,2040.923528,1894.433829,1906.205367,1,0
24.0,1829.216061,1465.386126,1453.884397,1453.884397,1720.583328,2074.047218,1928.632319,1939.19516,1,0
25.0,1862.734472,1494.757985,1488.56702,1488.56702,1759.515339,2107.535977,1963.61682,1972.020984,1,0
26.0,1896.45549,1526.937973,1523.283566,1523.283566,1798.246037,2140.82252,2000.2588,2004.492322,1,0
27.0,1929.874959,1561.895856,1557.217628,1557.217628,1836.741965,2175.021708,2038.001829,2036.331411,1,0
28.0,1963.615957,1599.587108,1591.138539,1591.138539,1874.655582,2209.885247,2076.863922,2067.188586,1,0
29.0,1996.82294,1639.957348,1624.225703,1624.225703,1911.943876,2245.293335,2116.331994,2096.983964,1,0
30.0,2029.687705,1684.692006,1657.52027,1657.52027,1948.481063,2280.86046,2156.968228,2126.728217,1,0
31.0,2061.925655,1734.067851,1690.652582,1690.652582,1984.323414,2316.590829,2198.660153,2155.772984,1,0
32.0,2094.968323,1789.598172,1724.462974,1724.462974,2019.248311,2352.29378,2241.819615,2184.82009,1,0
33.0,2127.337283,1851.535051,1758.330047,1758.330047,2052.971809,2388.004951,2285.984883,2213.371499,1,0
34.0,2160.058757,1921.462305,1792.347507,1792.347507,2086.470406,2423.664182,2319.387411,2241.851287,1,0
35.0,2192.462475,1999.386438,1826.532607,1826.532607,2119.195618,2459.147264,2362.452754,2269.95833,1,0
36.0,2225.41874,2086.902542,1860.961952,1860.961952,2151.953293,2493.914565,2418.89786,2299.008447,1,0
37.0,2258.287706,2183.956615,1895.335517,1895.335517,2184.382889,2528.481157,2491.684023,2329.115667,1,0
38.0,2291.750824,2291.740437,1929.596058,1929.596058,2217.185239,2562.705944,2579.818072,2360.14166,1,0
39.0,2325.01405,2410.804361,1963.563005,1963.563005,2249.723478,2596.627433,2677.811791,2391.817771,1,0
40.0,2358.530299,2541.822402,1997.314631,1997.314631,2282.378585,2630.170787,2776.649441,2424.501047,1,0
41.0,2391.488568,2685.207752,2030.439249,2030.439249,2315.232706,2663.331627,2862.421754,2456.988141,1,0
42.0,2424.246406,2841.281766,2063.288018,2063.288018,2348.049104,2695.937016,2917.864387,2488.951583,1,0
43.0,2455.669719,3009.954065,2094.269738,2094.269738,2380.581668,2727.806387,2921.918036,2518.584625,1,0
44.0,2485.922329,3190.750794,2125.58974,2125.58974,2413.520093,2758.651355,2851.922338,2545.148547,1,0
45.0,2513.832054,3382.732404,2158.693744,2158.693744,2446.069285,2788.087208,2713.346688,2567.232336,1,0
46.0,2540.189201,3584.738186,2193.527896,2193.527896,2478.774661,2815.557689,2454.69685,2584.933422,1,0
47.0,2564.99377,3795.064313,2229.403628,2229.403628,2510.845067,2841.276422,2110.083756,2596.86773,1,0
48.0,2588.245762,4012.360665,2254.262082,2254.262082,2542.566131,2864.004102,1679.507406,2599.869556,1,0
49.0,2609.945176,4228.781967,2285.034399,2285.034399,2572.848562,2884.514475,1162.9678,2596.333305,1,0
50.0,10318.45051,4449.700117,2323.23009,2323.23009,2602.10774,2902.807539,560.4649373,2586.258975,1,0
51.0,7366.871663,4675.115116,2367.913357,2367.913357,2629.685484,2918.883297,-16675.67682,2569.646567,1,0
52.0,4467.517551,4905.026963,2416.243622,2416.243622,2656.011076,2932.741746,-16625.71888,2546.49608,1,0
53.0,1620.388169,5139.435658,2462.116645,2462.116645,2681.084515,4174.986798,-16519.79936,1752.833489,1,0
54.0,-1174.516482,22630.38649,2500.774145,2500.774145,2704.905803,2440.360466,-16357.91826,1100.526575,1,0
55.0,-3917.196402,15149.15825,2523.021171,2523.021171,2727.474938,899.2895543,-16140.07557,514.4154496,1,0
56.0,-6769.907225,8535.549694,2516.572852,2516.572852,6955.357831,-448.2259357,-15866.2713,-5.49988576,1,0
57.0,-9516.502122,2789.560828,2467.465217,2467.465217,-12.83664207,-1602.186004,-15504.42735,-459.2194314,1,0
58.0,-12100.88265,-2088.80835,2359.858203,2359.858203,-6011.43565,-2562.590652,-15096.50516,-846.7431873,1,0
59.0,-14453.41126,-6099.557838,2183.802659,2183.802659,-11040.43919,-3254.548958,-14655.93917,-1142.269853,1,0
60.0,-16506.31817,-8937.219244,1954.007787,1954.007787,-15099.84727,-3788.33485,-14193.13401,-1385.773933,1,0
61.0,-18182.53009,-11045.9932,1670.473586,1670.473586,-18189.65988,-4198.89393,-13724.20145,-1570.048058,1,0
62.0,-19404.92171,-12563.95902,1333.200056,1333.200056,-19902.79699,-4461.887148,-13269.91126,-1715.109659,1,0
63.0,-19914.41624,-13426.60797,942.1871986,942.1871986,-20827.65027,-4621.757066,-12841.88818,-1837.967986,1,0
64.0,-19793.67362,-13807.83844,-18508.82889,-18508.82889,-21147.81126,-4715.474985,-12453.60327,-1949.926654,1,0
65.0,-19171.24258,-13866.44468,-18085.16041,-18085.16041,-20793.0391,-4776.783978,-12108.20296,-2061.524183,1,0
66.0,-18206.26316,-13734.45177,-17649.595,-17649.595,-19982.97613,-4828.635388,-11809.46937,-2177.077177,1,0
67.0,-17066.58507,-13525.08765,-17202.13267,-17202.13267,-18910.93751,-4888.071271,-11550.62794,-2299.635976,1,0
68.0,-15936.79186,-13303.87368,-16742.7734,-16742.7734,-17753.56929,-4960.291884,-11327.32736,-2426.354488,1,0
69.0,-14947.17222,-13108.5645,-16271.51721,-16271.51721,-16633.67713,-5045.050393,-11129.08559,-2553.984897,1,0
70.0,-14196.73207,-12950.99372,-15771.09139,-15771.09139,-15641.07339,-5159.172759,-10946.50321,-2676.014375,1,0
71.0,-13688.96088,-12912.22512,-15263.60479,-15263.60479,-14808.96784,-5282.009772,-10778.52029,-2775.202408,1,0
72.0,-13342.85119,-12927.73786,-14752.39596,-14752.39596,-14137.89093,-5360.705844,-10616.35347,-2863.419414,1,0
73.0,-12943.22243,-12826.98291,-14254.00452,-14254.00452,-13701.32686,-5423.94679,-10454.10144,-2941.414076,1,0
74.0,-12599.85303,-12715.4177,-13770.35907,-13770.35907,-13411.6698,-5470.756002,-10285.44909,-3005.99444,1,0
75.0,-12296.20526,-12593.95449,-13319.25741,-13319.25741,-13043.49249,-5503.227971,-10108.72018,-3059.459317,1,0
76.0,-12021.72428,-12465.66452,-12900.32766,-12900.32766,-12713.79289,-5520.12382,-9920.776937,-3098.677282,1,0
77.0,-11767.16397,-12332.9422,-12526.88375,-12526.88375,-12412.056,-5522.967991,-9720.609927,-3126.692891,1,0
78.0,-11536.79332,-12186.19319,-12193.42844,-12193.42844,-12145.73676,-5510.119011,-9508.247668,-3141.442269,1,0
79.0,-11314.46148,-12024.21293,-11906.61106,-11906.61106,-11899.50393,-5484.047764,-9284.889578,-3147.196189,1,0
80.0,-11102.43376,-11850.16247,-11654.38623,-11654.38623,-11674.9364,-5443.936855,-9057.647952,-3143.588352,1,0
81.0,-10888.19775,-11662.03044,-11434.16719,-11434.16719,-11457.93461,-5393.325828,-8831.816272,-3137.005588,1,0
82.0,-10674.00444,-11456.93961,-11231.28793,-11231.28793,-11248.87717,-5332.340617,-8604.376228,-3129.426126,1,0
83.0,-10456.89653,-11236.26224,-11049.50614,-11049.50614,-11036.8511,-5265.910567,-8382.695451,-3123.280987,1,0
84.0,-10235.35502,-10999.07441,-10874.76445,-10874.76445,-10823.76138,-5196.599022,-8163.533142,-3117.731188,1,0
85.0,-10005.85657,-10745.68939,-10710.93092,-10710.93092,-10602.42654,-5126.536123,-7953.067663,-3114.117218,1,0
86.0,-9768.871659,-10476.81569,-10543.3257,-10543.3257,-10376.53123,-5056.371595,-7745.515295,-3109.997128,1,0
87.0,-9524.947775,-10193.12402,-10374.26141,-10374.26141,-10142.34208,-4986.331238,-7543.670633,-3106.273273,1,0
88.0,-9275.326547,-9901.134205,-10191.97437,-10191.97437,-9904.901668,-4915.322038,-7342.128921,-3100.340823,1,0
89.0,-9022.897472,-9604.722502,-10002.49457,-10002.49457,-9664.461255,-4842.692568,-7143.550972,-3094.488434,1,0
90.0,-8772.201189,-9309.583043,-9796.080384,-9796.080384,-9421.473384,-4766.924204,-6947.442664,-3087.178479,1,0
91.0,-8526.691217,-9021.285992,-9578.061576,-9578.061576,-9179.276833,-4689.770444,-6755.42338,-3080.185383,1,0
92.0,-8289.129611,-8737.813358,-9342.578876,-9342.578876,-8937.179031,-4610.34987,-6566.20815,-3071.854745,1,0
93.0,-8064.387565,-8466.842432,-9097.602561,-9097.602561,-8700.307526,-4529.851852,-6381.978389,-3062.588005,1,0
94.0,-7845.371526,-8202.857384,-8845.125912,-8845.125912,-8466.863279,-4448.306861,-6201.067188,-3050.901739,1,0
95.0,-7634.386718,-7948.824803,-8591.628731,-8591.628731,-8239.642622,-4366.347442,-6025.678095,-3037.276785,1,0
96.0,-7425.391412,-7699.175548,-8338.798392,-8338.798392,-8019.440943,-4283.976363,-5854.529253,-3021.928548,1,0
97.0,-7221.21073,-7456.380273,-8090.895201,-8090.895201,-7807.614295,-4201.866254,-5689.620369,-3004.978089,1,0
98.0,-7016.361691,-7219.980845,-7850.152038,-7850.152038,-7603.119476,-4120.264653,-5529.684671,-2986.508914,1,0
99.0,-6815.522717,-6991.301255,-7620.015639,-7620.015639,-7406.713004,-4039.660553,-5376.719961,-2966.955234,1,0
100.0,-6617.18332,-6769.137932,-7399.290144,-7399.290144,-7212.888448,-3960.20946,-5231.975183,-2945.221441,1,0
101.0,-6423.866258,-6555.566129,-7188.27308,-7188.27308,-7025.141465,-3883.354006,-5092.869739,-2922.014919,1,0
102.0,-6233.967968,-6349.354245,-6986.106296,-6986.106296,-6837.686998,-3807.307828,-4960.117595,-2895.495857,1,0
103.0,-6049.85618,-6152.900644,-6793.152254,-6793.152254,-6654.717437,-3733.328655,-4830.959679,-2865.541594,1,0
104.0,-5869.683211,-5964.180085,-6612.100096,-6612.100096,-6470.478829,-3659.422598,-4706.062074,-2831.050928,1,0
105.0,-5695.485362,-5784.745217,-6439.325244,-6439.325244,-6289.141711,-3586.719147,-4583.157355,-2792.819153,1,0
106.0,-5525.979423,-5613.009718,-6275.729104,-6275.729104,-6109.396289,-3513.364456,-4463.056068,-2751.509922,1,0
107.0,-5363.270978,-5450.63417,-6117.639415,-6117.639415,-5933.863679,-3440.0682,-4343.617069,-2707.606872,1,0
108.0,-5205.928971,-5298.679698,-5964.476538,-5964.476538,-5761.206305,-3367.00769,-4225.903491,-2662.028012,1,0
109.0,-5056.031523,-5154.334415,-5815.62392,-5815.62392,-5593.517135,-3294.417374,-4111.369759,-2615.396234,1,0
110.0,-4914.695494,-5018.073821,-5669.652555,-5669.652555,-5429.48745,-3222.458675,-4001.484865,-2568.522888,1,0
111.0,-4779.36094,-4886.892113,-5526.112421,-5526.112421,-5271.125028,-3151.709737,-3892.736219,-2522.034892,1,0
112.0,-4650.666335,-4761.58417,-5384.263297,-5384.263297,-5117.06482,-3080.353525,-3787.605154,-2475.812295,1,0
113.0,-4525.921207,-4639.52455,-5244.966507,-5244.966507,-4968.909595,-3009.649939,-3682.586606,-2429.815569,1,0
114.0,-4405.484241,-4520.789683,-5109.686731,-5109.686731,-4825.20548,-2937.623226,-3580.189097,-2384.21104,1,0
115.0,-4286.697447,-4402.987136,-4973.801187,-4973.801187,-4687.244471,-2865.651551,-3477.241574,-2338.924747,1,0
116.0,-4169.586084,-4286.921342,-4840.43785,-4840.43785,-4556.700369,-2791.947908,-3376.090818,-2295.064899,1,0
117.0,-4054.379391,-4173.951312,-4705.907163,-4705.907163,-4431.517739,-2717.945043,-3273.625712,-2251.257872,1,0
118.0,-3941.035893,-4065.672832,-4574.055607,-4574.055607,-4312.148781,-2643.658828,-3172.472536,-2208.309279,1,0
119.0,-3830.55447,-3958.603179,-4443.278138,-4443.278138,-4195.992742,-2569.462307,-3071.810847,-2164.742778,1,0
120.0,-3724.020144,-3855.375812,-4314.635226,-4314.635226,-4083.649744,-2495.326484,-2972.436488,-2121.21672,1,0
121.0,-3617.75393,-3752.540039,-4186.998024,-4186.998024,-3972.685866,-2421.624649,-2873.930434,-2076.16494,1,0
122.0,-3514.279614,-3652.718143,-4061.618827,-4061.618827,-3863.872171,-2348.361606,-2776.893285,-2030.495544,1,0
123.0,-3410.224003,-3552.352895,-3937.716432,-3937.716432,-3755.300235,-2275.909544,-2681.794565,-1983.307272,1,0
124.0,-3307.799579,-3453.413124,-3816.777157,-3816.777157,-3647.828448,-2204.194305,-2590.582162,-1935.015449,1,0
125.0,-3203.92585,-3352.874097,-3697.989295,-3697.989295,-3542.820908,-2133.784244,-2501.817921,-1886.379289,1,0
126.0,-3101.224271,-3253.214595,-3582.727547,-3582.727547,-3441.98843,-2064.500008,-2415.453819,-1838.366881,1,0
127.0,-2999.032793,-3153.750168,-3471.031297,-3471.031297,-3342.192887,-1996.618594,-2330.534031,-1789.796107,1,0
128.0,-2898.396135,-3055.523402,-3364.332768,-3364.332768,-3245.701481,-1931.352576,-2247.60047,-1741.333539,1,0
129.0,-2798.747756,-2958.07855,-3263.299763,-3263.299763,-3149.40053,-1867.097498,-2167.134116,-1692.277511,1,0
130.0,-2700.431942,-2862.094313,-3166.125912,-3166.125912,-3055.423897,-1805.413679,-2087.496666,-1643.795128,1,0
131.0,-2603.819363,-2767.686119,-3073.446719,-3073.446719,-2960.598751,-1745.500798,-2009.708062,-1594.272521,1,0
132.0,-2510.953852,-2676.541312,-2983.258382,-2983.258382,-2866.44019,-1687.41451,-1932.486477,-1544.629815,1,0
133.0,-2420.306903,-2587.481102,-2896.292365,-2896.292365,-2771.185822,-1629.138673,-1858.104872,-1492.306299,1,0
134.0,-2331.801736,-2500.653658,-2810.69833,-2810.69833,-2678.084515,-1570.583373,-1785.773293,-1437.389233,1,0
135.0,-2244.490679,-2415.266108,-2727.122221,-2727.122221,-2585.575946,-1511.66257,-1715.142283,-1379.70354,1,0
136.0,-2158.998541,-2331.958414,-2644.038691,-2644.038691,-2493.785473,-1452.079221,-1644.729211,-1319.615577,1,0
137.0,-2076.074807,-2251.509709,-2563.204093,-2563.204093,-2401.706371,-1391.999491,-1575.323488,-1257.314446,1,0
138.0,-1994.192273,-2172.437415,-2483.605611,-2483.605611,-2309.876407,-1332.323158,-1507.76136,-1193.63852,1,0
139.0,-1914.188527,-2095.53772,-2406.241866,-2406.241866,-2217.788441,-1271.581188,-1443.353412,-1130.256559,1,0
140.0,-1834.694177,-2019.341919,-2329.067053,-2329.067053,-2126.281168,-1211.973601,-1379.513502,-1068.31954,1,0
141.0,-1758.130206,-1945.697812,-2254.112491,-2254.112491,-2035.129906,-1152.374517,-1316.897247,-1008.485012,1,0
142.0,-1683.807972,-1873.654825,-2179.127821,-2179.127821,-1945.527032,-1093.279969,-1254.864374,-951.6621936,1,0
143.0,-1611.493708,-1802.70575,-2105.981971,-2105.981971,-1859.025254,-1033.102561,-1196.480789,-897.1738982,1,0
144.0,-1539.831566,-1732.929315,-2032.393006,-2032.393006,-1777.163881,-972.9680739,-1139.423048,-845.2011844,1,0
145.0,-1470.117585,-1664.507078,-1960.077775,-1960.077775,-1699.824119,-912.8589001,-1083.339093,-796.6878456,1,0
146.0,-1401.784356,-1597.880534,-1887.011003,-1887.011003,-1625.503491,-853.0973326,-1026.138832,-750.5591764,1,0
147.0,-1336.365061,-1533.618986,-1815.213246,-1815.213246,-1554.874545,-793.88469,-968.9482511,-707.3168604,1,0
148.0,-1272.399035,-1469.69531,-1742.171691,-1742.171691,-1486.34377,-735.9990512,-911.1488216,-665.6580285,1,0
149.0,-1211.437708,-1407.448144,-1669.661065,-1669.661065,-1420.510369,-679.4065139,-852.937771,-626.7168919,1,0
150.0,-1151.748614,-1344.823402,-1596.753921,-1596.753921,-1355.819113,-625.1034724,-792.8736154,-588.7993856,1,0
151.0,-1095.648143,-1283.727852,-1523.257486,-1523.257486,-1292.326086,-572.5033981,-731.3637627,-551.3150597,1,0
152.0,-1040.390578,-1221.942736,-1449.89325,-1449.89325,-1230.470284,-520.649452,-670.2620899,-513.5771047,1,0
153.0,-985.3169389,-1159.735967,-1378.112574,-1378.112574,-1171.446617,-469.1648215,-611.1916056,-474.0334786,1,0
154.0,-928.1243491,-1096.699571,-1308.193675,-1308.193675,-1114.664007,-418.121368,-552.9096813,-432.6079408,1,0
155.0,-869.8354384,-1033.303953,-1240.850829,-1240.850829,-1058.575336,-368.1790428,-494.8853896,-389.7701104,1,0
156.0,-808.6795005,-969.2868312,-1176.224612,-1176.224612,-1000.861683,-318.2934976,-437.5417001,-344.4886862,1,0
157.0,-746.1633488,-905.2055607,-1115.164683,-1115.164683,-942.5963755,-269.3233188,-381.4335488,-298.0866605,1,0
158.0,-682.4323134,-841.0363149,-1056.975323,-1056.975323,-881.8675145,-220.4864837,-327.1294769,-250.3183184,1,0
159.0,-618.5510933,-777.5457135,-1001.650629,-1001.650629,-820.0481796,-172.8060215,-273.5038948,-203.4418507,1,0
160.0,-555.4269104,-715.0823308,-947.9627386,-947.9627386,-755.7951289,-125.9026812,-220.301782,-156.3286612,1,0
161.0,-494.6288615,-654.8638784,-893.8467311,-893.8467311,-691.0808456,-79.79199098,-167.1326425,-109.7586116,1,0
162.0,-434.8773516,-596.0975337,-840.5703468,-840.5703468,-626.8668129,-32.89511863,-116.4229834,-63.50227752,1,0
163.0,-375.6090551,-538.5024029,-786.7555851,-786.7555851,-564.7990399,13.92539528,-67.00108537,-17.06509699,1,0
164.0,-317.1882204,-483.1953332,-732.649071,-732.649071,-503.5460602,60.12141329,-19.14926585,29.17295967,1,0
165.0,-260.0330253,-429.0988881,-678.2471727,-678.2471727,-442.5366399,105.0593995,28.14629322,74.98782862,1,0
166.0,-203.9643426,-376.6256406,-623.7844572,-623.7844572,-382.2523987,149.7742006,74.42069754,120.4068131,1,0
167.0,-149.4004595,-324.5133409,-569.415909,-569.415909,-323.214496,193.5118712,119.4390625,165.2200452,1,0
168.0,-97.1905782,-273.1233288,-514.8174931,-514.8174931,-265.2324691,237.5960836,163.2163833,209.4232344,1,0
169.0,-46.40463884,-221.2672358,-460.1767185,-460.1767185,-208.716928,281.1343897,207.5331512,252.6958529,1,0
170.0,2.36029703,-169.2466785,-404.999087,-404.999087,-153.5829653,325.4249653,252.2421984,295.1182917,1,0
171.0,50.4731552,-117.4269463,-348.4782329,-348.4782329,-100.2049664,369.8025945,297.4286172,336.7178798,1,0
172.0,97.51106183,-65.97958468,-293.2688818,-293.2688818,-49.40898916,415.4850013,341.0681201,376.9495306,1,0
173.0,144.5427937,-15.23444176,-238.2165655,-238.2165655,0.05847041,461.5963683,385.3454174,416.8474703,1,0
174.0,191.3455366,34.2523784,-184.6745803,-184.6745803,47.92570092,508.1808538,429.624663,455.8912221,1,0
175.0,237.7568673,83.80195899,-132.4599866,-132.4599866,95.43482589,554.9513695,475.043927,494.9241644,1,0
176.0,283.7145645,132.6118907,-82.03053652,-82.03053652,142.098509,601.8585153,520.7044635,533.4221041,1,0
177.0,328.9251274,182.0120625,-32.80251248,-32.80251248,189.0423412,648.771272,566.667762,572.2113144,1,0
178.0,372.7360706,231.1755505,15.89973997,15.89973997,235.668088,695.5333495,612.6647705,610.8357144,1,0
179.0,416.6833138,281.2133012,64.97085193,64.97085193,282.8222632,741.6495198,658.6863564,648.9583452,1,0
180.0,460.3294528,330.9472252,115.0749898,115.0749898,329.9265578,787.1908057,704.4028526,686.6345652,1,0
181.0,505.0065959,380.1291298,165.3789594,165.3789594,376.4376799,832.0254508,749.6124605,723.9003342,1,0
182.0,549.7496436,428.2813262,214.601468,214.601468,421.6631508,876.0141793,793.9866636,760.4704005,1,0
183.0,595.5722167,475.1589615,263.2058031,263.2058031,466.8835732,918.8371385,837.6685336,797.382362,1,0
184.0,641.4929459,520.1128178,310.5483229,310.5483229,511.2718419,959.9738599,880.2789853,833.9421461,1,0
185.0,687.4997208,563.1146651,355.7498533,355.7498533,555.9374553,1000.381981,921.9468029,871.1497921,1,0
186.0,733.2700445,603.7895766,399.3648754,399.3648754,600.0061461,1039.572274,962.4379699,908.5707686,1,0
187.0,778.7831514,641.9414414,441.210636,441.210636,644.7666191,1078.538866,1001.153162,946.9157121,1,0
188.0,823.4822026,677.233492,482.6836758,482.6836758,689.3793526,1116.850344,1038.942384,985.1772841,1,0
189.0,868.2541871,708.9045483,523.3562875,523.3562875,734.9904989,1155.581215,1075.355662,1023.621706,1,0
190.0,913.4644029,735.8442447,563.3866758,563.3866758,780.711994,1194.479537,1111.313955,1062.282674,1,0
191.0,958.4593547,757.3489065,603.0371587,603.0371587,826.747285,1233.267232,1146.349816,1101.339684,1,0
192.0,1002.507206,774.2143609,642.529563,642.529563,872.8644211,1271.611695,1181.474208,1140.771242,1,0
193.0,1045.415009,785.6248256,682.1991979,682.1991979,918.9132872,1309.212797,1216.453838,1180.494446,1,0
194.0,1086.855642,792.2763487,721.4852563,721.4852563,964.5137175,1345.816746,1251.077745,1220.194551,1,0
195.0,1126.192314,793.6410904,759.7758515,759.7758515,1009.64732,1382.437981,1285.43422,1259.838337,1,0
196.0,1164.369516,790.4096661,798.5831675,798.5831675,1054.052097,1418.409752,1319.250773,1299.256137,1,0
197.0,1201.052892,781.8572734,837.5628288,837.5628288,1097.780294,1454.903943,1352.081903,1337.968056,1,0
198.0,1237.397992,768.5332612,878.0146743,878.0146743,1140.58032,1491.63224,1384.784941,1375.580792,1,0
199.0,1273.940112,749.2515107,919.0734613,919.0734613,1182.595797,1529.795095,1416.678131,1411.73744,1,0
200.0,1311.767456,723.2295861,960.9590719,960.9590719,1223.718842,1568.591112,1448.749212,1447.247736,1,0
201.0,1349.481465,690.2215786,1003.464465,1003.464465,1263.500375,1607.905193,1480.288224,1481.66232,1,0
202.0,1387.599625,651.5662314,1046.555154,1046.555154,1302.798535,1647.42505,1512.392758,1515.735938,1,0
203.0,1425.751441,607.0191412,1089.847987,1089.847987,1340.962327,1687.131703,1544.647111,1548.902214,1,0
204.0,1463.482862,558.2247046,1132.533546,1132.533546,1378.827865,1726.936648,1577.141145,1581.974176,1,0
205.0,1500.300004,505.5068595,1173.990741,1173.990741,1415.95116,1766.822649,1609.806196,1614.523292,1,0
206.0,1537.105617,450.8263908,1214.589626,1214.589626,1453.233965,1806.586242,1642.627117,1647.273125,1,0
207.0,1573.329883,394.8499337,1254.147364,1254.147364,1490.539784,1846.174352,1675.112881,1679.420454,1,0
208.0,1610.162848,340.0598459,1292.593346,1292.593346,1527.614516,1885.459844,1707.898861,1710.887658,1,0
209.0,1647.448255,287.2304932,1329.493505,1329.493505,1564.399591,1924.427883,1741.441249,1741.814973,1,0
210.0,1685.775449,238.9070684,1364.60272,1364.60272,1600.699568,1962.63117,1775.418445,1772.981575,1,0
211.0,1723.742377,198.2115808,1398.836884,1398.836884,1636.164133,1999.186109,1809.417347,1803.747443,1,0
212.0,1762.173321,168.4749506,1431.72383,1431.72383,1671.869086,2034.687272,1843.420012,1834.910212,1,0
213.0,1800.229426,153.1006831,1464.078188,1464.078188,1707.170765,2068.64493,1877.330393,1865.978531,1,0
214.0,1837.859123,156.0176782,1495.117747,1495.117747,1743.040638,2102.01413,1910.673106,1897.878265,1,0
215.0,1874.892934,181.441768,1525.887796,1525.887796,1778.90218,2134.405945,1944.344271,1929.933546,1,0
216.0,1911.413879,234.118382,1556.751032,1556.751032,1815.701386,2166.74449,1978.202307,1962.765873,1,0
217.0,1947.449575,319.1807631,1588.632933,1588.632933,1852.75727,2198.772958,2013.149554,1995.456281,1,0
218.0,1983.309141,442.2628118,1620.957585,1620.957585,1889.951627,2231.455664,2050.411485,2028.441774,1,0
219.0,2019.149297,609.2190001,1653.238239,1653.238239,1927.149761,2264.451288,2091.358242,2061.870823,1,0
220.0,2054.913783,826.7690074,1685.284635,1685.284635,1964.312503,2297.20858,2135.950058,2095.484719,1,0
221.0,2090.22431,1103.254076,1717.66693,1717.66693,2001.244481,2329.227414,2184.927583,2129.096823,1,0
222.0,2125.106205,1445.777819,1749.451982,1749.451982,2038.28979,2361.254391,2238.190276,2162.716713,1,0
223.0,2159.079667,1862.912398,1781.244847,1781.244847,2075.387139,2392.685815,2295.898091,2196.046789,1,0
224.0,2192.080864,2361.949889,1812.120988,1812.120988,2112.400022,2424.451833,2357.044647,2229.506153,1,0
225.0,2224.679773,2951.264468,1843.378216,1843.378216,2149.136061,2455.754389,2422.332675,2262.228165,1,0
226.0,2257.141133,3638.738799,1874.994675,1874.994675,2185.444598,2488.016418,2491.038715,2295.562906,1,0
227.0,2289.578136,4432.020158,1907.64681,1907.64681,2220.88329,2520.817756,2563.516229,2329.490397,1,0
228.0,2322.08872,5338.94924,1940.525046,1940.525046,2255.033842,2555.18996,2639.256814,2363.410473,1,0
