Time_aligned_s,Chan.1 - Raw (mV),Chan.2 - Raw (mV),Chan.3 - Raw (mV),Chan.4 - Raw (mV),Chan.5 - Raw (mV),Chan.6 - Raw (mV),Chan.7 - Raw (mV),Chan.8 - Raw (mV),Stress_Type,Period
0,1737.4,1521.7,-91.9,-91.9,1730.8,2891,1795.7,1976.8,1,3
0.5,1737.4,1590.5,-91.9,-91.9,1802.1,2891,1862.6,1976.8,1,3
1,1811.1,1590.5,-91.9,-91.9,1802.1,2947.4,1862.6,2048.8,1,3
1.5,1877.7,1657.6,-91.9,-91.9,1873.3,2947.4,1919.5,2048.8,1,3
2,1877.7,1657.6,-91.9,-91.9,1873.3,3005.6,1998.2,2108.2,1,3
2.5,1961.2,1717.4,-91.9,-91.9,1943.2,3005.6,1998.2,2108.2,1,3
3,1961.2,1717.4,-91.9,-91.9,1943.2,3050.1,2038.1,2169.4,1,3
3.5,2016.4,1783.3,-91.9,-91.9,2005.2,3050.1,2038.1,2169.4,1,3
4,2016.4,1783.3,-91.9,-91.9,2005.2,3126.5,2109.5,2238.5,1,3
4.5,2082.4,1854.4,-91.9,-91.9,2074.4,3126.5,2109.5,2238.5,1,3
5,2082.4,1854.4,-91.9,-91.9,2074.4,3190.2,2172.9,2297.5,1,3
5.5,2133.5,1914.6,-91.9,-91.9,2151.9,3190.2,2172.9,2297.5,1,3
6,2133.5,1914.6,-91.9,-91.9,2151.9,3239.4,2234.1,2361.1,1,3
6.5,2193.3,1976.1,-91.9,-91.9,2192.7,3239.4,2234.1,2361.1,1,3
7,2193.3,1976.1,-91.9,-91.9,2192.7,3289.6,2292.7,2417.6,1,3
7.5,2274,2044.6,-91.9,-91.9,2273.4,3289.6,2292.7,2417.6,1,3
8,2274,2044.6,-91.9,-91.9,2273.4,3334.9,2350.6,2473.6,1,3
8.5,2329.8,2109.2,-91.9,-91.9,2341.6,3334.9,2350.6,2473.6,1,3
9,2329.8,2109.2,-91.9,-91.9,2341.6,3394.2,2409.5,2538,1,3
9.5,2400.9,2167.7,-91.9,-91.9,2400.2,3394.2,2409.5,2538,1,3
10,2400.9,2167.7,-91.9,-91.9,2400.2,3447.3,2469.1,2596.5,1,3
10.5,2466.1,2228,-91.9,-91.9,2460.9,3494.2,2469.1,2596.5,1,3
11,2466.1,2287.2,-91.9,-91.9,2460.9,3494.2,2523.6,2651.1,1,3
11.5,2522.1,2287.2,-91.9,-91.9,2528.2,3586.3,2523.6,2651.1,1,3
12,2522.1,2345.5,-91.9,-91.9,2528.2,3586.3,2471.4,2379.2,1,3
12.5,2582,2345.5,-91.9,-91.9,2587,3586.3,2471.4,2379.2,1,3
13,2582,2402.9,-91.9,-91.9,2587,3586.3,2471.4,2379.2,1,3
13.5,2643,2402.9,-91.9,-91.9,2648.3,3586.3,2471.4,2379.2,1,3
14,2643,2462.1,-91.9,-91.9,2648.3,-599,2471.4,-3441.5,1,3
14.5,2704.7,2462.1,-91.9,-91.9,2708.6,-599,-22687.4,-3441.5,1,3
15,2699.1,2346.2,-91.9,-91.9,2948.4,-599,-22687.4,-3441.5,1,3
15.5,2699.1,2346.2,-91.9,-91.9,2948.4,-650.6,-21017.8,-3934.2,1,3
16,2699.1,2346.2,-91.9,-91.9,2948.4,-650.6,-21017.8,-3934.2,1,3
16.5,2699.1,2346.2,-91.9,-91.9,2948.4,-574.7,-19355.6,-4342.6,1,3
17,2699.1,2346.2,-91.9,-91.9,2948.4,-574.7,-19355.6,-4342.6,1,3
17.5,-25851.7,-22749.2,-91.9,-91.9,-24987.6,-484.9,-17825.4,-4710.5,1,3
18,-25851.7,-22749.2,-91.9,-91.9,-24987.6,-484.9,-17825.4,-4710.5,1,3
18.5,-25851.7,-21203.6,-91.9,-91.9,-24987.6,-410.3,-16342.9,-5065.1,1,3
19,-23180.5,-21203.6,-91.9,-91.9,-22833.3,-410.3,-16342.9,-5065.1,1,3
19.5,-23180.5,-21203.6,-91.9,-91.9,-22833.3,-344.5,-15082.1,-5313.3,1,3
20,-20865.6,-19510.6,-91.9,-91.9,-20751.9,-344.5,-15082.1,-5313.3,1,3
20.5,-20865.6,-19510.6,-91.9,-91.9,-20751.9,-266.8,-13917.9,-5626.7,1,3
21,-18823.7,-17912.1,-91.9,-91.9,-18882.7,-266.8,-13917.9,-5626.7,1,3
21.5,-18823.7,-17912.1,-91.9,-91.9,-18882.7,-209.5,-12995.2,-5644.3,1,3
22,-17070.1,-16479.4,-91.9,-91.9,-17233.9,-209.5,-12995.2,-5644.3,1,3
22.5,-17070.1,-16479.4,-91.9,-91.9,-17233.9,-109.4,-12330.3,-5776.8,1,3
23,-15587.6,-15178.6,-91.9,-91.9,-15744.4,-109.4,-12330.3,-5776.8,1,3
23.5,-15587.6,-15178.6,-91.9,-91.9,-15744.4,28.2,-11896,-6021.2,1,3
24,-14265.9,-14047.3,-91.9,-91.9,-14475.8,28.2,-11896,-6021.2,1,3
24.5,-14265.9,-14047.3,-91.9,-91.9,-14475.8,128.3,-11366.9,-6179.9,1,3
25,-13272,-13171.4,-91.9,-91.9,-13462.4,128.3,-11366.9,-6179.9,1,3
25.5,-13272,-13171.4,-91.9,-91.9,-13462.4,182,-11090,-6054.9,1,3
26,-12519.5,-12488,-91.9,-91.9,-12762.5,182,-11090,-6054.9,1,3
26.5,-12519.5,-11971.8,-91.9,-91.9,-12762.5,244.3,-10807.9,-5933.4,1,3
27,-12053.6,-11971.8,-91.9,-91.9,-12177.8,296.9,-10807.9,-5933.4,1,3
27.5,-12053.6,-11476.5,-91.9,-91.9,-12177.8,296.9,-10341.9,-5785.6,1,3
28,-11471.8,-11476.5,-91.9,-91.9,-11711.8,347.5,-10341.9,-5632.2,1,3
28.5,-11471.8,-11164.6,-91.9,-91.9,-11711.8,347.5,-9833.3,-5632.2,1,3
29,-11212.8,-11164.6,-91.9,-91.9,-11304.2,387.8,-9833.3,-5487.7,1,3
29.5,-11212.8,-10890.1,-91.9,-91.9,-11304.2,387.8,-9319.1,-5487.7,1,3
30,-10871,-10890.1,-91.9,-91.9,-11038.7,440.5,-9319.1,-5309.9,1,3
30.5,-10360.2,-10452.4,-91.9,-91.9,-10598,440.5,-8852.6,-5309.9,1,3
31,-10360.2,-10452.4,-91.9,-91.9,-10598,493.3,-8852.6,-5147.9,1,3
31.5,-9834.1,-9946.1,-91.9,-91.9,-10076.5,493.3,-8390,-5147.9,1,3
32,-9834.1,-9946.1,-91.9,-91.9,-10076.5,542.7,-8390,-4979.4,1,3
32.5,-9298.6,-9417.2,-91.9,-91.9,-9534,542.7,-7959.5,-4979.4,1,3
33,-9298.6,-9417.2,-91.9,-91.9,-9534,575.9,-7540.4,-4813.5,1,3
33.5,-8829.1,-8961.3,-91.9,-91.9,-9072.8,575.9,-7540.4,-4813.5,1,3
34,-8829.1,-8961.3,-91.9,-91.9,-9072.8,597,-7147.6,-4675.8,1,3
34.5,-8359.6,-8507.9,-91.9,-91.9,-8599.4,597,-7147.6,-4675.8,1,3
35,-8359.6,-8507.9,-91.9,-91.9,-8599.4,678.7,-6795.2,-4478.3,1,3
35.5,-7920,-8076.5,-91.9,-91.9,-8156.4,678.7,-6795.2,-4478.3,1,3
36,-7920,-8076.5,-91.9,-91.9,-8156.4,714.3,-6446.3,-4308.6,1,3
36.5,-7502.5,-7659.1,-91.9,-91.9,-7735,714.3,-6446.3,-4308.6,1,3
37,-7502.5,-7659.1,-91.9,-91.9,-7735,760.1,-6115.1,-4146.7,1,3
37.5,-7094.4,-7291,-91.9,-91.9,-7333.3,760.1,-6115.1,-4146.7,1,3
38,-7094.4,-7291,-91.9,-91.9,-7333.3,802.7,-5807.7,-3976.2,1,3
38.5,-6728.2,-6902,-91.9,-91.9,-6950.5,802.7,-5807.7,-3976.2,1,3
39,-6728.2,-6902,-91.9,-91.9,-6950.5,855.1,-5512.2,-3784.9,1,3
39.5,-6385,-6557.9,-91.9,-91.9,-6597.9,855.1,-5512.2,-3784.9,1,3
40,-6385,-6223,-91.9,-91.9,-6597.9,898.6,-5221.2,-3391.3,1,3
40.5,-6045.5,-6223,-91.9,-91.9,-6255.1,934.4,-5221.2,-3391.3,1,3
41,-6045.5,-5907.3,-91.9,-91.9,-6255.1,934.4,-4949.7,-2758,1,3
41.5,-5728.7,-5907.3,-91.9,-91.9,-5931.1,976.1,-4949.7,-2758,1,3
42,-5728.7,-5615.7,-91.9,-91.9,-5931.1,976.1,-4684.7,-2351,1,3
42.5,-5428.2,-5615.7,-91.9,-91.9,-5618.7,1019.1,-4684.7,-2098.1,1,3
43,-5428.2,-5321,-91.9,-91.9,-5618.7,1019.1,-4435.5,-2098.1,1,3
43.5,-5137,-5321,-91.9,-91.9,-5329,1057.1,-4435.5,-1875.5,1,3
44,-5137,-5054.3,-91.9,-91.9,-5329,1057.1,-4205.9,-1875.5,1,3
44.5,-4863.1,-5054.3,-91.9,-91.9,-5051.6,1104.5,-4205.9,-1561.2,1,3
45,-4603.4,-4784.4,-91.9,-91.9,-4778.9,1104.5,-3975.1,-1561.2,1,3
45.5,-4603.4,-4784.4,-91.9,-91.9,-4778.9,1134.3,-3975.1,-1561.2,1,3
46,-4353,-4533.7,-91.9,-91.9,-4520.7,1134.3,-3754.4,-1561.2,1,3
46.5,-4353,-4533.7,-91.9,-91.9,-4520.7,1177.2,-3548.3,-981.5,1,3
47,-4122.2,-4305,-91.9,-91.9,-4275.6,1177.2,-3548.3,-981.5,1,3
47.5,-4122.2,-4305,-91.9,-91.9,-4275.6,1216.7,-3349.7,-674.8,1,3
48,-3886.5,-4069.7,-91.9,-91.9,-4049.6,1216.7,-3349.7,-674.8,1,3
48.5,-3886.5,-4069.7,-91.9,-91.9,-4049.6,1289.1,-3349.7,-341.4,1,3
49,-3666.8,-3857.8,-91.9,-91.9,-3828.2,1289.1,-3164.8,-341.4,1,3
49.5,-3666.8,-3857.8,-91.9,-91.9,-3828.2,1295.8,-2968.3,17.2,1,3
50,-3460.4,-3644.5,-91.9,-91.9,-3609.6,1295.8,-2968.3,17.2,1,3
50.5,-3460.4,-3644.5,-91.9,-91.9,-3609.6,1336.5,-2789.2,387.6,1,3
51,-3259.3,-3445.2,-91.9,-91.9,-3402.2,1336.5,-2789.2,387.6,1,3
51.5,-3259.3,-3445.2,-91.9,-91.9,-3402.2,1369.6,-2623,702.1,1,3
52,-3065.8,-3252.3,-91.9,-91.9,-3185.9,1369.6,-2623,702.1,1,3
52.5,-3065.8,-3252.3,-91.9,-91.9,-3185.9,1416,-2448.7,904.3,1,3
53,-2879.1,-3066.1,-91.9,-91.9,-3013.2,1416,-2448.7,904.3,1,3
53.5,-2879.1,-3066.1,-91.9,-91.9,-3013.2,1449,-2287.1,1027.6,1,3
54,-2699.2,-2887.6,-91.9,-91.9,-2827,1488.8,-2287.1,1027.6,1,3
54.5,-2699.2,-2887.6,-91.9,-91.9,-2827,1488.8,-2134,1157,1,3
55,-2526.2,-2710.2,-91.9,-91.9,-2650.7,1521.5,-2134,1157,1,3
55.5,-2526.2,-2541.6,-91.9,-91.9,-2650.7,1521.5,-1986.9,1282.8,1,3
56,-2352.3,-2541.6,-91.9,-91.9,-2476.9,1564.1,-1986.9,1282.8,1,3
56.5,-2352.3,-2381,-91.9,-91.9,-2476.9,1564.1,-1837.9,1355.7,1,3
57,-2192.7,-2381,-91.9,-91.9,-2310.5,1595.9,-1837.9,1460.8,1,3
57.5,-2192.7,-2224.6,-91.9,-91.9,-2310.5,1595.9,-1697.5,1460.8,1,3
58,-2037.9,-2224.6,-91.9,-91.9,-2149.4,1666.1,-1697.5,1599.8,1,3
58.5,-1887.8,-2076.4,-91.9,-91.9,-1994.3,1666.1,-1432.5,1599.8,1,3
59,-1887.8,-2076.4,-91.9,-91.9,-1994.3,1671.2,-1432.5,1608.7,1,3
59.5,-1735.4,-1936.1,-91.9,-91.9,-1839,1671.2,-1427.1,1608.7,1,3
60,-1735.4,-1936.1,-91.9,-91.9,-1839,1708,-1427.1,1665.8,1,3
60.5,-1600.5,-1786.9,-91.9,-91.9,-1699.7,1708,-1299.5,1665.8,1,3
61,-1600.5,-1786.9,-91.9,-91.9,-1699.7,1742.3,-1299.5,1748,1,3
61.5,-1381.6,-1518.7,-91.9,-91.9,-1515.7,1742.3,-1173.8,1748,1,3
62,-1381.6,-1518.7,-91.9,-91.9,-1515.7,1781,-1054,1798.7,1,3
62.5,-1330.8,-1517.4,-91.9,-91.9,-1418.2,1781,-1054,1798.7,1,3
63,-1330.8,-1517.4,-91.9,-91.9,-1418.2,1805.2,-940.6,1853.7,1,3
63.5,-1199.6,-1387.3,-91.9,-91.9,-1283.5,1805.2,-940.6,1853.7,1,3
64,-1199.6,-1387.3,-91.9,-91.9,-1283.5,1851.8,-822.7,1923.2,1,3
64.5,-1076.3,-1263.6,-91.9,-91.9,-1156.9,1851.8,-822.7,1923.2,1,3
65,-1076.3,-1263.6,-91.9,-91.9,-1156.9,1887.8,-708.4,1967.8,1,3
65.5,-951.7,-1136.5,-91.9,-91.9,-1032.8,1887.8,-708.4,1967.8,1,3
66,-951.7,-1136.5,-91.9,-91.9,-1032.8,1924.5,-596.5,2024.7,1,3
66.5,-833.9,-1018.7,-91.9,-91.9,-913.5,1924.5,-596.5,2024.7,1,3
67,-833.9,-1018.7,-91.9,-91.9,-913.5,1957.8,-495.5,2063.8,1,3
