VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-11561.887,954.7955009,35726.64773,35726.64773,7168.477719,732.8587989,-17096.12209,-3072.260518,1,9
-14931.17163,-4904.00457,29372.82748,29372.82748,-378.4307551,317.4850106,-16659.79815,-3188.961104,1,9
-17702.98714,-9889.272011,23412.65498,23412.65498,-6868.561097,-89.09418975,-16224.56818,-3307.130584,1,9
-19877.33353,-14001.00682,17846.13023,17846.13023,-12301.91331,-486.8788021,-15790.43218,-3426.76896,1,9
-21454.21079,-17239.209,12673.25323,12673.25323,-16678.48739,-875.8688265,-15357.39016,-3547.876231,1,9
-22433.61893,-19603.87855,7894.023979,7894.023979,-19998.28333,-1256.064263,-14925.44211,-3670.452398,1,9
-22609.79154,-20734.41218,3472.313582,3472.313582,-21815.91802,-1631.830729,-14484.27248,-3801.106702,1,9
-22153.93887,-21170.29579,-547.473985,-547.473985,-22777.77761,-1996.481612,-14044.61343,-3931.580444,1,9
-21245.59526,-20867.85533,-4170.64225,-4170.64225,-23079.33882,-2350.518181,-13612.38328,-4057.7294,1,9
-20056.30218,-20059.3174,-7381.450695,-7381.450695,-22657.44125,-2691.313092,-13190.51123,-4177.579463,1,9
-18737.80533,-18960.08213,-10152.19254,-10152.19254,-21739.78496,-3018.289488,-12799.35802,-4289.497218,1,9
-17441.84881,-17768.54566,-12434.12198,-12434.12198,-20533.04262,-3327.813354,-12438.46232,-4387.548349,1,9
-16258.0934,-16623.81678,-13994.05786,-13994.05786,-19207.22161,-3618.666182,-12119.17429,-4471.734485,1,9
-15266.91299,-15633.75189,-14904.89349,-14904.89349,-17896.54581,-3886.531236,-11840.82375,-4539.776863,1,9
-14484.13289,-14845.16724,-15269.61926,-15269.61926,-16708.21346,-4130.99025,-11603.72675,-4591.986053,1,9
