Time (s),high-1,high-2
0,-2534.1,-10243.7
0.5,-2361.6,-10243.7
1,-2361.6,-10551.6
1.5,-2219,-10551.6
2,-2219,-10617
2.5,-2059.3,-10617
3,-2059.3,-10595.5
3.5,-1910.5,-10595.5
4,-1910.5,-10506
4.5,-1773.5,-10506
5,-1773.5,-10349.4
5.5,-1626.5,-10349.4
6,-1626.5,-10163.3
6.5,-1507,-10163.3
7,-1507,-10009
7.5,-1362.2,-10009
8,-1362.2,-9861.9
8.5,-1236.9,-9861.9
9,-1236.9,-9641.3
9.5,-1111.2,-9641.3
10,-1111.2,-9577.1
10.5,-989.7,-9577.1
11,-874.9,-9466.6
11.5,-874.9,-9466.6
12,-762.6,-9113.2
12.5,-762.6,-8723.5
13,-648.1,-8723.5
13.5,-648.1,-8330.4
14,-537.3,-8330.4
14.5,-537.3,-7956
15,-427.7,-7956
15.5,-427.7,-7598.1
16,-336.1,-7598.1
16.5,-336.1,-7253.9
17,-221.5,-7253.9
17.5,-221.5,-6917.5
18,-116.4,-6917.5
18.5,-116.4,-6585.4
19,-22.8,-6585.4
19.5,-22.8,-6293.7
20,76.5,-6293.7
20.5,76.5,-5998.9
21,171,-5998.9
21.5,262.5,-5718.5
22,262.5,-5718.5
22.5,356.5,-5448
23,356.5,-5195.8
23.5,444,-5195.8
24,444,-4935.6
24.5,537.3,-4935.6
25,537.3,-4693.6
25.5,610.9,-4693.6
26,610.9,-4467.3
26.5,709.7,-4467.3
27,709.7,-4242.3
27.5,780.3,-4242.3
28,780.3,-4033.5
28.5,876.9,-4033.5
29,876.9,-3825.1
29.5,956,-3825.1
30,956,-3624.7
30.5,1057,-3624.7
31,1057,-3432.7
31.5,1108.5,-3432.7
32,1108.5,-3253.2
32.5,1176.4,-3253.2
33,1265.4,-3029.4
33.5,1265.4,-3029.4
34,1341.3,-2895.5
34.5,1341.3,-2731.9
35,1437.1,-2731.9
35.5,1437.1,-2575.1
36,1488.9,-2575.1
36.5,1488.9,-2414.6
37,1558.9,-2414.6
37.5,1558.9,-2266.9
38,1633.9,-2266.9
38.5,1633.9,-2117.6
39,1700.7,-2117.6
39.5,1700.7,-1977.1
40,1767.9,-1977.1
40.5,1767.9,-1832.1
41,1837.9,-1832.1
41.5,1837.9,-1702.7
42,1903.8,-1702.7
42.5,1903.8,-1572
43,1974.8,-1572
43.5,2035.9,-1443.2
44,2035.9,-1443.2
44.5,2087.1,-1318.7
45,2087.1,-1202.3
45.5,2150.6,-1202.3
46,2150.6,-1082.3
46.5,2226.5,-1082.3
47,2226.5,-965.6
47.5,2286.5,-965.6
48,2286.5,-851.6
48.5,2350.6,-851.6
49,2350.6,-751
49.5,2413.6,-751
50,2413.6,-639.8
50.5,2472.8,-639.8
51,2472.8,-539.1
51.5,2527.5,-539.1
52,2527.5,-451.2
52.5,2587.5,-451.2
53,2587.5,-340.4
53.5,2647.6,-340.4
54,2476.5,-243.3
54.5,2476.5,-243.3
55,2476.5,-144.3
55.5,2476.5,-144.3
56,2476.5,-59.5
56.5,-12074.8,35
57,-12074.8,35
57.5,-12074.8,122.8
58,-12490.8,122.8
58.5,-12490.8,215.2
59,-12570.2,215.2
59.5,-12570.2,302.9
60,-12386.2,302.9
60.5,-12386.2,382.7
61,-12057.9,382.7
61.5,-12057.9,469.6
62,-11630.8,469.6
62.5,-11630.8,548.1
63,-11243.4,548.1
63.5,-11243.4,620.6
64,-10942.3,620.6
64.5,-10942.3,712.8
65,-10656.8,712.8
65.5,-10502.2,784.9
66,-10502.2,784.9
66.5,-10186.6,844.6
67,-10186.6,935
67.5,-10032.8,935
68,-10032.8,1012.7
68.5,-9896.7,1012.7
69,-9896.7,1082.7
69.5,-9532.1,1082.7
70,-9532.1,1158.1
70.5,-9100.9,1158.1
71,-9100.9,1210
71.5,-8632.5,1210
72,-8632.5,1296.1
72.5,-8261.9,1296.1
73,-8261.9,1364.9
73.5,-7863.4,1364.9
74,-7863.4,1436.6
74.5,-7484.7,1436.6
75,-7484.7,1501.7
75.5,-7133.1,1501.7
76,-7133.1,1569
76.5,-6775.4,1569
77,-6454.7,1635.4
77.5,-6454.7,1635.4
78,-6136.4,1704.8
78.5,-6136.4,1762.5
79,-5835.4,1762.5
79.5,-5835.4,1827.6
80,-5546.8,1827.6
80.5,-5546.8,1885
81,-5253.6,1885
81.5,-5253.6,1949.8
82,-5012.7,1949.8
82.5,-5012.7,2009.3
83,-4761.7,2009.3
83.5,-4761.7,2069.5
84,-4514.5,2069.5
84.5,-4514.5,2129.2
85,-4281.9,2129.2
85.5,-4281.9,2192.5
86,-4053.7,2192.5
86.5,-4053.7,2249.7
87,-3844.9,2249.7
87.5,-3631.8,2303.5
88,-3631.8,2303.5
