Time (s),Chan.4 - Raw (mV),Chan.8 - Raw (mV)
0,-66.7,2377.2
0.5,-66.7,2414.4
1,32,2414.4
1.5,32,2495
2,119.2,2495
2.5,205.8,2551.1
3,205.8,2551.1
3.5,293.1,2613.6
4,293.1,2613.6
4.5,381.2,2672.8
5,381.2,2672.8
5.5,462.7,2727.6
6,462.7,2727.6
6.5,543,2786.7
7,543,2786.7
7.5,625,2845.7
8,625,2845.7
8.5,700,2904.2
9,700,2785.2
9.5,778.2,2785.2
10,778.2,2785.2
10.5,855.7,2785.2
11,855.7,2785.2
11.5,955.7,-2105.7
12,955.7,-2105.7
12.5,1006.5,-2105.7
13,1084.5,-2388.5
13.5,1084.5,-2388.5
14,1151.4,-2567.4
14.5,1151.4,-2567.4
15,1220.2,-2914.2
15.5,1220.2,-2914.2
16,1334.2,-2999.5
16.5,1334.2,-2999.5
17,1361.5,-3149.9
17.5,1361.5,-3149.9
18,1428.1,-3431.6
18.5,1428.1,-3431.6
19,1494.8,-3722.1
19.5,1494.8,-3722.1
20,1560.7,-3592.2
20.5,1560.7,-3592.2
21,1627.7,-3498.3
21.5,1627.7,-3446.9
22,1688.9,-3446.9
22.5,1688.9,-3391.5
23,1764.8,-3391.5
23.5,1764.8,-3337.5
24,1819.3,-3337.5
24.5,1877.2,-3274.9
25,1877.2,-3274.9
25.5,1877.2,-3218.1
26,1877.2,-3218.1
26.5,1996,-3154.1
27,1996,-3154.1
27.5,2065.7,-3076.9
28,2065.7,-3076.9
28.5,2128,-3005.9
29,2128,-3005.9
29.5,2180.9,-2930.8
30,2180.9,-2930.8
30.5,2237.2,-2845.3
31,2237.2,-2845.3
31.5,2295.4,-2796.7
32,2295.4,-2687.8
32.5,2351.9,-2687.8
33,2351.9,-2607.9
33.5,2410.4,-2607.9
34,2465.3,-2518
34.5,2465.3,-2518
35,2315.3,-2436.8
35.5,2315.3,-2436.8
36,2315.3,-2337.8
36.5,2315.3,-2337.8
37,2315.3,-2246.8
37.5,-13122.7,-2246.8
38,-13122.7,-2148.4
38.5,-13122.7,-2148.4
39,-13360.2,-2063.1
39.5,-13360.2,-2063.1
40,-13255.8,-1969.2
40.5,-13255.8,-1969.2
41,-12922.2,-1882.9
41.5,-12922.2,-1882.9
42,-12456,-1786.9
42.5,-12456,-1697.2
43,-11975.4,-1697.2
43.5,-11975.4,-1598.6
44,-11542,-1598.6
44.5,-11542,-1508.3
45,-11149.5,-1508.3
45.5,-10786.1,-1353
46,-10786.1,-1353
46.5,-10530.3,-1324.1
47,-10530.3,-1324.1
47.5,-10242.2,-1226
48,-10242.2,-1226
48.5,-10087.6,-1137.2
49,-10087.6,-1137.2
49.5,-9876.6,-1038.3
50,-9876.6,-1038.3
50.5,-9415.5,-953.4
51,-9415.5,-953.4
51.5,-8965,-864.5
52,-8965,-864.5
52.5,-8511.8,-777.6
53,-8511.8,-691.2
53.5,-8117.6,-691.2
54,-8117.6,-598.3
54.5,-7721.7,-598.3
55,-7721.7,-333.3
55.5,-7344.2,-333.3
56,-6967.3,-426
56.5,-6967.3,-426
57,-6574.4,-341.7
57.5,-6574.4,-341.7
58,-6308,-258.6
58.5,-6308,-258.6
59,-6002.1,-175.4
59.5,-6002.1,-175.4
60,-5701.6,-92.3
60.5,-5701.6,-92.3
61,-5420.2,1.5
61.5,-5420.2,1.5
62,-5143.9,72.4
62.5,-5143.9,72.4
63,-4882.5,148
63.5,-4882.5,148
64,-4625.2,228.3
64.5,-4625.2,277.8
65,-4395.2,277.8
65.5,-4395.2,385.7
66,-4165.9,385.7
66.5,-3947.6,464
67,-3947.6,464
67.5,-3735.1,532.7
68,-3735.1,532.7
68.5,-3544.2,605.3
69,-3544.2,605.3
69.5,-3341.1,696.8
70,-3341.1,696.8
70.5,-3154.3,761.5
71,-3154.3,761.5
71.5,-3012.1,839.5
72,-3012.1,839.5
72.5,-2800.9,913
73,-2800.9,913
73.5,-2632.6,980.9
74,-2632.6,1054.6
74.5,-2469.6,1054.6
75,-2469.6,1127.9
75.5,-2316.9,1127.9
76,-2316.9,1204.7
76.5,-2163.6,1204.7
77,-2014.8,1266.1
77.5,-2014.8,1266.1
78,-1872.7,1333.6
78.5,-1872.7,1333.6
79,-1724.4,1384
79.5,-1724.4,1384
80,-1601.2,1474.1
80.5,-1601.2,1474.1
81,-1375.9,1533.3
81.5,-1375.9,1533.3
82,-1339.9,1605.9
82.5,-1339.9,1605.9
83,-1223.9,1671.5
83.5,-1223.9,1671.5
84,-1102.5,1747.9
84.5,-1102.5,1804.5
85,-985.7,1804.5
85.5,-985.7,1870.3
86,-870.4,1870.3
86.5,-870.4,1933.5
87,-749.9,1933.5
87.5,-654.5,1997.3
88,-654.5,1997.3
88.5,-551,2061.7
89,-551,2061.7
89.5,-446.2,2122.6
90,-446.2,2122.6
90.5,-383.3,2192.3
91,-383.3,2192.3
91.5,-249.3,2247.1
92,-249.3,2247.1
92.5,-153.8,2310.8
93,-153.8,2310.8
93.5,-58.9,2373.7
94,-58.9,2373.7
94.5,24.1,2419.3
95,24.1,2419.3
95.5,118.6,2492.7
96,118.6,2557.6
96.5,205.4,2557.6
97,205.4,2612.2
97.5,295.1,2612.2
98,380.4,2675.6
98.5,380.4,2675.6
99,466.9,2723.2
99.5,466.9,2723.2
100,538.4,2787.1
100.5,538.4,2787.1
101,625.8,2844.6
101.5,625.8,2844.6
102,706.7,2900
102.5,706.7,2900
103,778,2902.3
103.5,778,2902.3
104,855.4,2902.3
104.5,855.4,2902.3
105,917.4,2902.3
105.5,917.4,-2127.4
106,1007.1,-2127.4
106.5,1007.1,-2415.6
107,1076.4,-2415.6
107.5,1152.4,-2602.3
108,1152.4,-2602.3
108.5,1222.4,-2939.8
109,1222.4,-2939.8
109.5,1311.9,-3051.8
110,1311.9,-3051.8
110.5,1358.8,-3187.8
111,1358.8,-3187.8
111.5,1428.1,-3462.6
112,1428.1,-3462.6
112.5,1499.7,-3787.7
113,1499.7,-3787.7
113.5,1563.7,-3664.3
114,1563.7,-3664.3
114.5,1627.9,-3571.6
115,1627.9,-3571.6
115.5,1691.8,-3509.8
116,1691.8,-3509.8
116.5,1753.2,-3466.3
117,1753.2,-3466.3
117.5,1821.4,-3402.3
118,1879,-3402.3
118.5,1879,-3343.8
119,1937.5,-3285.6
