window_id,t_start_s,t_end_s,t_center_s,pred_period,p_stress,p_normal,p_stress_bin,p_stress_bin_smooth
1,0,999.5,499.75,0,0.050005585,0.505598485,0.090002187,0.090002187
2,25,1024.5,524.75,12,0.355024636,0.067721397,0.839805961,0.239962941
3,50,1049.5,549.75,12,0.398106605,0.070299633,0.849917412,0.361953835
4,75,1074.5,574.75,0,0.053116538,0.509839594,0.094352886,0.308433646
5,100,1099.5,599.75,0,0.07288114,0.440237582,0.142035618,0.27515404
6,125,1124.5,624.75,12,0.368636698,0.053687021,0.872877121,0.394698656
7,150,1149.5,649.75,9,0.245721906,0.0672305,0.785173416,0.472793608
8,175,1174.5,674.75,0,0.052664656,0.517897189,0.092303157,0.396695518
9,200,1199.5,699.75,0,0.123514026,0.265426904,0.317564994,0.380869413
10,225,1224.5,724.75,12,0.389583319,0.054928627,0.876429379,0.479981406
11,250,1249.5,749.75,0,0.099928446,0.272027105,0.268656969,0.437716519
12,275,1274.5,774.75,0,0.032540448,0.556642592,0.055229779,0.361219171
13,300,1299.5,799.75,0,0.129886672,0.256334841,0.336300969,0.356235531
14,325,1324.5,824.75,12,0.399937093,0.056827638,0.875586629,0.46010575
15,350,1349.5,849.75,0,0.057689395,0.495259821,0.104330376,0.388950675
16,375,1374.5,874.75,0,0.051553469,0.513057828,0.091307893,0.329422119
17,400,1399.5,899.75,12,0.308172703,0.070838638,0.813096285,0.426156952
18,425,1424.5,924.75,12,0.383050591,0.059833098,0.864901066,0.513905775
19,450,1449.5,949.75,0,0.055625919,0.502879918,0.099597737,0.431044167
20,475,1474.5,974.75,0,0.054400224,0.48999393,0.099928014,0.364820937
21,500,1499.5,999.75,12,0.333032519,0.073936842,0.818323314,0.455521412
22,525,1524.5,1024.75,12,0.361054897,0.054717716,0.86839509,0.538096148
23,550,1549.5,1049.75,0,0.050301138,0.517859459,0.088533312,0.448183581
24,575,1574.5,1074.75,0,0.117739566,0.282485187,0.294183612,0.417383587
25,600,1599.5,1099.75,12,0.389002025,0.052601837,0.880884528,0.510083775
26,625,1624.5,1124.75,6,0.105776794,0.245417222,0.301191896,0.468305399
27,650,1649.5,1149.75,0,0.042860795,0.538129866,0.073771916,0.389398703
28,675,1674.5,1174.75,0,0.12335442,0.263939589,0.31850332,0.375219626
